"Source","Destination"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_bold_design","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_bold_design"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_oracle_test","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_oracle_test"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第四问实验\第四问定向源实验","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q4\实验\第四问定向源实验"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第四问实验\第四问路线压缩","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q4\实验\第四问路线压缩"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第四问实验\Q4保底基线","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q4\实验\Q4保底基线"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第四问实验\Q4探索","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q4\实验\Q4探索"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\模型与离线模拟器\B题机器狗离线模拟器","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\B题机器狗离线模拟器"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\模型与离线模拟器\B题模型代码汇总","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\B题模型代码汇总"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\正式测试\正式测试结果","C:\Users\李\Desktop\math_build_contest\math_build_contest\outputs\正式测试结果\历史版本\桌面_2026-09-15"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\最终提交\最终最终提交文件\26B主论文.pdf","C:\Users\李\Desktop\math_build_contest\math_build_contest\paper\最终提交\26B主论文.pdf"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\最终提交\最终最终提交文件\支撑材料.zip","C:\Users\李\Desktop\math_build_contest\math_build_contest\支撑材料\提交原包\支撑材料.zip"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\官方工具原始包\CUMCM2026B","C:\Users\李\Desktop\math_build_contest\math_build_contest\比赛题目\B题\官方工具\CUMCM2026B"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\题目与校对文档\B题.docx","C:\Users\李\Desktop\math_build_contest\math_build_contest\比赛题目\B题\历史版本\桌面_2026-09-15\B题.docx"
"C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\题目与校对文档\校对.docx","C:\Users\李\Desktop\math_build_contest\math_build_contest\paper\校对资料\校对.docx"
