扰动参数,倍率,最优S2_x(m),最优S2_y(m),评分,预测MEC半径(m)
w1几何,0.9,-1030.6667089207876,509.80529197518695,1.0494241409640155,24.135900371487836
w1几何,1.1,-1030.6667089207876,509.80529197518695,1.3579793651296035,24.135900371487836
w2接收,0.9,-1030.6667089207876,509.80529197518695,1.150368419713476,24.135900371487836
w2接收,1.1,-1030.6667089207876,509.80529197518695,1.257035086380143,24.135900371487836
w3时间,0.9,-1030.6667089207876,509.80529197518695,1.2837017530468091,24.135900371487836
w3时间,1.1,-1030.6667089207876,509.80529197518695,1.1237017530468094,24.135900371487836
w4边界,0.9,-1030.6667089207876,509.80529197518695,1.2037017530468093,24.135900371487836
w4边界,1.1,-1030.6667089207876,509.80529197518695,1.2037017530468093,24.135900371487836
w5MEC,0.9,-1030.6667089207876,509.80529197518695,1.2109425231582556,24.135900371487836
w5MEC,1.1,-1030.6667089207876,509.80529197518695,1.196460982935363,24.135900371487836
