案例,策略,二测接收,移动时间(s),保证接收比例,方向可见性评分,漏检风险,S2_x(m),S2_y(m)
0,Q2基线（忽略朝向）,0,239.99999999301681,1.0,1.0,0.0,-486.1449794,720.6325333
0,Q4方向风险回补,1,119.99999999360105,1.0,0.75,0.25,-1190.935001,-43.0892913
1,Q2基线（忽略朝向）,1,159.999999999262,1.0,1.0,0.0,-932.8481144,328.8238357
1,Q4方向风险回补,1,120.00000000431416,1.0,0.75,0.25,-887.1360858,134.1178768
2,Q2基线（忽略朝向）,1,159.99999999107627,1.0,1.0,0.0,-1357.8581011,-970.1043442
2,Q4方向风险回补,1,119.99999999848842,1.0,0.75,0.25,-1266.7039067,-754.9870043
3,Q2基线（忽略朝向）,1,240.000000011467,1.0,1.0,0.0,340.7841737,50.1898505
3,Q4方向风险回补,1,119.999999993747,1.0,0.8194444444444443,0.1805555555555557,-693.8925152,147.3708648
4,Q2基线（忽略朝向）,1,239.99999999092915,1.0,1.0,0.0,-336.2796256,-1576.4259637
4,Q4方向风险回补,0,119.9999999916209,1.0,0.7916666666666666,0.20833333333333337,-158.8131564,-552.4603138
5,Q2基线（忽略朝向）,0,199.9999999942229,1.0,1.0,0.0,-1161.5921687,-1361.36814
5,Q4方向风险回补,0,79.99999999173438,1.0,0.9444444444444444,0.05555555555555558,-975.4386302,-780.420072
6,Q2基线（忽略朝向）,1,160.00000000791923,1.0,1.0,0.0,-522.6998543,-1217.0297542
6,Q4方向风险回补,1,119.99999999777215,1.0,0.75,0.25,-579.5248907,-1025.2723156
7,Q2基线（忽略朝向）,1,200.00000000483905,1.0,1.0,0.0,-1236.0069823,-1323.9549263
7,Q4方向风险回补,1,79.99999999290652,1.0,0.9444444444444444,0.05555555555555558,-1002.1536498,-760.5133441
8,Q2基线（忽略朝向）,0,240.0000000022656,1.0,1.0,0.0,-306.9105212,-1565.2003021
8,Q4方向风险回补,1,120.00000000752388,1.0,0.7916666666666666,0.20833333333333337,-156.3317343,-536.9367031
9,Q2基线（忽略朝向）,0,240.00000000347123,1.0,1.0,0.0,-1267.413447,632.7203355
9,Q4方向风险回补,1,119.99999999271293,1.0,0.8333333333333334,0.16666666666666663,-1008.7067235,91.3601677
10,Q2基线（忽略朝向）,0,159.99999999551488,1.0,1.0,0.0,-1512.6671837,-208.465806
10,Q4方向风险回补,0,80.00000000617075,1.0,0.9166666666666666,0.08333333333333337,-1146.5112641,-397.2855099
11,Q2基线（忽略朝向）,1,160.000000002978,1.0,1.0,0.0,-578.1101185,-1231.3154732
11,Q4方向风险回补,1,120.0000000066196,1.0,0.75,0.25,-724.7966401,-1049.4704252
12,Q2基线（忽略朝向）,1,159.9999999903972,1.0,1.0,0.0,-1458.8544371,-79.1558455
12,Q4方向风险回补,0,120.00000000840669,1.0,0.75,0.25,-1028.1331159,-981.6408279
13,Q2基线（忽略朝向）,0,200.00000000956697,1.0,1.0,0.0,-1738.4290596,-298.3161372
13,Q4方向风险回补,0,79.99999999936371,1.0,0.8888888888888888,0.11111111111111116,-1149.900891,-458.9037843
14,Q2基线（忽略朝向）,0,239.99999999756466,1.0,1.0,0.0,199.875552,283.305145
14,Q4方向风险回补,0,119.99999999878233,1.0,0.7916666666666666,0.20833333333333337,-275.062224,-83.3474275
15,Q2基线（忽略朝向）,1,239.99999999877474,1.0,1.0,0.0,436.2934652,-269.1469812
15,Q4方向风险回补,0,119.99999999687309,1.0,0.7916666666666666,0.20833333333333337,-375.1149794,-918.4668839
16,Q2基线（忽略朝向）,1,199.99999999293752,1.0,1.0,0.0,-1025.9853392,-1411.1618451
16,Q4方向风险回补,1,120.00000000909044,1.0,0.7222222222222223,0.2777777777777777,-1013.2179028,-989.1811715
17,Q2基线（忽略朝向）,1,239.9999999998992,1.0,1.0,0.0,442.1399865,-587.1213061
17,Q4方向风险回补,1,120.00000000874141,1.0,0.7986111111111112,0.20138888888888884,-153.9300067,-518.560653
18,Q2基线（忽略朝向）,1,240.00000000839015,1.0,1.0,0.0,254.6876675,206.203239
18,Q4方向风险回补,1,119.99999999582266,1.0,0.8333333333333334,0.16666666666666663,-247.6561663,-121.8983805
19,Q2基线（忽略朝向）,0,240.00000000218165,1.0,1.0,0.0,-761.169446,749.948017
19,Q4方向风险回补,0,120.0000000010908,1.0,0.8472222222222222,0.1527777777777778,-755.584723,149.9740085
20,Q2基线（忽略朝向）,0,160.0000000066888,1.0,1.0,0.0,-869.3847181,-1241.041901
20,Q4方向风险回补,1,80.00000000185209,1.0,0.9166666666666666,0.08333333333333337,-1145.5209505,-390.307641
21,Q2基线（忽略朝向）,0,240.00000000379518,1.0,1.0,0.0,-1754.4339158,206.5915845
21,Q4方向风险回补,0,119.99999999642598,1.0,0.8333333333333334,0.16666666666666663,-1252.2169579,-121.7042078
22,Q2基线（忽略朝向）,0,240.0000000064089,1.0,1.0,0.0,266.665527,-1087.4882009
22,Q4方向风险回补,1,119.99999999112654,1.0,0.8402777777777777,0.15972222222222232,-219.79313,-169.1429635
23,Q2基线（忽略朝向）,1,160.00000000231694,1.0,1.0,0.0,-1422.4300824,-16.5974339
23,Q4方向风险回补,1,80.00000000186601,1.0,0.9166666666666666,0.08333333333333337,-1068.6249132,-691.8225893
24,Q2基线（忽略朝向）,0,160.0000000041916,1.0,1.0,0.0,-688.7235867,-1247.6497986
24,Q4方向风险回补,1,79.99999999501067,1.0,0.9166666666666666,0.08333333333333337,-1114.293931,-615.1966459
25,Q2基线（忽略朝向）,0,160.00000000549838,1.0,1.0,0.0,-1098.1905351,-1170.2522831
25,Q4方向风险回补,1,79.99999999785372,1.0,0.9166666666666666,0.08333333333333337,-1147.9519661,-409.5743563
26,Q2基线（忽略朝向）,1,159.99999999601923,1.0,1.0,0.0,-1389.3511676,-930.8638939
26,Q4方向风险回补,1,79.9999999939791,1.0,0.9166666666666666,0.08333333333333337,-1147.06315,-498.382382
27,Q2基线（忽略朝向）,0,240.00000000429108,1.0,1.0,0.0,-219.331244,-1526.2855901
27,Q4方向风险回补,1,120.00000000702946,1.0,0.8333333333333334,0.16666666666666663,-151.2874796,-489.2850857
28,Q2基线（忽略朝向）,0,239.9999999966812,1.0,1.0,0.0,-44.096652,-1420.4125222
28,Q4方向风险回补,0,119.9999999983406,1.0,0.8055555555555557,0.1944444444444443,-397.048326,-935.2062611
29,Q2基线（忽略朝向）,1,159.9999999974679,1.0,1.0,0.0,-1011.8481369,305.933564
