频道,首次正观测虚拟时间(s),清除成功虚拟时间(s),定位清除耗时(s),正测向次数,Q2首次主动二测评分,Q2首次主动二测阈值,Q2几何质量,Q2接收保障,Q2归一化移动代价,Q2源距四分位距(m),Q2不确定性分级,最终信念状态数
1,5.0,1214.639209,1209.639209,2,0.34919476148905293,0.0,1.0,0.696078431372549,0.18004184957091374,582.7302259477319,未分级,562
3,17.0,374.272325,357.272325,2,0.4060867058591921,0.0,1.0,0.6002076843198338,0.027909662009549353,552.1756621218843,未分级,23
4,23.0,321.908718,298.908718,2,0.281875691753363,0.0,1.0,0.7683587974371612,0.3435921354681383,593.8544019392211,未分级,420
5,29.0,976.226708,947.226708,2,0.20369459580200516,0.0,1.0,0.708457711442786,0.4759938929731041,550.9611831257687,未分级,110
7,3332.422184,3570.30157,237.87938600000007,2,0.28601279007478864,0.0,1.0,0.789044289044289,0.3435921354681384,288.2813794931785,未分级,119
8,47.0,479.677566,432.677566,2,0.3877559852447996,0.0,1.0,0.6214953271028038,0.07308616035152224,502.27950394645995,未分级,27
9,1642.192381,2240.446567,598.2541859999999,2,0.07569856850317813,0.0,1.0,0.5113960113960114,0.6531612675520483,329.5921921774505,未分级,65
11,1654.192381,1899.576416,245.38403500000004,2,0.30531315397946907,0.0,1.0,0.8855461085676913,0.3435921354681384,392.9574884493601,未分级,251
12,4977.082887,5235.931346,258.84845900000073,2,0.25916206509175743,0.0,1.0,0.7605633802816901,0.38590122192916126,269.2278852681203,未分级,14
18,2716.065563,2895.410732,179.34516899999971,2,0.2916675014317175,0.0,1.0,0.8173178458289335,0.3435921354681384,291.1766925073671,未分级,79
19,7704.329444,7911.537199,207.20775500000036,2,0.30687301587301596,0.0,1.0,0.9371428571428572,0.361111111111111,567.3099076575465,未分级,9
20,119.0,713.434075,594.434075,2,0.2794825142688274,0.0,1.0,0.6912065439672802,0.3175175890492572,550.0,未分级,316
