组号,类型,S_x(m),S_y(m),监测点数,区域状态,直径(m),同直径圆覆盖,检查结果,M1_x(m),M1_y(m),M2_x(m),M2_y(m),M3_x(m),M3_y(m),M4_x(m),M4_y(m),M5_x(m),M5_y(m),M6_x(m),M6_y(m)
MC001,蒙特卡洛,-1048.7279913727755,1233.3223001266417,5,polygon,25.16485363375846,False,通过,-1493.4354362559463,507.44943783119527,-1408.5116852491758,1963.9939952370446,-1132.1761409475348,1907.6111239886404,-617.6835506172049,1645.3930688075588,-1854.1681043981455,1203.6759124056055,,
MC002,蒙特卡洛,-207.30225026166812,-1317.3426183914942,4,polygon,25.900752615139197,True,通过,387.79859160957795,-1446.6876996722517,230.74923369071206,-639.6157960051091,-500.5360045599209,-1485.2399834827409,338.04317070536314,-1809.7767909231982,,,,
MC003,蒙特卡洛,-802.4030137190521,-346.47507344899896,3,polygon,16.965467905268856,True,通过,-898.1164712160447,-428.0225141764023,-455.7677540700394,-578.6588719449503,-1191.6321967124004,-966.7145635472984,,,,,,
MC004,蒙特卡洛,775.1962017547272,-1245.253686908773,2,polygon,63.96047131652355,True,通过,299.15096813705617,-674.5253856668329,898.5885625336107,-506.0839528723782,,,,,,,,
MC005,蒙特卡洛,-566.0285300333678,-1503.839585501109,6,polygon,23.54544241307357,True,通过,-554.386222180731,-986.1704205673367,-1136.528345656015,-1164.59005621909,-194.99521009110236,-807.4318952335817,-1254.3356820484887,-1910.630866880282,-1392.8437128009962,-1835.5584774739318,-175.61618562318728,-965.1703182543432
MC006,蒙特卡洛,-311.4890778608651,-1577.5840758832492,4,polygon,34.19693276626413,True,通过,-775.3399721354746,-1603.8314697633648,-2.8190150454156537,-2366.007894450368,201.55872971832196,-1504.0714312776247,456.887819671815,-1290.9585610160398,,,,
MC007,蒙特卡洛,-1464.9461230716663,-286.1661284352747,2,polygon,77.42519309282439,True,通过,-1928.7413787959572,-422.3531204067991,-1063.0139170196649,114.78896993533351,,,,,,,,
MC008,蒙特卡洛,-38.500116849601206,618.0992725995364,4,polygon,15.416370839386895,True,通过,43.48548750984582,771.7284992452048,271.14388581113496,589.5743963672924,-98.24231138683132,1355.077776509011,-386.3028999636478,299.5432575833772,,,,
MC009,蒙特卡洛,862.3653429456645,684.7781579282623,6,polygon,22.942298815782443,True,通过,1224.3647452681964,-59.868514702718585,387.0037516791333,1364.0449408441566,1582.2617168629356,343.559183565953,1591.1292393959875,857.9094346819716,459.2770455001201,1217.3221431481797,1603.0888804630254,1046.9354459043807
MC010,蒙特卡洛,-1353.190919229435,-988.8311776546075,6,polygon,11.39897170220262,False,通过,-654.0381690200926,-936.8657992355844,-504.70945274297674,-1182.8017786936025,-1713.9801638625895,-1134.0243647624925,-1638.456139210221,-1709.9871075157569,-1569.135315120682,-1210.334482958447,-1017.0592150218367,-1347.3326616469005
MC011,蒙特卡洛,1203.930698129494,-1279.43700902658,4,polygon,27.38239911983539,True,通过,876.3109272996564,-1317.024976220705,1421.361691436131,-1904.9337812605677,670.746770229041,-1269.8038440893947,1012.2617904071885,-629.2165817815246,,,,
MC012,蒙特卡洛,-106.16967117142185,1527.4125409068483,2,polygon,400.37445073818,True,通过,639.239008733072,1989.5218616779975,-567.4908147326579,1320.8755233459633,,,,,,,,
MC013,蒙特卡洛,-551.7213744518065,-1214.8905392662066,3,polygon,25.803131410454203,True,通过,-70.52320457690655,-508.79461423979274,-144.07645068443554,-1593.2289017870871,-410.2533019438159,-938.244987306514,,,,,,
MC014,蒙特卡洛,-37.661080092891865,755.5856910666942,2,polygon,44.62895604649915,True,通过,-422.8469245328889,-39.22696212961807,20.10339962110924,626.4983361223685,,,,,,,,
MC015,蒙特卡洛,522.0896288122264,525.7842484924149,4,polygon,51.191844027016245,True,通过,370.39209346858377,1149.740348727954,405.19880576015044,1189.1317262340726,752.54777490087,945.0942541374848,544.9943575988941,-228.86198207554924,,,,
MC016,蒙特卡洛,658.5600063710003,-198.9581378938656,2,polygon,84.78361405099213,True,通过,839.9913119328526,400.31651978636796,393.0133351717425,596.9852106127379,,,,,,,,
MC017,蒙特卡洛,-370.52416513838824,-1344.4034675614053,2,polygon,39.36133173437622,True,通过,-288.26464088801197,-1210.6692239229706,-994.4373317051993,-1524.9161065767848,,,,,,,,
MC018,蒙特卡洛,-465.3791246610617,-1566.4183096919223,2,polygon,108.61325905037579,True,通过,-117.86204175893982,-1996.0382790433118,-313.81946396070407,-2427.8669473047466,,,,,,,,
MC019,蒙特卡洛,-784.0388491595568,1347.0949509967465,2,polygon,700.0462352269913,True,通过,-716.0321266136331,2013.4647720431715,-813.8813555387808,855.0794335672817,,,,,,,,
MC020,蒙特卡洛,877.2508682698838,1490.6915674441723,2,polygon,101.36144064847805,True,通过,896.6169835329764,1105.8906386281574,738.1698981394408,1910.155068615756,,,,,,,,
MC021,蒙特卡洛,1016.8356305712448,3.760467010624039,4,polygon,18.339135349839623,True,通过,1331.4368948628344,626.2699818232378,1324.3091887737003,783.7530148416764,370.47594832394066,-226.7434668626247,929.3282800799763,36.1233489949761,,,,
MC022,蒙特卡洛,-1213.3489758043913,-541.1766373765747,5,polygon,5.320281826516474,True,通过,-797.5647157128508,-1202.4231243321622,-1004.719503178876,134.6540067461085,-684.6847177667447,-785.2854698759743,-1265.6992272375644,-1075.9863943382977,-1112.2561003256947,-578.42326336099,,
MC023,蒙特卡洛,1514.7262515283526,226.0243041591526,4,polygon,9.005147865161952,False,通过,1747.6594984624626,132.54015806223038,1280.8531289675468,-576.9586024735058,1378.7265825764441,1097.291579676827,1545.6913598167298,292.21631450148516,,,,
MC024,蒙特卡洛,-473.24158232603736,874.8946137194621,2,polygon,321.2597456593994,True,通过,33.469241238363736,654.8633016891365,239.8635147398984,416.3801101046808,,,,,,,,
MC025,蒙特卡洛,858.6929774626145,685.2030988970171,4,polygon,27.460246255553415,True,通过,793.1653657349746,135.94405776123892,1380.2016766118331,299.93834910406764,1066.0241008403236,1391.962299457855,926.1906031074486,893.2949270182833,,,,
MC026,蒙特卡洛,-1372.1212830771117,-471.4292742194023,3,polygon,24.252754962455906,True,通过,-1869.3021134093217,-952.2955054112281,-1252.7374844313188,-212.01899586794684,-1047.7889053909907,-824.8463205596527,,,,,,
MC027,蒙特卡洛,-312.93674513916864,-459.64042088044846,6,polygon,26.79101331266429,True,通过,293.52048310002243,200.96505656011846,327.1453196946863,-1074.224346007803,-316.8544911774924,105.83136766645077,-262.3720377323029,-1237.8499077359209,-119.02195548539379,371.9087609345222,-868.4531151351905,-1109.104118043143
MC028,蒙特卡洛,544.5374032957309,-484.92141762650397,2,polygon,178.17014035829436,True,通过,373.57050058143255,161.46720669630463,252.19931978978548,17.404961216928086,,,,,,,,
MC029,蒙特卡洛,-416.7188013441536,1157.2319479975506,2,polygon,101.07626453861104,True,通过,-896.5176097752119,717.4607530602109,-1111.7003790080325,996.5275906332232,,,,,,,,
MC030,蒙特卡洛,-556.7035148832597,1133.7637743279045,5,polygon,36.26702829129063,True,通过,-252.91169716435712,1570.430228851054,-359.0004974682762,335.29436345118734,-1156.423424255719,756.2451543073946,-882.3756914736382,1754.116144193532,-584.5672137233164,600.6771936842009,,
MC031,蒙特卡洛,-853.2542824492197,39.86811395468502,2,polygon,65.04896178785212,True,通过,-1219.876816643732,-143.0353806138357,-309.6445919376904,5.253315593838046,,,,,,,,
MC032,蒙特卡洛,1595.5923590779128,692.6597988289352,6,polygon,21.544958754004206,True,通过,872.6163261941616,1029.818520612163,1492.0906904216442,1321.5658274973873,1617.9214591465834,949.8539256247391,2031.624194908975,-51.9394802553378,1490.9399154814175,1059.5012274881253,1853.0989599971706,1028.7970372470545
MC033,蒙特卡洛,-61.923668494257036,290.03538632350705,3,polygon,30.208772624611232,True,通过,-590.4077935946892,284.4708142622271,766.3345430964143,341.68455265011323,-151.9487468975707,-306.4603718019356,,,,,,
MC034,蒙特卡洛,-1051.2465924358296,-485.0148926056998,6,polygon,30.054879227934283,True,通过,-860.8156107818116,-1234.069877497983,-1468.084824675706,-999.0183806222421,-1137.7767720273637,-1291.4107524439735,-777.879919675724,-283.26231130122005,-1781.8562921893244,2.68741830789628,-419.71032687790466,-331.6095747850036
MC035,蒙特卡洛,-488.3119019486938,539.6363845102428,3,polygon,32.64579665088688,False,通过,-1110.3668591484723,82.74297220000358,18.039349307856924,915.1785129773593,-913.3817476031536,1117.8660407709199,,,,,,
MC036,蒙特卡洛,-950.8409362937763,-74.67337975678048,3,polygon,47.81132362093024,True,通过,-1532.883093739376,326.8954127890818,-1305.0070961612776,555.9373450830071,-1585.2812642024683,-78.06051412840618,,,,,,
MC037,蒙特卡洛,-994.9936708731619,-1102.853773143426,6,polygon,18.369339081064766,False,通过,-329.61357271743634,-1332.605688485835,-1096.2106050931707,-1474.5684353692723,-476.92891410268555,-371.24271681515495,-274.94611428091184,-1455.182254665056,-439.9466487680005,-558.2176642463567,-300.8771837103036,-1616.5900919130636
MC038,蒙特卡洛,-43.77386241927679,411.29850142334516,5,polygon,8.554133489917579,False,通过,-180.9874358385258,605.618104197071,-306.8068198153019,64.56713479104155,-836.4802562059808,537.7778715340877,-273.00153355570865,39.88362045218423,748.3419029083213,305.1075696566128,,
MC039,蒙特卡洛,910.8088356188025,-397.2136043518768,6,polygon,21.111895500669903,False,通过,1489.2872403009872,-616.7190718235734,1610.5179014582545,-345.6204669069806,1606.8284237535863,-409.27937580841956,1242.7027168271088,-717.1867286862728,1384.025622313837,232.54160252878887,821.7145216506025,-838.4517338815834
MC040,蒙特卡洛,1425.5946538516582,-885.1836514292277,5,polygon,27.34406655552978,True,通过,1217.1908972859837,-793.8812820807879,962.0310082922758,-317.94087641226633,1994.4968926148158,-1065.663121456476,1516.8302636987232,-998.9875185219233,2159.3180395848613,-1155.484935635491,,
MC041,蒙特卡洛,-1679.907334360901,-18.073434642729868,3,polygon,32.7429394170327,True,通过,-1005.6822800372389,-554.1052310819612,-1754.1894206917075,-345.1308168620993,-2300.385962117708,363.8369926356983,,,,,,
MC042,蒙特卡洛,-599.5357300420756,-1655.8227279748894,5,polygon,14.649092112907732,False,通过,-550.0595137887304,-2261.5597524349832,-1449.788350799311,-1680.807119053555,-416.37033815203546,-2296.8957083108794,-1336.4702798838152,-1427.8635680215812,-818.473403247163,-2206.6801027702313,,
MC043,蒙特卡洛,1284.0974317793539,204.3379200909176,4,polygon,27.642813475118437,True,通过,966.9618908629546,-182.26317693693207,1311.8610423959753,-673.0113815616598,973.8056815237678,828.8383291662095,1619.9774367086734,444.9504398284605,,,,
MC044,蒙特卡洛,-948.5540110902416,1329.801552043734,3,polygon,528.6641746018533,True,通过,-811.3522090866779,1221.5515662315997,-674.76834660623,1135.1296000382163,-1368.5291256390356,1657.6973086720259,,,,,,
MC045,蒙特卡洛,-518.7045105588846,412.56185575039194,5,polygon,18.23313934111429,False,通过,35.50929347124668,24.327955151903836,-53.45896580593467,632.1903863293707,-1109.1240826325889,572.5608354271926,-858.3438661438108,100.45395318454973,-234.30706998811098,-286.6184805765547,,
MC046,蒙特卡洛,370.1724789770643,-24.841905853641006,2,polygon,26.17218930380058,True,通过,893.6268957350298,-171.262495367402,349.9980334871802,275.70978845581334,,,,,,,,
