组号,监测点,M_x(m),M_y(m),S_x(m),S_y(m),真实方位(°),加入误差(°),示向度(°),源点距离(m)
MC001,M1,-1493.4354362559463,507.44943783119527,-1048.7279913727755,1233.3223001266417,58.50619891149663,-0.6523989214782375,57.85379999001839,851.2673632599235
MC001,M2,-1408.5116852491758,1963.9939952370446,-1048.7279913727755,1233.3223001266417,296.215694964184,-0.4943845549835828,295.72131040920044,814.447931064262
MC001,M3,-1132.1761409475348,1907.6111239886404,-1048.7279913727755,1233.3223001266417,277.05489837253515,0.00985399018827593,277.0647523627234,679.4328602979465
MC001,M4,-617.6835506172049,1645.3930688075588,-1048.7279913727755,1233.3223001266417,223.71081928538283,0.07049071271876528,223.7813099981016,596.3234259255329
MC001,M5,-1854.1681043981455,1203.6759124056055,-1048.7279913727755,1233.3223001266417,2.1079735076975328,0.3703947308659963,2.4783682385635366,805.9855358349968
MC002,M1,387.79859160957795,-1446.6876996722517,-207.30225026166812,-1317.3426183914942,167.73749403269136,0.5059693251581905,168.24346335784955,608.9952069165993
MC002,M2,230.74923369071206,-639.6157960051091,-207.30225026166812,-1317.3426183914942,237.1232291416635,0.8518687329817567,237.97509787464526,806.9713429700147
MC002,M3,-500.5360045599209,-1485.2399834827409,-207.30225026166812,-1317.3426183914942,29.79423356395805,-0.9501806157846886,28.84405294817336,337.89874202848324
MC002,M4,338.04317070536314,-1809.7767909231982,-207.30225026166812,-1317.3426183914942,137.91870112237757,-0.888973585339528,137.02972753703804,734.7741438337991
MC003,M1,-898.1164712160447,-428.0225141764023,-802.4030137190521,-346.47507344899896,40.43084982549868,-0.8721522158983532,39.55869760960034,125.74200187374933
MC003,M2,-455.7677540700394,-578.6588719449503,-802.4030137190521,-346.47507344899896,146.18496844572564,-0.6271482622958331,145.5578201834298,417.2113607225323
MC003,M3,-1191.6321967124004,-966.7145635472984,-802.4030137190521,-346.47507344899896,57.889813237661016,-0.05649039656455557,57.833322841096454,732.2543150921462
MC004,M1,299.15096813705617,-674.5253856668329,775.1962017547272,-1245.253686908773,309.8315301603596,0.14356192887095176,309.97509208923054,743.2024342590744
MC004,M2,898.5885625336107,-506.0839528723782,775.1962017547272,-1245.253686908773,260.522790394021,0.7251247387399076,261.2479151327609,749.3981387847323
MC005,M1,-554.386222180731,-986.1704205673367,-566.0285300333678,-1503.839585501109,268.71164303590854,-0.00440832487811349,268.7072347110304,517.8000653296258
MC005,M2,-1136.528345656015,-1164.59005621909,-566.0285300333678,-1503.839585501109,329.2620324478688,-0.35630038012902787,328.9057320677398,663.7471527197281
MC005,M3,-194.99521009110236,-807.4318952335817,-566.0285300333678,-1503.839585501109,241.95212265054522,-0.9556033359731941,240.99651931457203,789.0813618196363
MC005,M4,-1254.3356820484887,-1910.630866880282,-566.0285300333678,-1503.839585501109,30.583195626973144,0.3023834895546429,30.88557911652779,799.5285374026847
