"组号","误差半角(°)","区域状态","直径(m)","包含检查","直径不减检查","检查结果","","","","","","","","","","","","",""
"MC001","0.9","polygon","20.3575915131477","基准","不适用","通过","","","","","","","","","","","","",""
"MC001","1","polygon","25.1648536337585","通过","通过","通过","","","","","","","","","","","","",""
"MC001","1.1","polygon","29.5787920582863","通过","通过","通过","","","","","","","","","","","","",""
"MC002","0.9","polygon","21.9426076575915","基准","不适用","通过","","","","","","","","","","","","",""
"MC002","1","polygon","25.9007526151392","通过","通过","通过","","","","","","","","","","","","",""
"MC002","1.1","polygon","29.8801264350114","通过","通过","通过","","","","","","","","","","","","",""
"MC003","0.9","polygon","15.2695103188101","基准","不适用","通过","","","","","","","","","","","","",""
"MC003","1","polygon","16.9654679052689","通过","通过","通过","","","","","","","","","","","","",""
"MC003","1.1","polygon","18.6612187728552","通过","通过","通过","","","","","","","","","","","","",""
"MC004","0.9","polygon","57.5470422752686","基准","不适用","通过","","","","","","","","","","","","",""
"MC004","1","polygon","63.9604713165236","通过","通过","通过","","","","","","","","","","","","",""
"MC004","1.1","polygon","70.3800151155214","通过","通过","通过","","","","","","","","","","","","",""
"MC005","0.9","polygon","20.9022215917523","基准","不适用","通过","","","","","","","","","","","","",""
"MC005","1","polygon","23.5454424130736","通过","通过","通过","","","","","","","","","","","","",""
"MC005","1.1","polygon","26.3718664411141","通过","通过","通过","","","","","","","","","","","","",""
"MC006","0.9","polygon","30.2312474066627","基准","不适用","通过","","","","","","","","","","","","",""
"MC006","1","polygon","34.1969327662641","通过","通过","通过","","","","","","","","","","","","",""
"MC006","1.1","polygon","38.1925086141752","通过","通过","通过","","","","","","","","","","","","",""
"MC007","0.9","polygon","69.6853627302306","基准","不适用","通过","","","","","","","","","","","","",""
"MC007","1","polygon","77.4251930928244","通过","通过","通过","","","","","","","","","","","","",""
"MC007","1.1","polygon","85.1640800538743","通过","通过","通过","","","","","","","","","","","","",""
"MC008","0.9","polygon","13.8727249116789","基准","不适用","通过","","","","","","","","","","","","",""
"MC008","1","polygon","15.4163708393869","通过","通过","通过","","","","","","","","","","","","",""
"MC008","1.1","polygon","16.9607225714385","通过","通过","通过","","","","","","","","","","","","",""
"MC009","0.9","polygon","18.6759028762373","基准","不适用","通过","","","","","","","","","","","","",""
"MC009","1","polygon","22.9422988157824","通过","通过","通过","","","","","","","","","","","","",""
"MC009","1.1","polygon","27.204783422918","通过","通过","通过","","","","","","","","","","","","",""
"MC010","0.9","polygon","7.66830728000975","基准","不适用","通过","","","","","","","","","","","","",""
"MC010","1","polygon","11.3989717022026","通过","通过","通过","","","","","","","","","","","","",""
"MC010","1.1","polygon","15.1514499546902","通过","通过","通过","","","","","","","","","","","","",""
