case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,16,16,16,5038.956,99,17
2,13,13,13,4241.082,104,13
3,11,11,11,4569.985,119,11
4,16,16,16,5035.38,97,18
5,13,13,13,4287.332,117,14
6,13,13,13,5172.769,110,14
7,13,13,13,4498.292,103,15
8,12,12,12,4415.019,109,12
9,15,15,14,5515.433,104,21
10,14,14,14,5037.151,121,14
11,15,15,15,4888.111,96,15
12,16,16,16,4988.918,113,17
13,10,10,10,4325.751,128,11
14,10,10,10,4115.836,109,10
15,15,15,15,4399.616,100,16
16,10,10,10,3990.145,115,11
17,14,14,14,4814.619,106,14
18,10,10,10,4753.955,120,11
19,14,14,14,4448.23,104,15
20,14,14,14,4583.994,99,15
21,10,10,10,4333.144,116,10
22,16,16,16,4626.315,83,18
23,15,15,15,4750.28,101,15
24,10,10,10,4855.291,113,12
25,15,15,15,4632.716,102,16
26,13,13,13,4953.249,109,13
27,12,12,12,4411.445,106,12
28,15,15,15,5318.062,102,17
29,12,12,12,4565.963,110,14
30,10,10,10,4844.513,119,10
31,12,12,12,4937.831,121,12
32,14,14,14,4868.785,103,16
33,16,16,16,4470.539,96,17
34,16,16,16,4980.858,104,17
35,13,13,13,4587.472,106,14
36,15,15,15,4698.547,115,15
37,12,12,12,4552.195,112,14
38,12,12,11,4847.043,113,17
39,14,14,14,4614.02,112,14
40,16,16,16,4042.443,92,16
41,16,16,16,5771.78,117,19
42,14,14,14,4996.97,108,16
43,13,13,13,4484.422,105,14
44,15,15,15,4417.857,103,16
45,16,16,16,5403.063,106,18
46,15,15,15,4383.494,92,16
47,13,13,13,5075.483,108,15
48,13,13,12,5000.81,128,18
49,16,16,16,5435.52,101,17
50,13,13,13,5033.8,107,13
51,10,10,10,4378.358,123,10
52,10,10,10,4836.586,117,12
53,11,11,11,4170.845,108,11
54,11,11,11,4595.731,119,11
55,10,10,10,4439.982,123,11
56,13,13,13,4366.821,107,13
57,15,15,15,5036.151,109,15
58,14,14,14,4856.874,102,14
59,12,12,11,4668.63,112,16
60,12,12,12,5031.908,107,12
61,10,10,10,4641.161,112,10
62,12,12,12,4741.065,113,12
63,15,15,15,4598.371,100,15
64,14,14,14,5217.662,114,16
65,13,13,13,4699.105,108,13
66,16,16,16,4413.33,95,16
