case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,10,10,10,4133.424,132,10
2,15,15,15,4402.124,124,16
3,14,14,14,4468.878,126,16
4,16,16,16,4847.24,131,26
5,10,10,10,3675.413,133,10
6,10,10,10,4211.983,129,12
7,13,13,13,4462.924,127,17
8,10,10,10,3610.127,135,10
9,14,14,14,4542.389,134,18
10,10,10,10,4032.481,124,14
11,13,13,13,4646.299,135,18
12,16,16,16,4412.862,106,18
13,16,16,16,5575.773,138,28
14,16,16,16,4154.636,82,28
15,15,15,15,4387.677,114,18
16,12,12,12,4114.703,131,16
17,10,10,10,3794.967,125,10
18,16,16,16,4125.973,78,39
19,10,10,10,4531.602,132,13
20,12,12,12,4588.987,132,13
21,13,13,13,4587.084,130,14
22,16,16,16,4222.355,124,19
23,11,11,11,4066.385,131,15
24,14,14,14,4086.508,125,14
25,10,10,10,4482.97,137,19
26,14,14,14,4237.387,126,18
27,10,10,10,3610.802,124,10
28,10,10,10,4074.185,130,10
29,13,13,13,4900.164,134,20
30,15,15,15,5032.538,118,23
