case,cleared,group,measure_actions,movement_time_s,post_search_time_s,search_time_s,source_count,time_per_source_s,total_time_s
1,14,C,141,4269.9375018473065,,,14,370.13842857142856,5181.938
1,14,C_reweighted,143,4180.686699049792,,,14,364.4776428571428,5102.687
1,14,C_completion_only,143,3922.9033353046398,,,14,346.0645,4844.903
1,14,C_coobserve_only,143,4138.887202116922,,,14,361.7062142857143,5063.887
1,14,Cplus,145,3598.1926650676164,,,14,323.94235714285713,4535.193
1,14,F_no_insertion,104,3820.668044463324,,,14,322.0477142857143,4508.668
1,14,F,105,3922.0752720518212,,,14,329.7910714285714,4617.075
1,14,I_normal,107,3718.7487938859413,2435.149759725712,1989.5992402742875,14,316.0535,4424.749
1,14,I_discovery_truth,70,3318.567076776662,,,14,271.96907142857145,3807.567
1,14,truth_after_search,,,1924.2172436997564,1989.5992402742875,14,279.55832028386027,3913.816483974044
1,14,truth_direct_centres,,,,,14,142.2272233097647,1991.1811263367058
1,14,truth_disk_lower_bound,,,,,14,134.51293759547897,1883.1811263367058
2,14,C,142,4415.360420649632,,,14,380.9542857142857,5333.36
2,14,C_reweighted,144,4388.433263916977,,,14,379.74521428571427,5316.433
2,14,C_completion_only,145,3745.9305083930376,,,14,334.20935714285713,4678.931
2,14,C_coobserve_only,145,4119.007830337119,,,14,361.0005714285714,5054.008
2,14,Cplus,144,3670.196315597013,,,14,328.6568571428571,4601.196
2,14,F_no_insertion,113,3520.871596795233,,,14,304.4908571428572,4262.872
2,14,F,106,3493.2477064212953,,,14,299.6605714285714,4195.248
2,14,I_normal,112,3388.902886414543,2077.847905915846,2049.0550940841545,14,294.77878571428573,4126.903
2,14,I_discovery_truth,85,3422.834468110062,,,14,285.8452857142857,4001.834
2,14,truth_after_search,,,1924.5016276830916,2049.0550940841545,14,283.82548012623187,3973.556721767246
2,14,truth_direct_centres,,,,,14,142.74611903659107,1998.4456665122748
2,14,truth_disk_lower_bound,,,,,14,135.03183332230535,1890.4456665122748
