seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
314159,1,J_ring7_1000,11,11,11,3413.698,121,11,1,2637.697777,27,17,8,2063.4075011278346,83,0,0.82713
314159,1,Ablation_ring8_950,11,11,11,3368.797,127,11,1,2553.797137,23,20,2,2006.4520483333768,93,0,1.619222
314159,2,J_ring7_1000,13,13,13,4206.912,126,13,1,3388.912297,33,21,7,2112.128704088979,80,0,1.983908
314159,2,Ablation_ring8_950,13,13,13,4065.54,138,13,1,3175.53999,38,23,8,2066.864831532455,87,0,1.766939
314159,3,J_ring7_1000,11,11,11,3738.156,130,11,1,2906.155819,27,16,5,2075.651218129595,92,0,1.058956
314159,3,Ablation_ring8_950,11,11,11,3792.791,145,11,1,2871.790762,33,20,7,2177.9255479850663,101,0,2.112193
314159,4,J_ring7_1000,16,16,16,3920.795,113,16,1,3167.795342,51,33,8,1800.7427839174038,48,0,1.307911
314159,4,Ablation_ring8_950,16,16,16,3548.586,111,16,1,2810.585795,51,33,8,1422.874166699796,44,0,1.981704
314159,5,J_ring7_1000,11,11,11,3932.907,140,11,1,3043.907296,33,20,8,2125.8260071785394,97,0,1.619681
314159,5,Ablation_ring8_950,11,11,11,3980.086,152,11,1,3020.086458,33,20,8,2155.020412551637,109,0,2.097323
314159,6,J_ring7_1000,16,16,16,4136.802,112,16,1,3389.802212,41,29,7,1984.9817162664385,55,0,1.368139
314159,6,Ablation_ring8_950,16,16,16,3948.109,131,16,1,3092.108708,40,24,6,2043.384978857509,76,0,1.707326
314159,7,J_ring7_1000,11,11,11,4007.916,140,11,1,3117.916041,28,17,8,2112.5802275490378,101,0,1.166164
314159,7,Ablation_ring8_950,11,11,11,4101.653,155,11,1,3120.652775,30,17,7,2149.7424594855042,115,0,1.679001
314159,8,J_ring7_1000,16,16,16,3912.467,113,16,1,3160.467208,44,30,8,1884.6417754134602,54,0,0.919592
314159,8,Ablation_ring8_950,16,16,16,3577.384,107,16,1,2861.384454,44,26,8,1486.0405434248337,47,0,2.550058
314159,9,J_ring7_1000,11,11,11,3884.643,144,11,1,2968.642988,26,15,8,2107.9329101304083,107,0,0.856576
314159,9,Ablation_ring8_950,11,11,11,3895.965,160,11,1,2882.965266,30,20,6,2220.650492261401,120,0,2.300604
314159,10,J_ring7_1000,16,16,16,4474.001,123,16,1,3660.000987,45,31,7,1915.4761662301455,64,0,1.866499
314159,10,Ablation_ring8_950,16,16,16,4204.929,135,16,1,3320.929412,43,28,8,1993.9170566852258,76,0,2.427401
314159,11,J_ring7_1000,11,11,11,3261.218,122,11,1,2478.217616,26,16,7,2023.2017209984692,85,0,1.132498
314159,11,Ablation_ring8_950,11,11,11,3348.343,135,11,1,2486.342506,29,19,7,2093.9819026354753,95,0,2.733365
314159,12,J_ring7_1000,15,15,15,4229.768,122,15,1,3429.76796,33,20,8,2054.049079651919,75,0,0.502126
314159,12,Ablation_ring8_950,15,15,15,4177.152,140,15,1,3268.151832,45,31,8,2167.8651474911967,80,0,1.999218
314159,13,J_ring7_1000,14,14,14,3988.091,110,14,1,3261.090925,33,22,8,2047.1349099028353,63,0,1.057775
314159,13,Ablation_ring8_950,14,14,14,4261.189,127,14,1,3432.188932,38,23,8,2054.625809408187,75,0,2.185861
314159,14,J_ring7_1000,15,15,15,4018.606,114,15,1,3261.605502,31,21,6,1960.1458567308678,68,0,1.329772
314159,14,Ablation_ring8_950,15,15,15,4477.144,146,15,1,3530.144276,40,23,8,2095.5338555248263,92,0,1.388832
314159,15,J_ring7_1000,13,13,13,4327.377,139,13,1,3438.377081,35,17,8,2278.371307512508,93,0,1.700222
314159,15,Ablation_ring8_950,13,13,13,4431.501,149,13,1,3477.500889,38,26,4,2036.4875394257724,100,0,1.486391
314159,16,J_ring7_1000,12,12,12,3571.978,115,12,1,2825.977956,32,20,6,2089.364978869812,71,0,1.522322
314159,16,Ablation_ring8_950,12,12,12,3780.551,143,12,1,2865.55095,42,29,8,2143.1291760468134,89,0,1.976592
314159,17,J_ring7_1000,16,16,16,4202.077,125,16,1,3378.076985,45,29,8,1936.768644820876,65,0,0.89878
314159,17,Ablation_ring8_950,16,16,16,4411.249,140,16,1,3499.24874,51,34,8,2108.0392872310954,74,0,3.012734
314159,18,J_ring7_1000,15,15,15,3750.694,120,15,1,2960.694076,40,26,8,2123.706030197888,65,0,0.827013
314159,18,Ablation_ring8_950,15,15,15,3499.451,118,15,1,2721.450966,37,24,8,2033.7556808415843,66,0,2.346924
314159,19,J_ring7_1000,14,14,14,4000.162,122,14,1,3204.162202,39,25,8,2048.2798948723917,69,0,1.070616
314159,19,Ablation_ring8_950,14,14,14,4040.065,127,14,1,3212.064931,38,25,8,2103.897653939134,75,0,2.017805
314159,20,J_ring7_1000,12,12,12,3427.205,115,12,1,2685.204766,31,17,8,2037.0384274560977,72,0,0.697728
314159,20,Ablation_ring8_950,12,12,12,3507.499,143,12,1,2594.498602,27,17,6,2158.2395033786156,104,0,1.517574
314159,21,J_ring7_1000,15,15,15,3559.136,108,15,1,2839.135861,36,25,8,2030.9069847930123,58,0,0.997576
314159,21,Ablation_ring8_950,15,15,15,3787.559,116,15,1,3018.559388,36,27,8,2025.1710289042185,66,0,2.732767
314159,22,J_ring7_1000,13,13,13,3509.247,120,13,1,2727.246741,40,30,8,2063.103965935118,69,0,1.448783
314159,22,Ablation_ring8_950,13,13,13,3489.81,121,13,1,2701.809916,31,21,8,2068.768070396585,78,0,2.381332
314159,23,J_ring7_1000,12,12,12,3930.15,122,12,1,3147.150007,31,16,8,2100.7477355606206,82,0,1.051515
314159,23,Ablation_ring8_950,12,12,12,3791.693,140,12,1,2896.693242,36,22,8,2131.3058164335207,93,0,2.161211
314159,24,J_ring7_1000,11,11,11,3356.187,120,11,1,2582.186759,27,18,8,2096.9883925077147,82,0,1.581712
314159,24,Ablation_ring8_950,11,11,11,3519.328,134,11,1,2663.328157,33,23,8,2148.0498616296404,90,0,2.204013
314159,25,J_ring7_1000,12,12,12,3882.406,129,12,1,3050.406384,26,14,8,2067.9324986421643,91,0,0.782287
314159,25,Ablation_ring8_950,12,12,12,3978.953,149,12,1,3028.953464,31,17,8,2170.790324198974,106,0,2.07066
314159,26,J_ring7_1000,15,15,15,4477.838,134,15,1,3602.838018,41,28,5,1999.926097675679,78,0,1.760377
314159,26,Ablation_ring8_950,15,15,15,4278.443,136,15,1,3391.44348,47,33,8,2047.8791112612073,76,0,2.391253
314159,27,J_ring7_1000,10,10,10,3825.815,134,10,1,2973.814898,26,15,6,2106.152084029315,99,0,1.132409
314159,27,Ablation_ring8_950,10,10,10,3874.18,141,10,1,2982.179653,25,13,8,2188.82448351007,106,0,1.46998
314159,28,J_ring7_1000,10,10,10,4014.104,147,10,1,3088.103694,40,22,8,2189.876902270312,98,0,1.382463
314159,28,Ablation_ring8_950,10,10,10,3954.151,154,10,1,2988.151229,36,19,6,2142.759611693932,109,0,2.471786
314159,29,J_ring7_1000,11,11,11,3517.908,127,11,1,2705.907625,29,16,8,2060.008227835655,88,0,0.759056
314159,29,Ablation_ring8_950,11,11,11,3668.136,128,11,1,2850.135696,31,17,8,2024.722347828851,87,0,2.251323
314159,30,J_ring7_1000,11,11,11,4109.928,137,11,1,3239.928489,28,14,7,2147.3189846266127,100,0,1.000112
314159,30,Ablation_ring8_950,11,11,11,3890.517,156,11,1,2902.516751,31,17,8,2293.804832598914,114,0,1.793609
314159,31,J_ring7_1000,16,16,16,4048.677,113,16,1,3296.677212,38,25,7,2025.8412372766086,59,0,1.627754
314159,31,Ablation_ring8_950,16,16,16,4261.473,128,16,1,3418.473153,43,28,8,1979.742551550835,69,0,2.46288
314159,32,J_ring7_1000,10,10,10,4169.374,144,10,1,3259.373981,30,19,7,2203.1947490347193,104,0,1.237686
314159,32,Ablation_ring8_950,10,10,10,4046.218,156,10,1,3063.218272,35,21,7,2197.147003407227,112,0,1.606801
314159,33,J_ring7_1000,12,12,12,3820.12,139,12,1,2931.119753,36,23,8,2119.7666271972876,91,0,0.982178
314159,33,Ablation_ring8_950,12,12,12,3881.804,152,12,1,2913.804225,38,27,8,2169.8528052945894,102,0,1.915483
314159,34,J_ring7_1000,12,12,12,3939.668,112,12,1,3210.668001,26,15,8,1980.5406026677715,74,0,0.601812
314159,34,Ablation_ring8_950,12,12,12,3606.509,125,12,1,2799.508625,33,24,8,2127.2704704137386,80,0,2.400792
314159,35,J_ring7_1000,12,12,12,3238.52,121,12,1,2454.520366,36,27,8,2139.1695815285484,73,0,1.514474
314159,35,Ablation_ring8_950,12,12,12,3067.631,127,12,1,2249.630816,38,27,8,2063.998558850558,77,0,2.82456
