seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
43817,1,G_rolling_coverage,13,13,13,4530.784,111,13,1,3804.783991,35,18,8,2143.0150514035668,63,0,0.256419
43817,1,H_task_scheduling,13,13,13,4591.732,110,13,1,3870.73172,34,17,8,2143.0150514035668,63,0,1.29256
43817,1,Ablation_action_nodes_only,13,13,13,4361.01,110,13,1,3640.010241,34,18,8,2143.0150514035668,63,0,1.654802
43817,1,Ablation_non_preemption_only,13,13,13,4635.245,111,13,1,3909.24453,35,18,8,2143.0150514035668,63,0,0.540961
43817,2,G_rolling_coverage,15,15,15,4301.292,115,15,1,3540.291614,38,24,8,2235.7639119680834,63,0,0.629011
43817,2,H_task_scheduling,15,15,15,4245.471,115,15,1,3485.471014,38,26,8,2235.7639119680834,62,0,4.356826
43817,2,Ablation_action_nodes_only,15,15,15,4245.471,115,15,1,3485.471014,38,26,8,2235.7639119680834,62,0,5.006409
43817,2,Ablation_non_preemption_only,15,15,15,4301.292,115,15,1,3540.291614,38,24,8,2235.7639119680834,63,0,0.493791
43817,3,G_rolling_coverage,11,11,11,4024.672,120,11,1,3257.672442,30,15,5,2236.7206700885126,79,0,1.76956
43817,3,H_task_scheduling,11,11,11,3958.638,117,11,1,3207.637691,27,13,5,2236.7206700885126,80,0,2.67122
43817,3,Ablation_action_nodes_only,11,11,11,3891.778,117,11,1,3140.778122,27,13,5,2236.7206700885126,80,0,2.739833
43817,3,Ablation_non_preemption_only,11,11,11,4024.672,120,11,1,3257.672442,30,15,5,2236.7206700885126,79,0,1.748452
43817,4,G_rolling_coverage,13,13,13,4315.809,123,13,1,3514.808553,33,21,8,2236.714204812618,77,0,0.491848
43817,4,H_task_scheduling,13,13,13,4359.413,120,13,1,3578.412581,30,18,8,2236.714204812618,77,0,0.914345
43817,4,Ablation_action_nodes_only,13,13,13,4319.955,123,13,1,3521.95494,33,20,8,2236.714204812618,77,0,1.770447
43817,4,Ablation_non_preemption_only,13,13,13,4315.809,123,13,1,3514.808553,33,21,8,2236.714204812618,77,0,0.762748
43817,5,G_rolling_coverage,14,14,14,4455.804,118,14,1,3683.803679,34,20,8,2208.757868224007,70,0,2.961736
43817,5,H_task_scheduling,14,14,14,4381.622,119,14,1,3604.621539,35,21,8,2208.757868224007,70,0,4.933408
43817,5,Ablation_action_nodes_only,14,14,14,4381.622,119,14,1,3604.621539,35,21,8,2208.757868224007,70,0,6.709004
43817,5,Ablation_non_preemption_only,14,14,14,4455.804,118,14,1,3683.803679,34,20,8,2208.757868224007,70,0,2.134746
43817,6,G_rolling_coverage,11,11,11,3897.179,107,11,1,3207.17934,28,18,6,2155.7734884650245,68,0,1.381136
43817,6,H_task_scheduling,11,11,11,4079.647,109,11,1,3378.646841,30,18,6,2155.7734884650245,68,0,3.430364
43817,6,Ablation_action_nodes_only,11,11,11,4084.648,110,11,1,3378.647782,31,18,6,2155.7734884650245,68,0,4.52911
43817,6,Ablation_non_preemption_only,11,11,11,3897.179,107,11,1,3207.17934,28,18,6,2155.7734884650245,68,0,1.324262
43817,7,G_rolling_coverage,15,15,15,4359.182,116,15,1,3595.181563,43,26,8,2185.4453449795747,58,0,2.866481
43817,7,H_task_scheduling,15,15,15,4371.556,113,15,1,3625.556327,40,24,8,2185.4453449795747,58,0,4.600863
43817,7,Ablation_action_nodes_only,15,15,15,4441.628,117,15,1,3673.628384,44,26,8,2185.4453449795747,58,0,4.80268
43817,7,Ablation_non_preemption_only,15,15,15,4359.182,116,15,1,3595.181563,43,26,8,2185.4453449795747,58,0,1.147599
43817,8,G_rolling_coverage,14,14,14,4540.527,108,14,1,3826.52689,31,15,8,2178.650778198943,63,0,0.428717
43817,8,H_task_scheduling,14,14,14,4607.021,107,14,1,3898.020703,30,16,8,2178.650778198943,63,0,0.956053
43817,8,Ablation_action_nodes_only,14,14,14,4607.021,107,14,1,3898.020703,30,16,8,2178.650778198943,63,0,1.418489
43817,8,Ablation_non_preemption_only,14,14,14,4540.527,108,14,1,3826.52689,31,15,8,2178.650778198943,63,0,0.416594
43817,9,G_rolling_coverage,13,13,13,4116.494,121,13,1,3330.49365,30,17,8,2259.730872146289,78,0,0.821148
43817,9,H_task_scheduling,13,13,13,4165.316,122,13,1,3372.315523,31,18,8,2259.730872146289,78,0,1.21517
43817,9,Ablation_action_nodes_only,13,13,13,4165.316,122,13,1,3372.315523,31,18,8,2259.730872146289,78,0,3.53655
43817,9,Ablation_non_preemption_only,13,13,13,4102.56,121,13,1,3316.560043,30,17,8,2259.730872146289,78,0,2.365285
43817,10,G_rolling_coverage,10,10,10,3770.961,113,10,1,3044.961132,26,16,8,2378.1653131892663,77,0,2.122921
43817,10,H_task_scheduling,10,10,10,3770.961,113,10,1,3044.961132,26,16,8,2378.1653131892663,77,0,3.215292
43817,10,Ablation_action_nodes_only,10,10,10,3770.961,113,10,1,3044.961132,26,16,8,2378.1653131892663,77,0,3.056901
43817,10,Ablation_non_preemption_only,10,10,10,3770.961,113,10,1,3044.961132,26,16,8,2378.1653131892663,77,0,1.549067
43817,11,G_rolling_coverage,15,15,15,4591.254,106,15,1,3885.253997,34,21,8,2161.3586884520637,57,0,0.968511
43817,11,H_task_scheduling,15,15,15,4539.072,106,15,1,3831.072348,34,22,8,2161.3586884520637,57,0,2.41207
43817,11,Ablation_action_nodes_only,15,15,15,4539.072,106,15,1,3831.072348,34,22,8,2161.3586884520637,57,0,2.003104
43817,11,Ablation_non_preemption_only,15,15,15,4538.758,109,15,1,3817.758226,37,23,8,2161.3586884520637,57,0,0.96568
43817,12,G_rolling_coverage,15,15,15,3651.004,98,15,1,2996.004031,29,17,8,2298.1627999350894,54,0,1.209077
43817,12,H_task_scheduling,15,15,15,3777.035,98,15,1,3122.03493,29,16,8,2298.1627999350894,54,0,1.333813
43817,12,Ablation_action_nodes_only,15,15,15,3817.65,100,15,1,3151.649739,31,17,8,2298.1627999350894,54,0,2.308265
43817,12,Ablation_non_preemption_only,15,15,15,3651.004,98,15,1,2996.004031,29,17,8,2298.1627999350894,54,0,1.128584
43817,13,G_rolling_coverage,13,13,13,3892.917,122,13,1,3099.917,31,19,8,2256.1487630418624,78,0,2.35198
43817,13,H_task_scheduling,13,13,13,4037.04,122,13,1,3244.040289,31,18,8,2256.1487630418624,78,0,3.012391
43817,13,Ablation_action_nodes_only,13,13,13,3893.445,122,13,1,3100.445178,31,19,8,2256.1487630418624,78,0,3.631424
43817,13,Ablation_non_preemption_only,13,13,13,3892.917,122,13,1,3099.917,31,19,8,2256.1487630418624,78,0,1.894887
43817,14,G_rolling_coverage,15,15,15,3726.744,98,15,1,3066.744404,29,18,7,2200.1431457596846,54,0,2.361782
43817,14,H_task_scheduling,15,15,15,3719.4,97,15,1,3064.39989,28,18,7,2200.1431457596846,54,0,2.795336
43817,14,Ablation_action_nodes_only,15,15,15,3719.4,97,15,1,3064.39989,28,18,7,2200.1431457596846,54,0,3.09952
43817,14,Ablation_non_preemption_only,15,15,15,3726.744,98,15,1,3066.744404,29,18,7,2200.1431457596846,54,0,1.821353
43817,15,G_rolling_coverage,11,11,11,4583.369,125,11,1,3783.369156,25,12,3,2150.553349881322,89,0,1.002663
43817,15,H_task_scheduling,11,11,11,4690.852,124,11,1,3895.851702,24,11,3,2150.553349881322,89,0,1.749557
43817,15,Ablation_action_nodes_only,11,11,11,4473.483,124,11,1,3678.482656,24,11,3,2150.553349881322,89,0,3.759729
43817,15,Ablation_non_preemption_only,11,11,11,4583.369,125,11,1,3783.369156,25,12,3,2150.553349881322,89,0,1.585018
