seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
61903,1,Cplus_completion_coobserve,12,12,12,4376.218,146,12,1,3442.217845,16,6,103,0,0.584721
61903,1,D_hybrid_belief_rolling,12,12,12,4372.469,149,12,1,3424.468544,19,12,104,0,0.382759
61903,1,E_hybrid_belief_route,12,12,12,4377.961,147,12,1,3439.961297,17,7,103,0,0.609975
61903,2,Cplus_completion_coobserve,15,15,15,4730.557,151,15,1,3754.556848,19,7,103,0,0.892646
61903,2,D_hybrid_belief_rolling,15,15,15,4702.073,152,15,1,3724.072709,20,14,103,0,0.488205
61903,2,E_hybrid_belief_route,15,15,15,4730.557,151,15,1,3754.556848,19,7,103,0,0.892799
61903,3,Cplus_completion_coobserve,10,10,10,3756.911,146,10,1,2833.910706,11,5,111,0,0.47775
61903,3,D_hybrid_belief_rolling,10,10,10,3733.323,148,10,1,2800.322921,13,10,111,0,0.313615
61903,3,E_hybrid_belief_route,10,10,10,3783.029,147,10,1,2853.029333,12,6,112,0,0.51833
61903,4,Cplus_completion_coobserve,15,15,15,4546.329,138,15,1,3646.329181,14,7,89,0,0.790846
61903,4,D_hybrid_belief_rolling,15,15,15,4570.156,143,15,1,3642.156421,19,15,89,0,0.547357
61903,4,E_hybrid_belief_route,15,15,15,4552.263,139,15,1,3646.26334,15,8,89,0,0.798149
61903,5,Cplus_completion_coobserve,10,10,10,4253.33,143,10,1,3348.329798,12,4,109,0,0.517185
61903,5,D_hybrid_belief_rolling,10,10,10,4229.407,143,10,1,3326.407253,12,5,110,0,0.448852
61903,5,E_hybrid_belief_route,10,10,10,4253.33,143,10,1,3348.329798,12,4,109,0,0.52467
61903,6,Cplus_completion_coobserve,12,12,12,4206.769,136,12,1,3336.768671,14,4,95,0,0.834781
61903,6,D_hybrid_belief_rolling,12,12,12,4449.409,141,12,1,3550.409288,19,9,96,0,0.727526
61903,6,E_hybrid_belief_route,12,12,12,4213.769,137,12,1,3336.768671,15,5,96,0,0.829133
61903,7,Cplus_completion_coobserve,15,15,15,4207.063,145,15,1,3264.062858,16,9,94,0,0.572834
61903,7,D_hybrid_belief_rolling,15,15,15,4104.423,146,15,1,3156.422592,17,12,94,0,0.478634
61903,7,E_hybrid_belief_route,15,15,15,4205.987,145,15,1,3262.987499,16,8,94,0,0.616785
61903,8,Cplus_completion_coobserve,13,13,13,4567.634,152,13,1,3594.634313,23,8,100,0,1.120364
61903,8,D_hybrid_belief_rolling,13,13,13,4594.474,156,13,1,3600.474054,27,14,100,0,1.228016
