seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,G_rolling_coverage,16,16,16,4613.971,110,16,1,3879.970731,41,23,8,2241.1710424190333,54,0,0.629593
55021,1,I_ring_optimized,16,16,16,4414.215,113,16,1,3665.214749,44,27,8,2147.801484593452,53,0,0.6244
55021,2,G_rolling_coverage,14,14,14,4172.216,109,14,1,3452.215529,34,19,8,2143.552401808093,61,0,0.702714
55021,2,I_ring_optimized,14,14,14,3936.098,111,14,1,3205.098079,36,22,7,2054.0580667608074,61,0,1.673083
55021,3,G_rolling_coverage,10,10,10,4153.822,129,10,1,3333.822455,20,8,8,2346.630040975028,100,0,0.544934
55021,3,I_ring_optimized,10,10,10,4005.211,129,10,1,3187.211098,20,10,4,2158.6868305400158,99,0,0.50379
55021,4,G_rolling_coverage,11,11,11,4255.021,119,11,1,3492.020627,24,12,8,2275.097545144573,84,0,0.464592
55021,4,I_ring_optimized,11,11,11,4174.142,118,11,1,3416.142013,23,9,7,2172.75689638036,84,0,0.60244
55021,5,G_rolling_coverage,14,14,14,4269.793,121,14,1,3481.793044,42,28,8,2184.2100684927336,65,0,0.738232
55021,5,I_ring_optimized,14,14,14,4129.699,118,14,1,3355.699051,40,27,8,2087.691668017211,64,0,0.657528
55021,6,G_rolling_coverage,11,11,11,3590.729,101,11,1,2932.728524,22,13,8,2233.710616366495,68,0,0.698879
55021,6,I_ring_optimized,11,11,11,3780.008,104,11,1,3107.008196,23,12,6,2091.035906408296,70,0,0.344568
55021,7,G_rolling_coverage,12,12,12,4049.657,114,12,1,3309.656622,40,23,8,2106.335125182277,62,0,0.412432
55021,7,I_ring_optimized,12,12,12,3664.51,108,12,1,2961.510059,34,19,8,2015.8803385631197,62,0,0.3886
55021,8,G_rolling_coverage,15,15,15,4564.374,122,15,1,3760.374295,31,16,7,2302.421774442897,76,0,1.452052
55021,8,I_ring_optimized,15,15,15,4497.822,129,15,1,3654.821901,38,21,8,2153.316869603614,76,0,1.665054
55021,9,G_rolling_coverage,16,16,16,4755.314,115,16,1,3990.314332,39,24,8,2260.203973807912,60,0,0.627291
55021,9,I_ring_optimized,16,16,16,4477.217,107,16,1,3759.217391,31,18,8,2089.2553705872765,60,0,0.411758
55021,10,G_rolling_coverage,11,11,11,4138.233,117,11,1,3390.232615,28,11,8,2249.4582183151633,78,0,0.550194
55021,10,I_ring_optimized,11,11,11,3682.759,117,11,1,2930.758506,28,16,6,2101.05315622292,78,0,0.546863
55021,11,G_rolling_coverage,10,10,10,3923.151,128,10,1,3110.150509,28,17,8,2290.2287909084616,90,0,0.568977
55021,11,I_ring_optimized,10,10,10,3818.044,129,10,1,3001.044424,29,16,8,2179.06518547084,90,0,0.545993
55021,12,G_rolling_coverage,15,15,15,4347.055,104,15,1,3652.054578,33,24,7,2183.172112335464,56,0,0.782613
55021,12,I_ring_optimized,15,15,15,4028.714,104,15,1,3332.71417,33,25,4,2027.4640419493417,56,0,1.069807
55021,13,G_rolling_coverage,14,14,14,4472.969,112,14,1,3739.968873,35,19,7,2220.28988086774,63,0,0.854486
55021,13,I_ring_optimized,14,14,14,4391.792,114,14,1,3648.792138,37,20,7,2094.889927505652,63,0,0.901818
55021,14,G_rolling_coverage,11,11,11,4039.828,115,11,1,3299.828284,28,14,8,2236.3673738546595,76,0,0.508347
55021,14,I_ring_optimized,11,11,11,3884.685,114,11,1,3149.685038,27,14,8,2098.320557783018,76,0,0.422733
55021,15,G_rolling_coverage,13,13,13,4247.191,134,13,1,3381.190646,35,19,8,2292.4874811291447,86,0,0.671461
55021,15,I_ring_optimized,13,13,13,4133.612,134,13,1,3272.611515,37,20,8,2155.6340391593235,84,0,0.603078
