seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
43817,1,I_ring_optimized,13,13,13,4367.237,114,13,1,3623.236958,38,20,8,2070.3272310315824,63,0,0.320299
43817,2,I_ring_optimized,15,15,15,4164.25,116,15,1,3398.249945,39,27,8,2170.959487563224,62,0,0.486372
43817,3,I_ring_optimized,11,11,11,3752.659,121,11,1,2978.658507,31,19,8,2178.9099005035164,80,0,1.309242
43817,4,I_ring_optimized,13,13,13,4467.544,125,13,1,3661.544162,36,18,8,2141.0668650705634,76,0,0.281295
43817,5,I_ring_optimized,14,14,14,4412.895,120,14,1,3628.895498,36,23,8,2138.0444625783757,70,0,0.973051
43817,6,I_ring_optimized,11,11,11,4128.768,110,11,1,3417.76791,28,15,8,2133.204096024918,71,0,0.802203
43817,7,I_ring_optimized,15,15,15,3951.065,107,15,1,3238.065315,34,23,8,2065.828769188178,58,0,0.80105
43817,8,I_ring_optimized,14,14,14,4283.648,112,14,1,3547.64809,35,19,8,2112.577296327646,63,0,0.806116
43817,9,I_ring_optimized,13,13,13,4006.037,122,13,1,3217.037379,31,15,8,2132.847547964826,79,0,0.768173
43817,10,I_ring_optimized,10,10,10,3622.313,109,10,1,2921.313149,23,17,4,2064.536584986581,76,0,0.369169
43817,11,I_ring_optimized,15,15,15,4267.482,109,15,1,3543.481927,37,22,8,2097.301760430334,58,0,0.540195
43817,12,I_ring_optimized,15,15,15,3575.31,100,15,1,2906.309913,31,21,8,2075.308838201383,54,0,0.547611
43817,13,I_ring_optimized,13,13,13,3825.435,122,13,1,3031.434563,31,19,8,2208.384664434025,78,0,1.014606
43817,14,I_ring_optimized,15,15,15,3791.724,106,15,1,3086.723625,37,22,8,2135.3539564373154,55,0,0.705777
43817,15,I_ring_optimized,11,11,11,4214.473,123,11,1,3427.473211,23,12,2,2030.0820795465484,89,0,0.486813
43817,16,I_ring_optimized,12,12,12,4086.694,134,12,1,3227.694324,36,23,8,2176.2676350811785,86,0,0.912582
43817,17,I_ring_optimized,10,10,10,4398.565,127,10,1,3591.565309,23,11,5,2200.71587976828,94,0,0.51455
43817,18,I_ring_optimized,15,15,15,4030.61,109,15,1,3304.60952,36,24,8,2074.0779690963545,58,0,0.255098
43817,19,I_ring_optimized,14,14,14,3930.971,121,14,1,3142.971165,38,23,8,2075.7373465962346,70,0,0.716607
43817,20,I_ring_optimized,16,16,16,4239.179,118,16,1,3458.178541,47,30,8,2119.3326505520836,55,0,0.632396
