seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
999,1,G_rolling_coverage,16,16,16,4356.968,107,16,1,3642.967983,37,22,8,1965.813152997289,54,0,0.524792
999,1,I_ring_optimized,16,16,16,3829.44,95,16,1,3190.440488,38,19,8,1460.6693343773643,41,0,0.400225
999,1,Ablation_ring_radius_only,16,16,16,4087.629,105,16,1,3381.629268,35,25,7,1883.935779020358,54,0,0.847571
999,1,Ablation_ring_rotate_only,16,16,16,3900.647,101,16,1,3224.646561,44,27,5,1415.4807383416337,41,0,0.565273
999,2,G_rolling_coverage,10,10,10,3983.981,110,10,1,3277.980523,21,11,7,2226.6509893638067,79,0,0.613828
999,2,I_ring_optimized,10,10,10,4095.416,117,10,1,3350.416484,25,14,6,2109.84390917964,82,0,0.834215
999,2,Ablation_ring_radius_only,10,10,10,4151.423,116,10,1,3408.422835,27,15,8,2202.628954038725,79,0,1.730147
999,2,Ablation_ring_rotate_only,10,10,10,4222.134,119,10,1,3466.133813,27,16,5,2189.621834330039,82,0,1.915486
999,3,G_rolling_coverage,16,16,16,4313.098,102,16,1,3625.097833,36,23,8,2183.8843864631344,50,0,1.404487
999,3,I_ring_optimized,16,16,16,3708.009,94,16,1,3069.008887,39,22,8,1470.9820530544453,39,0,2.598748
999,3,Ablation_ring_radius_only,16,16,16,3962.093,101,16,1,3281.092734,35,21,8,2000.778267683398,50,0,2.250535
999,3,Ablation_ring_rotate_only,16,16,16,3760.839,90,16,1,3147.838961,35,20,8,1578.9904959337698,39,0,2.115144
