seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,I_ring_optimized,16,16,16,4414.215,113,16,1,3665.214749,44,27,8,2147.801484593452,53,0,0.851559
55021,1,J_q2_fidelity,16,16,16,4189.209,109,16,1,3461.208802,40,22,8,2054.6182368011123,53,0,0.697135
55021,2,I_ring_optimized,14,14,14,3936.098,111,14,1,3205.098079,36,22,7,2054.0580667608074,61,0,2.204715
55021,2,J_q2_fidelity,14,14,14,3988.018,111,14,1,3259.018343,37,25,8,2131.5167872021484,61,0,0.911709
55021,3,I_ring_optimized,10,10,10,4005.211,129,10,1,3187.211098,20,10,4,2158.6868305400158,99,0,0.5917
55021,3,J_q2_fidelity,10,10,10,4023.303,128,10,1,3211.302806,19,7,4,2154.2492796028996,100,0,0.892407
55021,4,I_ring_optimized,11,11,11,4174.142,118,11,1,3416.142013,23,9,7,2172.75689638036,84,0,0.79333
55021,4,J_q2_fidelity,11,11,11,4150.276,118,11,1,3391.275768,23,11,6,2129.4218547273294,84,0,1.074732
55021,5,I_ring_optimized,14,14,14,4129.699,118,14,1,3355.699051,40,27,8,2087.691668017211,64,0,0.910404
55021,5,J_q2_fidelity,14,14,14,3857.201,105,14,1,3161.200975,33,24,7,2103.2662639680516,58,0,1.843345
55021,6,I_ring_optimized,11,11,11,3780.008,104,11,1,3107.008196,23,12,6,2091.035906408296,70,0,0.48042
55021,6,J_q2_fidelity,11,11,11,3707.379,109,11,1,3003.378586,30,17,7,2013.1408095762536,68,0,0.918252
55021,7,I_ring_optimized,12,12,12,3664.51,108,12,1,2961.510059,34,19,8,2015.8803385631197,62,0,0.524231
55021,7,J_q2_fidelity,12,12,12,3418.442,105,12,1,2734.442253,31,17,8,2016.6206841979958,62,0,1.07453
55021,8,I_ring_optimized,15,15,15,4497.822,129,15,1,3654.821901,38,21,8,2153.316869603614,76,0,2.157734
55021,8,J_q2_fidelity,15,15,15,4461.22,122,15,1,3657.220492,31,16,7,2139.6711641221177,76,0,1.534483
55021,9,I_ring_optimized,16,16,16,4477.217,107,16,1,3759.217391,31,18,8,2089.2553705872765,60,0,0.554996
55021,9,J_q2_fidelity,16,16,16,4277.466,112,16,1,3530.466377,38,24,8,2054.4988660337767,58,0,1.157824
55021,10,I_ring_optimized,11,11,11,3682.759,117,11,1,2930.758506,28,16,6,2101.05315622292,78,0,0.755946
55021,10,J_q2_fidelity,11,11,11,3752.453,116,11,1,3004.452669,27,18,7,2126.004840497978,79,0,0.577648
