seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
43817,1,I_ring_optimized,13,13,13,4367.237,114,13,1,3623.236958,38,20,8,2070.3272310315824,63,0,0.265284
43817,1,J_q2_fidelity,13,13,13,3912.287,110,13,1,3192.287181,34,20,8,2134.937142011253,63,0,0.358619
43817,2,I_ring_optimized,15,15,15,4164.25,116,15,1,3398.249945,39,27,8,2170.959487563224,62,0,0.417094
43817,2,J_q2_fidelity,15,15,15,4215.503,117,15,1,3441.502788,40,24,8,2201.164079019774,64,0,0.385149
43817,3,I_ring_optimized,11,11,11,3752.659,121,11,1,2978.658507,31,19,8,2178.9099005035164,80,0,0.971183
43817,3,J_q2_fidelity,11,11,11,3929.48,117,11,1,3179.480326,27,11,7,2097.70481709488,80,0,0.676581
43817,4,I_ring_optimized,13,13,13,4467.544,125,13,1,3661.544162,36,18,8,2141.0668650705634,76,0,0.235869
43817,4,J_q2_fidelity,13,13,13,4093.867,125,13,1,3283.866765,36,22,8,2161.4582726864987,76,0,0.482886
43817,5,I_ring_optimized,14,14,14,4412.895,120,14,1,3628.895498,36,23,8,2138.0444625783757,70,0,0.736029
43817,5,J_q2_fidelity,14,14,14,4207.658,116,14,1,3445.657824,32,21,8,2142.0401343424573,71,0,0.597195
43817,6,I_ring_optimized,11,11,11,4128.768,110,11,1,3417.76791,28,15,8,2133.204096024918,71,0,0.604474
43817,6,J_q2_fidelity,11,11,11,3905.287,116,11,1,3158.287333,34,23,8,2128.2985065304106,73,0,0.638164
43817,7,I_ring_optimized,15,15,15,3951.065,107,15,1,3238.065315,34,23,8,2065.828769188178,58,0,0.561759
43817,7,J_q2_fidelity,15,15,15,3883.502,106,15,1,3176.501963,33,21,8,2093.5784991403734,58,0,0.714071
43817,8,I_ring_optimized,14,14,14,4283.648,112,14,1,3547.64809,35,19,8,2112.577296327646,63,0,0.641464
43817,8,J_q2_fidelity,14,14,14,4040.817,108,14,1,3327.817111,31,16,8,2084.83388440159,63,0,0.457884
43817,9,I_ring_optimized,13,13,13,4006.037,122,13,1,3217.037379,31,15,8,2132.847547964826,79,0,0.539782
43817,9,J_q2_fidelity,13,13,13,4164.737,125,13,1,3358.736835,34,19,8,2096.3920391903753,78,0,0.909825
43817,10,I_ring_optimized,10,10,10,3622.313,109,10,1,2921.313149,23,17,4,2064.536584986581,76,0,0.266402
43817,10,J_q2_fidelity,10,10,10,3586.405,111,10,1,2872.404744,25,15,8,2112.5257925591723,76,0,0.280272
43817,11,I_ring_optimized,15,15,15,4267.482,109,15,1,3543.481927,37,22,8,2097.301760430334,58,0,0.384523
43817,11,J_q2_fidelity,15,15,15,4277.564,108,15,1,3561.563856,36,20,8,2107.73019285426,60,0,0.396207
43817,12,I_ring_optimized,15,15,15,3575.31,100,15,1,2906.309913,31,21,8,2075.308838201383,54,0,0.417757
43817,12,J_q2_fidelity,15,15,15,3326.77,101,15,1,2652.770161,32,19,8,2152.023013226054,54,0,0.873888
43817,13,I_ring_optimized,13,13,13,3825.435,122,13,1,3031.434563,31,19,8,2208.384664434025,78,0,0.758941
43817,13,J_q2_fidelity,13,13,13,4132.973,124,13,1,3327.972635,33,18,8,2162.7558427317326,79,0,0.58317
43817,14,I_ring_optimized,15,15,15,3791.724,106,15,1,3086.723625,37,22,8,2135.3539564373154,55,0,0.53364
43817,14,J_q2_fidelity,15,15,15,3882.07,114,15,1,3132.070274,45,28,8,2100.390525936862,57,0,0.716077
43817,15,I_ring_optimized,11,11,11,4214.473,123,11,1,3427.473211,23,12,2,2030.0820795465484,89,0,0.366282
43817,15,J_q2_fidelity,11,11,11,4432.776,124,11,1,3638.775715,24,12,3,2062.0405390387336,89,0,0.300333
43817,16,I_ring_optimized,12,12,12,4086.694,134,12,1,3227.694324,36,23,8,2176.2676350811785,86,0,0.696746
43817,16,J_q2_fidelity,12,12,12,4073.714,134,12,1,3213.714229,36,23,8,2193.158396196495,86,0,0.446821
43817,17,I_ring_optimized,10,10,10,4398.565,127,10,1,3591.565309,23,11,5,2200.71587976828,94,0,0.384036
43817,17,J_q2_fidelity,10,10,10,4244.178,129,10,1,3425.17767,25,11,7,2169.001330996718,95,0,0.507531
43817,18,I_ring_optimized,15,15,15,4030.61,109,15,1,3304.60952,36,24,8,2074.0779690963545,58,0,0.199655
43817,18,J_q2_fidelity,15,15,15,3996.305,109,15,1,3271.304716,37,25,8,2119.488669204946,57,0,0.728572
43817,19,I_ring_optimized,14,14,14,3930.971,121,14,1,3142.971165,38,23,8,2075.7373465962346,70,0,0.525069
43817,19,J_q2_fidelity,14,14,14,3829.672,117,14,1,3062.671724,34,21,8,2151.4009688649267,69,0,0.385024
43817,20,I_ring_optimized,16,16,16,4239.179,118,16,1,3458.178541,47,30,8,2119.3326505520836,55,0,0.484073
43817,20,J_q2_fidelity,16,16,16,4149.353,106,16,1,3437.353147,35,22,8,2136.2688282359627,55,0,0.375603
