seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
2026,1,Jplus_final,10,10,10,3682.606,133,10,1,2838.60562,18,13,0,1995.7034474797263,105,0,0.06366
2026,2,Jplus_final,15,15,15,3653.015,108,15,1,2933.0146,29,27,0,1869.9410293436856,64,0,0.061381
2026,3,Jplus_final,14,14,14,4160.832,110,14,1,3435.83168,28,22,0,1950.9149729847913,68,0,0.106307
2026,4,Jplus_final,16,16,16,4070.788,115,16,1,3306.788274,35,25,0,1848.105259909434,66,0,0.124573
2026,5,Jplus_final,10,10,10,3497.99,134,10,1,2646.990088,21,17,0,2027.6654898023899,103,0,0.046504
2026,6,Jplus_final,10,10,10,3610.299,123,10,1,2824.29891,18,14,0,1954.3209738821395,95,0,0.07085
2026,7,Jplus_final,13,13,13,3772.791,116,13,1,3015.791213,27,21,0,1932.6767472466088,76,0,0.116
2026,8,Jplus_final,10,10,10,3368.55,120,10,1,2601.55017,18,16,0,1938.546754220465,92,0,0.040909
2026,9,Jplus_final,14,14,14,4319.972,111,14,1,3586.97176,28,21,0,1899.5413264505426,69,0,0.14766
2026,10,Jplus_final,10,10,10,3460.945,126,10,1,2657.945051,23,19,0,1954.3209738821397,93,0,0.073396
2026,11,Jplus_final,13,13,13,3900.513,130,13,1,3058.513165,32,28,0,1924.3209738821397,85,0,0.076816
2026,12,Jplus_final,16,16,16,3798.305,96,16,1,3145.305167,32,27,0,1573.2043348406494,48,0,0.101301
2026,13,Jplus_final,16,16,16,3920.349,114,16,1,3159.348718,35,29,0,1838.196720009345,63,0,0.100149
2026,14,Jplus_final,16,16,16,3007.76,82,16,1,2440.760313,37,31,0,953.7080120372609,29,0,0.105258
2026,15,Jplus_final,15,15,15,3982.21,108,15,1,3262.210178,26,22,0,1881.9382470678472,67,0,0.084989
2026,16,Jplus_final,12,12,12,4052.678,140,12,1,3155.677963,30,25,0,1984.3209738821397,98,0,0.077369
2026,17,Jplus_final,10,10,10,3531.234,116,10,1,2788.234492,16,13,0,1960.876750864568,90,0,0.026768
2026,18,Jplus_final,16,16,16,3413.317,70,16,1,2919.31684,35,24,0,744.809516368725,19,0,0.160303
2026,19,Jplus_final,10,10,10,3473.555,121,10,1,2701.555066,20,17,0,1930.3209738821397,91,0,0.063122
2026,20,Jplus_final,12,12,12,3690.283,113,12,1,2957.283394,26,23,0,1873.4399340143812,75,0,0.079006
2026,21,Jplus_final,13,13,13,4107.518,115,13,1,3357.517703,24,18,0,1875.3352579891953,78,0,0.086249
2026,22,Jplus_final,16,16,16,3761.553,107,16,1,3044.553082,38,31,0,1623.0292418122626,53,0,0.095907
2026,23,Jplus_final,11,11,11,3357.858,121,11,1,2579.858361,21,16,0,1942.8519579657275,89,0,0.067281
2026,24,Jplus_final,14,14,14,3613.454,108,14,1,2898.453982,26,23,0,1895.1418413551542,68,0,0.054296
2026,25,Jplus_final,10,10,10,3552.546,129,10,1,2732.546026,22,18,0,1964.3644639791037,97,0,0.077628
2026,26,Jplus_final,14,14,14,3860.878,122,14,1,3062.878162,29,27,0,1951.3443330372925,79,0,0.065006
2026,27,Jplus_final,10,10,10,3275.355,139,10,1,2393.355169,23,20,0,2002.3209738821395,106,0,0.070853
2026,28,Jplus_final,10,10,10,3528.589,125,10,1,2729.589065,15,13,0,1992.6846147575638,100,0,0.052525
2026,29,Jplus_final,13,13,13,3950.218,115,13,1,3201.217891,24,17,0,1930.5446848099766,79,0,0.057796
2026,30,Jplus_final,15,15,15,4097.433,107,15,1,3383.433073,32,27,0,1846.6471814671265,60,0,0.09183
