seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
90317,1,J_ring7_1000,11,11,11,3708.969,132,11,1,2866.968522,31,19,8,2132.9756121935084,91,0,1.31629
90317,1,Jplus_final,11,11,11,3779.893,120,11,1,3006.892585,19,16,0,1944.5161425018798,90,0,0.099023
90317,2,J_ring7_1000,16,16,16,3808.057,101,16,1,3129.05668,46,30,8,1459.9404074907395,40,0,1.403303
90317,2,Jplus_final,16,16,16,4117.606,92,16,1,3492.606297,30,22,0,1553.80799444091,46,0,0.235844
90317,3,J_ring7_1000,15,15,15,3807.255,120,15,1,3016.255211,42,28,8,2032.0965692621228,65,0,1.207349
90317,3,Jplus_final,15,15,15,3672.453,106,15,1,2965.452699,28,22,0,1891.05458656447,63,0,0.19757
90317,4,J_ring7_1000,14,14,14,3167.834,118,14,1,2392.833817,32,22,8,2095.330049042415,74,0,0.782697
90317,4,Jplus_final,14,14,14,3569.365,110,14,1,2840.365018,24,22,0,1914.3812138633841,72,0,0.112977
90317,5,J_ring7_1000,15,15,15,4371.927,122,15,1,3568.92668,37,25,4,1953.2620158733403,70,0,1.208794
90317,5,Jplus_final,15,15,15,4406.136,117,15,1,3631.136421,32,24,0,1834.3209738821395,70,0,0.256836
90317,6,J_ring7_1000,12,12,12,4119.119,131,12,1,3278.119354,38,22,8,2073.9783067552185,82,0,1.042311
90317,6,Jplus_final,12,12,12,4072.197,122,12,1,3284.196521,29,21,0,1931.6462500677953,81,0,0.253008
90317,7,J_ring7_1000,10,10,10,3579.589,133,10,1,2734.588985,27,19,5,2084.6697853520595,96,0,1.350256
90317,7,Jplus_final,10,10,10,3484.801,122,10,1,2704.800586,16,13,0,1990.6703023665775,96,0,0.102161
90317,8,J_ring7_1000,13,13,13,4121.808,120,13,1,3346.807962,37,21,8,2122.619816284009,71,0,0.985132
90317,8,Jplus_final,13,13,13,3760.939,104,13,1,3074.938899,21,18,0,1926.1644737021188,70,0,0.127622
90317,9,J_ring7_1000,10,10,10,3678.705,161,10,1,2666.705167,30,20,6,2178.5238090282915,121,0,0.7685
90317,9,Jplus_final,10,10,10,3581.907,152,10,1,2624.90708,21,18,0,2062.3209738821397,121,0,0.104042
90317,10,J_ring7_1000,14,14,14,3726.641,118,14,1,2954.640749,40,28,7,1963.1128144892666,64,0,2.351456
90317,10,Jplus_final,14,14,14,3730.128,106,14,1,3028.127975,28,25,0,1828.3209738821397,64,0,0.222506
90317,11,J_ring7_1000,15,15,15,3674.241,106,15,1,2967.241134,33,23,8,1962.613248901959,58,0,1.578836
90317,11,Jplus_final,15,15,15,3603.758,101,15,1,2924.758146,28,25,0,1870.4770984958423,58,0,0.132478
90317,12,J_ring7_1000,16,16,16,4103.71,108,16,1,3382.709777,38,26,8,1999.5842855571568,55,0,1.1776
90317,12,Jplus_final,16,16,16,3886.991,103,16,1,3196.991315,34,29,0,1590.6991605350559,53,0,0.212108
90317,13,J_ring7_1000,15,15,15,4060.123,132,15,1,3199.122918,43,29,8,2041.4589746195354,75,0,0.752401
90317,13,Jplus_final,15,15,15,3881.084,111,15,1,3143.083729,30,24,0,1833.2474050229846,66,0,0.258039
90317,14,J_ring7_1000,13,13,13,3813.101,124,13,1,3010.100541,37,25,8,2043.7242484361682,75,0,1.376863
90317,14,Jplus_final,13,13,13,3627.14,111,13,1,2899.140022,24,22,0,1888.6156269096941,74,0,0.115899
90317,15,J_ring7_1000,15,15,15,3805.095,123,15,1,2996.094801,39,26,8,1995.799127995862,69,0,1.042248
90317,15,Jplus_final,15,15,15,3650.055,98,15,1,2990.055307,24,20,0,1798.2986980920273,59,0,0.225325
90317,16,J_ring7_1000,12,12,12,3308.319,122,12,1,2520.318846,32,23,7,2058.508639607042,78,0,1.1696
90317,16,Jplus_final,12,12,12,3186.101,115,12,1,2441.100945,25,23,0,1925.241035284921,78,0,0.122172
90317,17,J_ring7_1000,15,15,15,3940.231,116,15,1,3173.231312,37,24,8,2053.0617451944217,64,0,1.468748
90317,17,Jplus_final,15,15,15,4059.284,114,15,1,3304.284166,35,32,0,1893.6770184097204,64,0,0.159759
90317,18,J_ring7_1000,15,15,15,3912.086,115,15,1,3152.085958,38,23,8,2007.4135318280112,65,0,1.598169
90317,18,Jplus_final,15,15,15,3905.332,103,15,1,3215.331792,26,22,0,1854.6900425862677,62,0,0.163775
90317,19,J_ring7_1000,12,12,12,3275.467,126,12,1,2464.466521,32,22,8,2103.0753403681347,83,0,1.029144
90317,19,Jplus_final,12,12,12,3491.937,118,12,1,2726.937184,24,21,0,1913.6601613771154,82,0,0.12545
90317,20,J_ring7_1000,14,14,14,4516.501,141,14,1,3606.50125,40,23,8,2160.493498378985,88,0,1.123612
90317,20,Jplus_final,14,14,14,4512.1,130,14,1,3667.100456,29,21,0,1972.3232978634705,87,0,0.165159
90317,21,J_ring7_1000,16,16,16,4411.089,133,16,1,3537.089378,42,24,8,1889.0417090753213,77,0,0.805362
90317,21,Jplus_final,16,16,16,4391.218,122,16,1,3585.218449,32,24,0,1885.5931684141726,74,0,0.208402
90317,22,J_ring7_1000,11,11,11,3868.317,137,11,1,2995.316591,29,17,7,2170.006370581314,99,0,1.040742
90317,22,Jplus_final,11,11,11,3918.072,131,11,1,3080.071569,23,18,0,1985.5651617061312,97,0,0.194081
