seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
2026,1,I_ring_optimized,10,10,10,3610.543,124,10,1,2820.542711,22,11,8,2201.0032781949385,92,0,0.465397
2026,1,J_ring7_1000,10,10,10,3726.985,139,10,1,2846.985049,24,14,5,2087.835980148133,105,0,0.75416
2026,1,Jplus_final,10,10,10,3682.606,133,10,1,2838.60562,18,13,0,1995.7034474797263,105,0,0.129711
2026,2,I_ring_optimized,15,15,15,3898.806,108,15,1,3179.806257,40,29,8,2006.9613092507802,54,0,0.771027
2026,2,J_ring7_1000,15,15,15,3712.443,115,15,1,2949.443104,36,26,8,1984.5587494732845,65,0,1.015702
2026,2,Jplus_final,15,15,15,3653.015,108,15,1,2933.0146,29,27,0,1869.9410293436856,64,0,0.134971
2026,3,I_ring_optimized,14,14,14,4494.113,109,14,1,3772.112988,32,18,8,2063.1672671510983,63,0,1.126291
2026,3,J_ring7_1000,14,14,14,4458.136,123,14,1,3655.135785,37,19,8,2080.2157927411945,73,0,1.210425
2026,3,Jplus_final,14,14,14,4160.832,110,14,1,3435.83168,28,22,0,1950.9149729847913,68,0,0.247645
2026,4,I_ring_optimized,16,16,16,4002.721,108,16,1,3279.721284,29,15,8,2197.878096888077,63,0,1.08134
2026,4,J_ring7_1000,16,16,16,4260.788,133,16,1,3386.78788,49,30,7,1780.759992214865,70,0,1.051644
2026,4,Jplus_final,16,16,16,4070.788,115,16,1,3306.788274,35,25,0,1848.105259909434,66,0,0.283964
2026,5,I_ring_optimized,10,10,10,3548.976,129,10,1,2730.976064,26,15,8,2263.278538853164,94,0,0.368925
2026,5,J_ring7_1000,10,10,10,3597.657,139,10,1,2716.656736,26,18,5,2082.3106812833958,103,0,0.869368
2026,5,Jplus_final,10,10,10,3497.99,134,10,1,2646.990088,21,17,0,2027.6654898023899,103,0,0.098506
2026,6,I_ring_optimized,10,10,10,3842.26,127,10,1,3039.259588,34,19,8,2159.779060192252,84,0,0.865039
2026,6,J_ring7_1000,10,10,10,3444.247,121,10,1,2670.247288,21,12,7,2073.8409895169584,90,0,0.890837
2026,6,Jplus_final,10,10,10,3610.299,123,10,1,2824.29891,18,14,0,1954.3209738821395,95,0,0.135915
2026,7,I_ring_optimized,13,13,13,4036.52,109,13,1,3319.520218,27,17,6,2164.6066249120004,69,0,1.590037
2026,7,J_ring7_1000,13,13,13,3877.885,124,13,1,3073.884625,35,22,8,2066.03281114906,76,0,1.476909
2026,7,Jplus_final,13,13,13,3772.791,116,13,1,3015.791213,27,21,0,1932.6767472466088,76,0,0.243682
2026,8,I_ring_optimized,10,10,10,3638.0,118,10,1,2883.99968,29,18,8,2111.8387613500836,81,0,0.741557
2026,8,J_ring7_1000,10,10,10,3545.669,130,10,1,2719.668543,28,17,8,2118.2222232106587,93,0,0.48216
2026,8,Jplus_final,10,10,10,3368.55,120,10,1,2601.55017,18,16,0,1938.546754220465,92,0,0.088782
2026,9,I_ring_optimized,14,14,14,4497.4,107,14,1,3792.39972,30,17,6,2039.4925823979263,64,0,0.931102
2026,9,J_ring7_1000,14,14,14,4267.349,117,14,1,3498.349049,34,20,8,2035.1042603566088,70,0,1.168793
2026,9,Jplus_final,14,14,14,4319.972,111,14,1,3586.97176,28,21,0,1899.5413264505426,69,0,0.288781
2026,10,I_ring_optimized,10,10,10,3789.877,123,10,1,3008.876679,28,13,8,2183.2062870514583,86,0,0.709303
2026,10,J_ring7_1000,10,10,10,3609.9,135,10,1,2755.899903,32,20,8,2167.1628741638333,94,0,1.093865
2026,10,Jplus_final,10,10,10,3460.945,126,10,1,2657.945051,23,19,0,1954.3209738821397,93,0,0.159081
2026,11,I_ring_optimized,13,13,13,4185.37,136,13,1,3310.369505,36,22,8,2152.727731642385,89,0,0.586711
2026,11,J_ring7_1000,13,13,13,4010.325,136,13,1,3132.324597,38,26,8,2063.597201560494,85,0,0.938032
2026,11,Jplus_final,13,13,13,3900.513,130,13,1,3058.513165,32,28,0,1924.3209738821397,85,0,0.147504
2026,12,I_ring_optimized,16,16,16,4040.801,110,16,1,3304.801302,35,25,8,2057.9136636024714,59,0,0.843741
2026,12,J_ring7_1000,16,16,16,4114.818,107,16,1,3395.817782,36,25,5,1666.5182492976646,55,0,1.484758
2026,12,Jplus_final,16,16,16,3798.305,96,16,1,3145.305167,32,27,0,1573.2043348406494,48,0,0.208631
2026,13,I_ring_optimized,16,16,16,4060.293,120,16,1,3265.29346,39,24,8,2182.8328136290047,66,0,1.887388
2026,13,J_ring7_1000,16,16,16,3906.747,121,16,1,3101.747091,42,29,7,1977.4900518606437,63,0,1.894665
2026,13,Jplus_final,16,16,16,3920.349,114,16,1,3159.348718,35,29,0,1838.196720009345,63,0,0.106821
2026,14,I_ring_optimized,16,16,16,4071.88,98,16,1,3407.880117,39,28,8,2060.5303848288204,43,0,0.87134
2026,14,J_ring7_1000,16,16,16,4235.13,113,16,1,3483.129992,46,32,8,1928.2785281759554,52,0,2.138346
2026,14,Jplus_final,16,16,16,3007.76,82,16,1,2440.760313,37,31,0,953.7080120372609,29,0,0.202319
2026,15,I_ring_optimized,15,15,15,3931.312,107,15,1,3221.312155,33,20,8,2130.9848998866696,59,0,1.110302
2026,15,J_ring7_1000,15,15,15,3902.661,116,15,1,3136.660755,34,21,8,2042.9957217006308,67,0,1.448915
2026,15,Jplus_final,15,15,15,3982.21,108,15,1,3262.210178,26,22,0,1881.9382470678472,67,0,0.185414
2026,16,I_ring_optimized,12,12,12,3864.779,111,12,1,3144.778994,29,15,7,2088.05362049263,72,0,1.505846
2026,16,J_ring7_1000,12,12,12,4118.384,148,12,1,3174.38418,38,26,6,2141.6142917746834,99,0,1.734119
2026,16,Jplus_final,12,12,12,4052.678,140,12,1,3155.677963,30,25,0,1984.3209738821397,98,0,0.099446
2026,17,I_ring_optimized,10,10,10,3293.592,117,10,1,2545.592398,23,14,8,2235.5794009472747,84,0,0.644171
2026,17,J_ring7_1000,10,10,10,3246.872,123,10,1,2460.871892,22,14,8,2058.309207630752,91,0,0.635407
2026,17,Jplus_final,10,10,10,3531.234,116,10,1,2788.234492,16,13,0,1960.876750864568,90,0,0.05325
2026,18,I_ring_optimized,16,16,16,3864.689,100,16,1,3190.689025,32,20,7,1984.2530099789185,52,0,0.870468
2026,18,J_ring7_1000,16,16,16,3707.907,93,16,1,3078.907393,46,25,8,1116.0534783206228,31,0,1.13116
2026,18,Jplus_final,16,16,16,3413.317,70,16,1,2919.31684,35,24,0,744.809516368725,19,0,0.279599
2026,19,I_ring_optimized,10,10,10,3467.866,115,10,1,2730.866013,20,12,6,2135.1490119846826,86,0,1.013529
2026,19,J_ring7_1000,10,10,10,3454.014,128,10,1,2639.014253,27,15,8,2062.1856314899696,92,0,0.873562
2026,19,Jplus_final,10,10,10,3473.555,121,10,1,2701.555066,20,17,0,1930.3209738821397,91,0,0.125129
2026,20,I_ring_optimized,12,12,12,3794.364,119,12,1,3029.363767,36,20,8,2092.179386377008,72,0,1.317187
2026,20,J_ring7_1000,12,12,12,3821.945,121,12,1,3041.944541,34,23,8,2079.5695890925454,75,0,0.991626
2026,20,Jplus_final,12,12,12,3690.283,113,12,1,2957.283394,26,23,0,1873.4399340143812,75,0,0.085132
2026,21,I_ring_optimized,13,13,13,4554.301,117,13,1,3794.30053,35,20,8,2148.503144887103,71,0,0.75187
2026,21,J_ring7_1000,13,13,13,4236.648,122,13,1,3445.648234,36,21,8,2120.630579943372,75,0,1.02232
2026,21,Jplus_final,13,13,13,4107.518,115,13,1,3357.517703,24,18,0,1875.3352579891953,78,0,0.163032
2026,22,I_ring_optimized,16,16,16,3680.704,109,16,1,2953.70393,41,28,8,2141.8485254653738,53,0,1.132205
2026,22,J_ring7_1000,16,16,16,3822.603,118,16,1,3040.60298,49,35,8,1951.1877324368675,54,0,1.22114
2026,22,Jplus_final,16,16,16,3761.553,107,16,1,3044.553082,38,31,0,1623.0292418122626,53,0,0.0873
2026,23,I_ring_optimized,11,11,11,3650.142,118,11,1,2890.141623,29,18,8,2229.3759426424444,80,0,0.847671
2026,23,J_ring7_1000,11,11,11,3442.328,133,11,1,2591.328263,30,21,6,2136.20423528876,92,0,0.902513
2026,23,Jplus_final,11,11,11,3357.858,121,11,1,2579.858361,21,16,0,1942.8519579657275,89,0,0.132923
2026,24,I_ring_optimized,14,14,14,3661.898,101,14,1,2987.897546,31,18,8,2140.88571555933,56,0,0.916032
2026,24,J_ring7_1000,14,14,14,3702.224,118,14,1,2927.224284,36,25,8,2017.7265440192853,68,0,0.79347
2026,24,Jplus_final,14,14,14,3613.454,108,14,1,2898.453982,26,23,0,1895.1418413551542,68,0,0.053351
2026,25,I_ring_optimized,10,10,10,3553.645,118,10,1,2802.644902,25,15,6,2125.3110767246676,83,0,0.873205
2026,25,J_ring7_1000,10,10,10,3407.904,129,10,1,2589.904048,26,16,6,2060.2136470964133,93,0,0.89375
2026,25,Jplus_final,10,10,10,3552.546,129,10,1,2732.546026,22,18,0,1964.3644639791037,97,0,0.075412
2026,26,I_ring_optimized,14,14,14,4025.641,113,14,1,3282.640991,35,25,6,2113.3869342071716,65,0,1.180214
2026,26,J_ring7_1000,14,14,14,4011.897,129,14,1,3173.897227,36,24,8,2089.148487031076,79,0,0.440847
2026,26,Jplus_final,14,14,14,3860.878,122,14,1,3062.878162,29,27,0,1951.3443330372925,79,0,0.06231
2026,27,I_ring_optimized,10,10,10,3407.184,129,10,1,2587.184167,27,16,7,2226.9760589021053,93,0,0.286936
2026,27,J_ring7_1000,10,10,10,3295.776,140,10,1,2407.775909,24,15,8,2174.7480423490942,106,0,0.482358
2026,27,Jplus_final,10,10,10,3275.355,139,10,1,2393.355169,23,20,0,2002.3209738821395,106,0,0.126201
2026,28,I_ring_optimized,10,10,10,3657.495,116,10,1,2913.495385,19,11,4,2095.688895425941,87,0,0.684199
2026,28,J_ring7_1000,10,10,10,3662.394,132,10,1,2823.393922,22,12,7,2109.513758058237,100,0,0.652227
2026,28,Jplus_final,10,10,10,3528.589,125,10,1,2729.589065,15,13,0,1992.6846147575638,100,0,0.060435
2026,29,I_ring_optimized,13,13,13,4017.331,110,13,1,3296.330783,30,19,7,2082.8289754363886,69,0,1.324639
2026,29,J_ring7_1000,13,13,13,4038.421,119,13,1,3264.421005,28,13,8,2040.4946404225252,82,0,0.424581
2026,29,Jplus_final,13,13,13,3950.218,115,13,1,3201.217891,24,17,0,1930.5446848099766,79,0,0.047087
2026,30,I_ring_optimized,15,15,15,4008.319,100,15,1,3339.318846,32,19,8,2120.370527613023,55,0,0.680813
2026,30,J_ring7_1000,15,15,15,4166.298,119,15,1,3380.297624,44,32,8,2019.4125459460117,61,0,0.641534
2026,30,Jplus_final,15,15,15,4097.433,107,15,1,3383.433073,32,27,0,1846.6471814671265,60,0,0.085238
