seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
260913,1,Jplus_final,16,16,16,3846.075,94,16,1,3208.075272,32,25,0,1652.3770881192631,46,0,0.090525
260913,2,Jplus_final,16,16,16,4384.202,108,16,1,3662.201559,36,29,0,1810.3209738821397,56,0,0.141262
260913,3,Jplus_final,16,16,16,3857.45,100,16,1,3181.449638,33,25,0,1752.7245551962872,52,0,0.09705
260913,4,Jplus_final,16,16,16,3877.504,86,16,1,3284.504022,28,21,0,1770.3765719898106,42,0,0.086758
260913,5,Jplus_final,16,16,16,3985.059,110,16,1,3253.059295,35,26,0,1621.9897015660708,59,0,0.107014
260913,6,Jplus_final,16,16,16,3990.291,114,16,1,3230.291419,26,23,0,1855.6945096952543,72,0,0.062798
260913,7,Jplus_final,16,16,16,3539.851,94,16,1,2902.850917,30,25,0,1452.3809641482196,48,0,0.098905
260913,8,Jplus_final,16,16,16,3928.916,99,16,1,3257.915909,39,33,0,1534.7674782351164,44,0,0.127766
260913,9,Jplus_final,16,16,16,3014.768,89,16,1,2405.768489,34,30,0,1425.700702038203,39,0,0.09144
260913,10,Jplus_final,16,16,16,3626.738,92,16,1,3000.738354,32,27,0,1393.7584228785233,44,0,0.096287
260913,11,Jplus_final,16,16,16,2683.317,73,16,1,2168.31655,28,24,0,992.6662886867704,29,0,0.080456
260913,12,Jplus_final,16,16,16,4292.281,106,16,1,3580.281331,31,24,0,1891.503017325054,59,0,0.084567
260913,13,Jplus_final,16,16,16,3706.468,109,16,1,2977.467982,35,28,0,1665.8817030768018,58,0,0.11306
260913,14,Jplus_final,16,16,16,3492.461,88,16,1,2890.460653,31,24,0,1432.3435564914525,41,0,0.100607
260913,15,Jplus_final,16,16,16,4548.7,112,16,1,3805.699942,34,24,0,1778.8338644996568,62,0,0.153696
260913,16,Jplus_final,16,16,16,4415.981,108,16,1,3698.980552,35,23,0,1837.9440857739087,57,0,0.130327
260913,17,Jplus_final,16,16,16,4087.872,116,16,1,3314.872224,29,28,0,1875.451916843594,71,0,0.058804
260913,18,Jplus_final,16,16,16,4346.227,120,16,1,3548.226686,36,28,0,1858.3209738821395,68,0,0.144447
260913,19,Jplus_final,16,16,16,3762.271,108,16,1,3040.270562,44,36,0,1748.3182567452807,48,0,0.104492
260913,20,Jplus_final,16,16,16,2779.556,80,16,1,2227.555986,31,27,0,1121.7078183874833,33,0,0.078274
260913,21,Jplus_final,16,16,16,3552.331,113,16,1,2803.331185,38,34,0,1819.3624412131553,59,0,0.110087
260913,22,Jplus_final,16,16,16,4110.63,101,16,1,3430.629609,32,22,0,1570.0077300913438,53,0,0.123509
260913,23,Jplus_final,16,16,16,2915.235,86,16,1,2323.235162,32,29,0,1133.8395168708219,38,0,0.066721
260913,24,Jplus_final,16,16,16,3883.884,94,16,1,3244.88378,30,23,0,1803.3565366895473,48,0,0.126784
260913,25,Jplus_final,16,16,16,3948.855,109,16,1,3221.854577,40,34,0,1763.2059659437534,53,0,0.104326
260913,26,Jplus_final,16,16,16,4162.574,118,16,1,3378.573546,28,21,0,1867.3857719289051,74,0,0.109493
260913,27,Jplus_final,16,16,16,3872.472,109,16,1,3145.471584,36,26,0,1409.2139825880931,57,0,0.150809
260913,28,Jplus_final,16,16,16,3761.195,104,16,1,3065.195327,38,30,0,1596.3995920453167,50,0,0.141872
260913,29,Jplus_final,16,16,16,3341.263,96,16,1,2690.262892,36,26,0,1365.6543237468718,44,0,0.114015
260913,30,Jplus_final,16,16,16,4318.103,120,16,1,3529.103498,33,24,0,1904.2718420286685,71,0,0.132267
260913,31,Jplus_final,16,16,16,4147.331,107,16,1,3428.330524,35,29,0,1635.3403243003827,56,0,0.109281
260913,32,Jplus_final,16,16,16,3818.112,112,16,1,3071.11238,32,28,0,1764.3312689087422,64,0,0.090538
260913,33,Jplus_final,16,16,16,4012.24,107,16,1,3297.240361,33,28,0,1605.92582033507,58,0,0.117131
260913,34,Jplus_final,16,16,16,4124.509,118,16,1,3342.508948,33,26,0,1711.7421801400317,69,0,0.106256
260913,35,Jplus_final,16,16,16,3819.246,103,16,1,3124.245995,36,31,0,1847.6872588292867,51,0,0.066422
260913,36,Jplus_final,16,16,16,4292.714,131,16,1,3430.713723,40,32,0,1900.3209738821395,75,0,0.149058
260913,37,Jplus_final,16,16,16,3974.164,97,16,1,3316.163625,32,23,0,1495.4702214638237,49,0,0.125676
260913,38,Jplus_final,16,16,16,3722.017,113,16,1,2975.016571,39,30,0,1408.3568036089587,58,0,0.152758
260913,39,Jplus_final,16,16,16,4192.615,103,16,1,3500.615204,34,24,0,1582.7674782351164,53,0,0.133003
260913,40,Jplus_final,16,16,16,3534.628,91,16,1,2913.627813,32,28,0,1337.5057822189162,43,0,0.106512
260913,41,Jplus_final,16,16,16,4542.869,109,16,1,3819.869126,38,27,0,1616.537502528011,55,0,0.132253
260913,42,Jplus_final,16,16,16,4043.74,98,16,1,3381.740058,38,28,0,1627.0697861223837,44,0,0.127596
260913,43,Jplus_final,16,16,16,3723.29,113,16,1,2970.289754,34,30,0,1829.4175477788378,63,0,0.082329
