seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
24119,1,C_region_q2,10,10,10,4065.263,133,10,1,3218.262889,7,0,0,nan,102,0,0.157959
24119,1,Cplus_completion_coobserve,10,10,10,3555.42,135,10,1,2696.419992,9,4,0,nan,102,0,0.099457
24119,1,F_coverage_integrated,10,10,10,3334.513,116,10,1,2590.513153,27,21,4,2223.560929418511,80,0,1.373074
24119,1,G_rolling_coverage,10,10,10,3341.048,117,10,1,2591.048326,28,22,4,2223.560929418511,80,0,1.454622
24119,1,I_ring_optimized,10,10,10,2812.219,109,10,1,2110.218697,24,16,7,2175.9673600721017,75,0,1.053708
24119,2,C_region_q2,11,11,11,4758.469,145,11,1,3835.469115,10,0,0,nan,112,0,0.209167
24119,2,Cplus_completion_coobserve,11,11,11,4297.3,148,11,1,3359.299867,13,3,0,nan,113,0,0.242225
24119,2,F_coverage_integrated,11,11,11,4018.485,117,11,1,3265.485023,23,9,7,2193.0842450573077,84,0,0.994599
24119,2,G_rolling_coverage,11,11,11,4028.412,119,11,1,3265.411971,25,12,7,2193.0842450573077,84,0,0.98609
24119,2,I_ring_optimized,11,11,11,3902.402,116,11,1,3155.401777,22,9,8,2080.2276349543336,84,0,0.789128
24119,3,C_region_q2,13,13,13,4658.514,133,13,1,3796.514411,13,0,0,nan,91,0,0.300079
24119,3,Cplus_completion_coobserve,13,13,13,4070.011,137,13,1,3186.010849,17,9,0,nan,91,0,0.289865
24119,3,F_coverage_integrated,13,13,13,3827.882,120,13,1,3048.882326,35,19,8,2278.1789140761184,72,0,0.794752
24119,3,G_rolling_coverage,13,13,13,3821.033,120,13,1,3043.032726,35,20,8,2278.1789140761184,72,0,0.700005
24119,3,I_ring_optimized,13,13,13,3722.371,117,13,1,2962.37115,32,21,7,2106.8766007308877,72,0,1.399991
24119,4,C_region_q2,16,16,16,5359.762,141,16,1,4436.762242,15,0,0,nan,88,0,0.491035
24119,4,Cplus_completion_coobserve,16,16,16,5051.901,147,16,1,4095.901313,21,8,0,nan,88,0,0.317742
24119,4,F_coverage_integrated,16,16,16,4079.769,106,16,1,3367.76869,43,26,8,1942.3566918373215,47,0,1.247365
24119,4,G_rolling_coverage,16,16,16,4072.747,106,16,1,3360.746874,43,28,8,1942.3566918373215,47,0,1.086005
24119,4,I_ring_optimized,16,16,16,3903.825,101,16,1,3221.825256,38,22,8,1854.1307449218773,48,0,1.469804
24119,5,C_region_q2,11,11,11,4443.646,143,11,1,3531.645693,10,0,0,nan,108,0,0.343264
24119,5,Cplus_completion_coobserve,11,11,11,4022.265,145,11,1,3098.264979,12,5,0,nan,108,0,0.23725
24119,5,F_coverage_integrated,11,11,11,3833.754,114,11,1,3098.753562,28,16,6,2168.5913396642927,76,0,1.315431
24119,5,G_rolling_coverage,11,11,11,3842.716,116,11,1,3097.715908,30,19,6,2168.5913396642927,76,0,1.382361
24119,5,I_ring_optimized,11,11,11,3666.995,116,11,1,2920.994854,30,19,7,2188.5762659268685,76,0,1.536499
24119,6,C_region_q2,14,14,14,5219.528,136,14,1,4335.527807,13,0,0,nan,89,0,0.448246
24119,6,Cplus_completion_coobserve,14,14,14,4385.18,138,14,1,3491.180497,15,7,0,nan,89,0,0.227167
24119,6,F_coverage_integrated,14,14,14,4421.758,110,14,1,3699.757974,44,23,8,2194.1932759172482,54,0,1.997974
24119,6,G_rolling_coverage,14,14,14,4160.124,109,14,1,3442.123614,43,29,8,2194.1932759172482,54,0,1.844244
24119,6,I_ring_optimized,14,14,14,3699.75,102,14,1,3023.749625,36,26,8,2233.072661834334,54,0,1.798243
24119,7,C_region_q2,16,16,16,5714.26,147,16,1,4755.260228,18,0,0,nan,95,0,0.719366
24119,7,Cplus_completion_coobserve,16,16,16,4624.99,149,16,1,3652.990129,20,10,0,nan,95,0,0.442319
