seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,C_region_q2,16,16,16,5824.915,124,16,1,5006.914654,19,0,0,nan,72,0,0.513247
55021,1,Cplus_completion_coobserve,16,16,16,4170.268,128,16,1,3327.26845,23,9,0,nan,73,0,0.29819
55021,1,F_coverage_integrated,16,16,16,4221.917,106,16,1,3509.917402,37,20,8,2162.0327218016423,53,0,0.71417
55021,1,G_rolling_coverage,16,16,16,4211.118,108,16,1,3491.118317,39,25,8,2162.0327218016423,53,0,0.568058
55021,1,I_ring_optimized,16,16,16,4003.761,105,16,1,3298.760894,36,21,8,2054.6182368011123,53,0,0.63581
55021,1,J_ring7_1000,16,16,16,4198.71,112,16,1,3452.710323,41,26,6,1892.6186317494416,55,0,1.057252
55021,1,Jplus_final,16,16,16,4051.58,109,16,1,3323.580072,38,29,0,1760.172004436098,55,0,0.262465
55021,2,C_region_q2,14,14,14,4624.474,137,14,1,3733.474282,11,0,0,nan,92,0,0.341691
55021,2,Cplus_completion_coobserve,14,14,14,4280.774,138,14,1,3384.773879,12,4,0,nan,92,0,0.187066
55021,2,F_coverage_integrated,14,14,14,4114.275,107,14,1,3406.275415,33,20,7,2209.4254583733787,61,0,1.317565
55021,2,G_rolling_coverage,14,14,14,4114.426,107,14,1,3406.426445,33,21,7,2209.4254583733787,61,0,1.251044
55021,2,I_ring_optimized,14,14,14,3988.018,111,14,1,3259.018343,37,25,8,2131.5167872021484,61,0,0.678424
55021,2,J_ring7_1000,14,14,14,3825.597,118,14,1,3051.596816,35,23,7,2126.7859124822166,70,0,1.384558
55021,2,Jplus_final,14,14,14,3837.521,110,14,1,3110.520796,24,20,0,1960.9487620210016,72,0,0.179623
55021,3,C_region_q2,10,10,10,5055.483,146,10,1,4130.483252,9,0,0,nan,120,0,0.218983
55021,3,Cplus_completion_coobserve,10,10,10,4468.503,147,10,1,3538.502709,10,3,0,nan,120,0,0.171073
55021,3,F_coverage_integrated,10,10,10,4257.674,134,10,1,3406.673614,25,11,8,2401.255704731089,100,0,0.604791
55021,3,G_rolling_coverage,10,10,10,4258.001,134,10,1,3407.000963,25,12,8,2401.255704731089,100,0,0.6289
55021,3,I_ring_optimized,10,10,10,4023.303,128,10,1,3211.302806,19,7,4,2154.2492796028996,100,0,0.851082
55021,3,J_ring7_1000,10,10,10,4213.013,138,10,1,3343.012856,26,12,4,2043.566007047813,103,0,0.94157
55021,3,Jplus_final,10,10,10,4288.518,141,10,1,3396.518305,26,16,0,1990.3209738821397,106,0,0.192547
55021,4,C_region_q2,11,11,11,4519.75,140,11,1,3625.750467,8,0,0,nan,108,0,0.161393
55021,4,Cplus_completion_coobserve,11,11,11,4016.031,140,11,1,3122.031446,8,2,0,nan,108,0,0.10235
55021,4,F_coverage_integrated,11,11,11,4411.352,118,11,1,3654.352224,23,11,5,2209.5897562265986,84,0,0.830812
55021,4,G_rolling_coverage,11,11,11,4192.484,119,11,1,3430.483732,24,14,5,2209.5897562265986,84,0,0.84363
55021,4,I_ring_optimized,11,11,11,4150.276,118,11,1,3391.275768,23,11,6,2129.4218547273294,84,0,1.034229
55021,4,J_ring7_1000,11,11,11,3775.647,132,11,1,2929.647112,25,17,6,2155.1395096246856,96,0,0.858266
55021,4,Jplus_final,11,11,11,3684.895,125,11,1,2880.895202,18,16,0,2067.363411934416,96,0,0.116401
55021,5,C_region_q2,14,14,14,5233.89,141,14,1,4319.88982,13,0,0,nan,96,0,0.377982
55021,5,Cplus_completion_coobserve,14,14,14,4627.846,145,14,1,3689.845833,17,8,0,nan,96,0,0.24227
55021,5,F_coverage_integrated,14,14,14,4054.033,106,14,1,3351.032862,33,21,8,2292.779460759281,59,0,1.478281
55021,5,G_rolling_coverage,14,14,14,4053.338,106,14,1,3350.338242,33,22,8,2292.779460759281,59,0,1.449887
55021,5,I_ring_optimized,14,14,14,3857.201,105,14,1,3161.200975,33,24,7,2103.2662639680516,58,0,1.772836
55021,5,J_ring7_1000,14,14,14,3812.762,110,14,1,3088.761682,33,21,8,1997.7075916544252,64,0,1.322636
55021,5,Jplus_final,14,14,14,3857.053,103,14,1,3173.052527,26,20,0,1857.2137855379553,63,0,0.166468
55021,6,C_region_q2,11,11,11,4248.465,129,11,1,3420.464553,8,0,0,nan,91,0,0.245916
55021,6,Cplus_completion_coobserve,11,11,11,3889.072,129,11,1,3061.072187,8,3,0,nan,91,0,0.085333
55021,6,F_coverage_integrated,11,11,11,3610.978,103,11,1,2940.978498,24,14,8,2151.397708954755,69,0,0.568021
55021,6,G_rolling_coverage,11,11,11,3610.978,103,11,1,2940.978498,24,14,8,2151.397708954755,69,0,0.61679
55021,6,I_ring_optimized,11,11,11,3707.379,109,11,1,3003.378586,30,17,7,2013.1408095762536,68,0,0.906061
55021,6,J_ring7_1000,11,11,11,3591.811,115,11,1,2851.8109,27,15,7,2049.668163599147,77,0,1.062678
55021,6,Jplus_final,11,11,11,3395.446,111,11,1,2676.446333,22,19,0,1875.3808516931892,78,0,0.129326
55021,7,C_region_q2,12,12,12,4417.066,140,12,1,3518.066149,8,0,0,nan,99,0,0.301278
55021,7,Cplus_completion_coobserve,12,12,12,4073.414,143,12,1,3157.413722,11,6,0,nan,99,0,0.162973
55021,7,F_coverage_integrated,12,12,12,3935.865,103,12,1,3262.864993,29,14,8,2140.0409262521443,62,0,0.968817
55021,7,G_rolling_coverage,12,12,12,3547.999,105,12,1,2861.998644,31,18,8,2140.0409262521443,62,0,1.0004
55021,7,I_ring_optimized,12,12,12,3418.442,105,12,1,2734.442253,31,17,8,2016.6206841979958,62,0,1.037884
55021,7,J_ring7_1000,12,12,12,3616.956,111,12,1,2894.956314,29,17,8,1984.9512787152175,70,0,1.210602
55021,7,Jplus_final,12,12,12,3649.477,105,12,1,2962.476586,23,20,0,1886.8690255364215,70,0,0.148215
55021,8,C_region_q2,15,15,15,5082.807,147,15,1,4126.806726,12,0,0,nan,107,0,0.245314
55021,8,Cplus_completion_coobserve,15,15,15,4557.019,149,15,1,3590.01907,14,4,0,nan,107,0,0.222346
55021,8,F_coverage_integrated,15,15,15,4724.038,119,15,1,3940.038175,28,11,5,2240.2344289553007,76,0,1.221407
55021,8,G_rolling_coverage,15,15,15,4476.742,118,15,1,3697.741873,27,15,5,2240.2344289553007,76,0,1.154411
55021,8,I_ring_optimized,15,15,15,4461.22,122,15,1,3657.220492,31,16,7,2139.6711641221177,76,0,1.408423
55021,8,J_ring7_1000,15,15,15,4352.129,125,15,1,3532.128641,34,21,8,2005.7677381627582,76,0,0.763836
55021,8,Jplus_final,15,15,15,4112.96,121,15,1,3316.959836,28,22,0,1953.7799192691502,78,0,0.255817
55021,9,C_region_q2,16,16,16,5115.882,141,16,1,4190.881819,14,0,0,nan,92,0,0.529357
55021,9,Cplus_completion_coobserve,16,16,16,4689.918,147,16,1,3730.917708,20,11,0,nan,92,0,0.350509
55021,9,F_coverage_integrated,16,16,16,4350.712,102,16,1,3662.712152,35,20,4,1928.6873448760211,51,0,1.513136
55021,9,G_rolling_coverage,16,16,16,4341.64,103,16,1,3648.640175,36,23,4,1928.6873448760211,51,0,1.458303
55021,9,I_ring_optimized,16,16,16,4277.466,112,16,1,3530.466377,38,24,8,2054.4988660337767,58,0,1.214791
