seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
2026,1,A_current_ls_dopt,10,10,10,3783.104,131,10,1,2949.103889,3,108,0,0.007946
2026,1,B_region_dopt,10,10,10,3983.874,140,10,1,3094.873718,10,108,0,0.203565
2026,1,C_region_q2,10,10,10,4178.122,140,10,1,3289.12234,10,108,0,1.125622
2026,2,A_current_ls_dopt,15,15,15,3972.212,125,18,1,3140.21156,2,90,3,0.004955
2026,2,B_region_dopt,15,15,15,4648.403,142,15,1,3727.403352,15,90,0,0.323013
2026,2,C_region_q2,15,15,15,4806.358,139,15,1,3900.358426,12,90,0,1.118915
2026,3,A_current_ls_dopt,14,14,14,4523.455,128,16,1,3680.455499,1,95,2,0.012848
2026,3,B_region_dopt,14,14,14,4783.631,137,14,1,3892.631177,8,95,0,0.246504
2026,3,C_region_q2,14,14,14,4945.279,137,14,1,4054.278673,8,95,0,1.632107
2026,4,A_current_ls_dopt,16,16,16,4796.739,136,26,1,3873.738575,6,98,10,0.052634
2026,4,B_region_dopt,16,16,16,4992.531,151,16,1,4013.530869,20,98,0,0.736297
2026,4,C_region_q2,16,16,16,5132.382,146,16,1,4178.381924,15,98,0,2.310899
2026,5,A_current_ls_dopt,10,10,10,3641.546,131,10,1,2807.546427,4,107,0,0.017497
2026,5,B_region_dopt,10,10,10,3770.578,138,10,1,2894.577877,9,107,0,0.37488
2026,5,C_region_q2,10,10,10,3896.543,137,10,1,3025.54338,8,107,0,1.240084
2026,6,A_current_ls_dopt,10,10,10,3650.668,125,12,1,2845.668025,2,103,2,0.005917
2026,6,B_region_dopt,10,10,10,4036.709,138,10,1,3161.708847,11,103,0,0.513981
2026,6,C_region_q2,10,10,10,4258.191,137,10,1,3388.190512,10,103,0,1.138174
2026,7,A_current_ls_dopt,13,13,13,4166.209,127,19,1,3323.208757,5,95,6,0.014908
2026,7,B_region_dopt,13,13,13,4296.085,135,13,1,3425.085203,11,95,0,0.224324
2026,7,C_region_q2,13,13,13,4454.902,133,13,1,3593.901816,9,95,0,0.81576
2026,8,A_current_ls_dopt,10,10,10,3540.872,135,10,1,2681.872109,3,111,0,0.003557
2026,8,B_region_dopt,10,10,10,3828.405,144,10,1,2917.40462,10,111,0,0.186761
2026,8,C_region_q2,10,10,10,4037.165,143,10,1,3131.165487,9,111,0,0.701414
2026,9,A_current_ls_dopt,14,14,14,4526.83,134,18,1,3641.830009,4,101,4,0.011968
2026,9,B_region_dopt,14,14,14,4925.7,149,14,1,3969.700358,17,101,0,0.337658
2026,9,C_region_q2,14,14,14,5118.528,145,14,1,4182.527741,13,101,0,1.11266
2026,10,A_current_ls_dopt,10,10,10,3830.227,128,18,1,2989.226738,0,106,8,0.001477
2026,10,B_region_dopt,10,10,10,3895.404,138,10,1,3018.404376,7,106,0,0.167055
2026,10,C_region_q2,10,10,10,3973.087,138,10,1,3096.086607,7,106,0,0.893328
2026,11,A_current_ls_dopt,13,13,13,4297.919,139,18,1,3385.919095,7,110,5,0.009991
2026,11,B_region_dopt,13,13,13,4721.812,150,13,1,3762.812438,15,110,0,0.235872
2026,11,C_region_q2,13,13,13,4938.149,148,13,1,3989.149052,13,110,0,0.848684
2026,12,A_current_ls_dopt,16,16,16,4040.982,110,18,1,3296.981772,5,71,2,0.022802
2026,12,B_region_dopt,16,16,16,4289.868,122,16,1,3481.868,16,71,0,0.290527
2026,12,C_region_q2,16,16,16,4438.553,121,16,1,3635.552849,15,71,0,1.407569
2026,13,A_current_ls_dopt,16,16,16,5045.895,140,23,1,4108.895276,8,101,7,0.024006
2026,13,B_region_dopt,16,16,16,4975.004,152,16,1,3989.00393,19,101,0,0.344779
2026,13,C_region_q2,16,16,16,5316.99,151,16,1,4335.989958,18,101,0,1.63087
2026,14,A_current_ls_dopt,16,16,16,4101.695,86,24,1,3487.694793,10,48,8,0.029069
2026,14,B_region_dopt,16,16,16,3835.641,100,16,1,3165.64076,23,47,0,0.384123
2026,14,C_region_q2,16,16,16,4085.824,95,16,1,3440.823731,18,47,0,1.541017
2026,15,A_current_ls_dopt,15,15,15,4154.794,117,20,1,3363.794431,1,81,5,0.01359
2026,15,B_region_dopt,15,15,15,4352.796,131,15,1,3493.795577,13,81,0,0.308267
2026,15,C_region_q2,15,15,15,4476.724,131,15,1,3617.724118,13,81,0,1.409689
2026,16,A_current_ls_dopt,12,12,12,4012.466,132,13,1,3159.46571,4,104,1,0.013595
2026,16,B_region_dopt,12,12,12,4209.179,142,12,1,3299.178649,12,104,0,0.251321
2026,16,C_region_q2,12,12,12,4466.629,141,12,1,3561.629186,11,104,0,1.166638
2026,17,A_current_ls_dopt,10,10,10,3406.384,124,10,1,2613.383863,3,98,0,0.006323
2026,17,B_region_dopt,10,10,10,3702.499,130,10,1,2874.498762,7,98,0,0.135546
2026,17,C_region_q2,10,10,10,3838.689,129,10,1,3015.688645,6,98,0,0.485173
2026,18,A_current_ls_dopt,16,16,16,3863.008,75,29,1,3301.007786,16,35,13,0.033176
2026,18,B_region_dopt,16,16,16,4131.815,93,16,1,3512.814983,33,35,0,0.446039
2026,18,C_region_q2,16,16,16,4119.08,84,16,1,3545.07956,24,35,0,1.769484
2026,19,A_current_ls_dopt,10,10,10,3927.407,132,13,1,3078.406897,4,109,3,0.006231
2026,19,B_region_dopt,10,10,10,4470.821,142,10,1,3574.821254,12,109,0,0.181702
2026,19,C_region_q2,10,10,10,4670.927,140,10,1,3784.926609,10,109,0,0.604128
2026,20,A_current_ls_dopt,12,12,12,4356.817,131,13,1,3508.816655,2,104,1,0.00662
2026,20,B_region_dopt,12,12,12,4535.627,145,12,1,3609.627272,14,104,0,0.290447
2026,20,C_region_q2,12,12,12,4677.913,142,12,1,3766.913465,11,104,0,0.99581
2026,21,A_current_ls_dopt,13,13,13,4647.517,130,14,1,3802.517416,4,99,1,0.007516
2026,21,B_region_dopt,13,13,13,5042.747,147,13,1,4101.747059,15,103,0,0.27122
2026,21,C_region_q2,13,13,13,4981.821,143,13,1,4060.82081,11,103,0,0.981369
2026,22,A_current_ls_dopt,16,16,16,3819.183,124,19,1,2988.18303,5,84,3,0.01719
2026,22,B_region_dopt,16,16,16,4920.05,138,16,1,4017.050215,15,84,0,0.246124
2026,22,C_region_q2,16,16,16,4836.491,136,16,1,3943.490912,13,84,0,1.151339
2026,23,A_current_ls_dopt,11,11,11,4051.899,133,20,1,3175.898563,5,102,9,0.008494
2026,23,B_region_dopt,11,11,11,4099.228,141,11,1,3202.227993,12,102,0,0.198996
2026,23,C_region_q2,11,11,11,4150.374,140,11,1,3258.373566,11,102,0,1.100218
2026,24,A_current_ls_dopt,14,14,14,4015.68,123,14,1,3208.679752,4,89,0,0.012124
2026,24,B_region_dopt,14,14,14,4232.837,135,14,1,3355.837136,13,89,0,0.27213
2026,24,C_region_q2,14,14,14,4393.786,133,14,1,3526.786264,11,89,0,0.936582
2026,25,A_current_ls_dopt,10,10,10,4174.579,134,19,1,3296.57924,5,110,9,0.006321
2026,25,B_region_dopt,10,10,10,4120.455,141,10,1,3226.455234,9,110,0,0.15483
2026,25,C_region_q2,10,10,10,4168.341,141,10,1,3274.341291,9,110,0,0.788855
2026,26,A_current_ls_dopt,14,14,14,3954.182,122,21,1,3132.181721,2,90,7,0.008439
2026,26,B_region_dopt,14,14,14,4261.713,141,14,1,3352.712918,17,90,0,0.385135
2026,26,C_region_q2,14,14,14,4564.946,136,14,1,3680.946337,12,90,0,1.224876
2026,27,A_current_ls_dopt,10,10,10,3235.212,123,10,1,2448.212009,1,101,0,0.002586
2026,27,B_region_dopt,10,10,10,3415.003,135,10,1,2559.003215,11,101,0,0.240744
2026,27,C_region_q2,10,10,10,3524.461,132,10,1,2683.461409,8,101,0,0.915257
2026,28,A_current_ls_dopt,10,10,10,3813.046,130,10,1,2984.04613,2,105,0,0.009878
2026,28,B_region_dopt,10,10,10,3952.97,140,10,1,3065.970056,12,105,0,0.267552
