scenario,seed,case,model,n,bias_deg,anomaly,error,all_cleared,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,total_per_source,movement_per_source,detect_switch_per_source,clear_time_per_source,last_discovery_per_source,search_end_per_source,search_movement_per_source,not_ready_rate,active_measurements_per_source,co_measurements_per_source,switches_per_source,insertions_per_source,decision_wall_s,decomposition_error_s,hard_fail
S0_baseline,104729,1,I,11,0.0,0,,1,0,0,0,0,0,0,339.52236363636365,268.70416115041394,65.81818181818181,5.0,163.2362571818182,199.01433842346697,134.46888387801246,0.45454545454545453,2.727272727272727,1.8181818181818181,10.818181818181818,0.6363636363636364,1.147083299991209,0.00022734544700142578,0
S0_baseline,104729,1,J,11,0.0,0,,1,0,0,0,0,0,0,339.30345454545454,268.6670595569142,65.63636363636364,5.0,131.37376500000002,180.4923025064675,116.40139341555842,0.2727272727272727,2.3636363636363638,1.3636363636363635,10.636363636363637,0.7272727272727273,0.8087651999958325,0.00034487394395910087,0
S0_baseline,104729,1,J+,11,0.0,0,,1,0,0,0,0,0,0,340.6061818181818,272.6970763826406,62.90909090909091,5.0,122.65581663636364,172.21099762564904,112.84736126201265,0.45454545454545453,1.9090909090909092,1.5454545454545454,10.181818181818182,0.0,0.15073009999468923,0.00015979095360307838,0
S0_baseline,104729,2,I,12,0.0,0,,1,0,0,0,0,0,0,298.54975,234.96642305323599,58.583333333333336,5.0,122.59111441666666,178.06078911576355,122.39412244909691,0.4166666666666667,2.6666666666666665,1.75,9.416666666666666,0.6666666666666666,1.0970126000174787,7.663883161512786e-05,0
S0_baseline,104729,2,J,12,0.0,0,,1,0,0,0,0,0,0,280.9244166666667,213.84107493647946,62.083333333333336,5.0,133.72776625,176.66710627949996,115.2504396128333,0.3333333333333333,2.4166666666666665,1.6666666666666667,10.0,0.6666666666666666,0.8582275999942794,0.00010076224634758546,0
S0_baseline,104729,2,J+,12,0.0,0,,1,0,0,0,0,0,0,285.008,223.17469434367285,56.833333333333336,5.0,137.050779,158.5135703184571,104.18023698512373,0.3333333333333333,1.75,1.6666666666666667,9.333333333333334,0.0,0.09283609999692999,0.00033212407424798585,0
S0_baseline,104729,3,I,10,0.0,0,,1,0,0,0,0,0,0,386.11,310.3099636950197,70.8,5.0,187.2768327,222.3636913880307,154.4636913880307,0.4,2.8,1.3,11.3,0.7,0.9059037999832071,0.000363049803127069,0
S0_baseline,104729,3,J,10,0.0,0,,1,0,0,0,0,0,0,353.0968,269.9968076268997,78.1,5.0,136.8662219,223.48128058315552,147.88128058315544,0.5,3.1,1.5,12.6,0.8,1.4554588999890257,7.626899696333567e-05,0
S0_baseline,104729,3,J+,10,0.0,0,,1,0,0,0,0,0,0,329.5084,251.10840338200046,73.4,5.0,174.47570969999998,207.32388843423632,135.32388843423635,0.4,1.6,0.9,11.9,0.0,0.18138340002042241,3.382000477358815e-05,0
S0_baseline,104729,4,I,12,0.0,0,,1,0,0,0,0,0,0,341.54025,279.9569226770538,56.583333333333336,5.0,118.13352425,171.8206202136001,119.73728688026678,0.5,2.5,1.25,9.083333333333334,0.6666666666666666,0.5619321999838576,7.212464515760075e-05,0
S0_baseline,104729,4,J,12,0.0,0,,1,0,0,0,0,0,0,328.01483333333334,254.51483549002148,68.5,5.0,153.9453105,175.5398490078579,109.95651567452451,0.5,3.0833333333333335,2.0,11.0,0.6666666666666666,1.1344662999908905,2.5880257908283966e-05,0
S0_baseline,104729,4,J+,12,0.0,0,,1,0,0,0,0,0,0,333.6055833333333,266.1056031563797,62.5,5.0,143.51368666666667,165.47647794150296,106.80981127483626,0.5,2.0,1.4166666666666667,10.0,0.0,0.21078340001986362,0.0002378765566390939,0
S0_baseline,104729,5,I,12,0.0,0,,1,0,0,0,0,0,0,285.21408333333335,226.46410773632286,53.75,5.0,147.9778535,175.63607336163298,122.636073361633,0.3333333333333333,2.5,1.6666666666666667,8.75,0.6666666666666666,0.640232300007483,0.00029283587446116144,0
S0_baseline,104729,5,J,12,0.0,0,,1,0,0,0,0,0,0,257.78366666666665,193.7836617811682,59.0,5.0,76.45083108333334,170.2156577404584,111.96565774045838,0.25,2.75,1.8333333333333333,9.416666666666666,0.6666666666666666,1.0458238999999594,5.862598163730581e-05,0
