scenario,seed,case,model,n,bias_deg,anomaly,error,all_cleared,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,total_per_source,movement_per_source,detect_switch_per_source,clear_time_per_source,last_discovery_per_source,search_end_per_source,search_movement_per_source,not_ready_rate,active_measurements_per_source,co_measurements_per_source,switches_per_source,insertions_per_source,decision_wall_s,decomposition_error_s,hard_fail
S5_max_load,130363,1,I,16,0.0,0,,1,0,0,0,0,0,0,218.968125,174.65561568172959,39.3125,5.0,106.3258606875,107.45086070149095,74.26336070149094,0.75,2.625,1.875,6.1875,0.5,1.1988432999933138,0.00014909232641002745,0
S5_max_load,130363,1,J,16,0.0,0,,1,0,0,0,0,0,0,210.12375,170.06126932608294,35.0625,5.0,78.5409945625,81.37311316018328,50.93561316018328,0.5625,3.0,1.9375,5.375,0.5,1.2916338000213727,0.00030921732695787796,0
S5_max_load,130363,1,J+,16,0.0,0,,1,0,0,0,0,0,0,208.197375,174.38489410301423,28.8125,5.0,68.704078,71.53619660152955,48.09869660152955,0.6875,1.9375,1.4375,4.4375,0.0,0.21955009998055175,0.0003056482278225303,0
S5_max_load,130363,2,I,16,0.0,0,,1,0,0,0,0,0,0,280.8648125,233.36480837392125,42.5,5.0,134.4349524375,134.43495241575454,98.30995241575451,0.6875,2.9375,1.875,6.875,0.5,0.9906347999931313,6.601726045118994e-05,0
S5_max_load,130363,2,J,16,0.0,0,,1,0,0,0,0,0,0,255.6194375,207.86942344978428,42.75,5.0,105.1101923125,113.73934007828613,76.86434007828612,0.5625,2.8125,2.0625,6.8125,0.375,1.3001268999942113,0.00022480345160147408,0
S5_max_load,130363,2,J+,16,0.0,0,,1,0,0,0,0,0,0,250.1853125,205.18528604637885,40.0,5.0,96.672967375,109.87475347772771,77.37475347772771,0.6875,2.375,2.0,6.25,0.0,0.26462719999835826,0.00042325793856434757,0
S5_max_load,130363,3,I,16,0.0,0,,1,0,0,0,0,0,0,266.0344375,219.7219509779768,41.3125,5.0,108.5559345625,108.93093459077436,76.18093459077436,0.6875,2.6875,1.6875,6.3125,0.5,0.5836530000087805,0.00021564762846537633,0
S5_max_load,130363,3,J,16,0.0,0,,1,0,0,0,0,0,0,278.12875,229.62877948897378,43.5,5.0,110.715270125,123.36559222763209,85.7405922276321,0.625,2.5625,1.5625,6.9375,0.4375,1.3438863000192214,0.0004718235800282855,0
S5_max_load,130363,3,J+,16,0.0,0,,1,0,0,0,0,0,0,245.2906875,198.97816434339137,41.3125,5.0,100.085852875,101.21085286813344,67.96085286813344,0.75,2.25,1.6875,6.3125,0.0,0.3134332999761682,0.0003705057379193022,0
S5_max_load,130363,4,I,16,0.0,0,,1,0,0,0,0,0,0,240.819125,194.3816533177422,41.4375,5.0,131.5313915625,132.2813915595085,93.9063915595085,0.4375,2.8125,2.0625,6.75,0.5,1.0399784999899566,0.0004530838750724797,0
