scenario,seed,case,model,n,bias_deg,anomaly,error,all_cleared,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,total_per_source,movement_per_source,detect_switch_per_source,clear_time_per_source,last_discovery_per_source,search_end_per_source,search_movement_per_source,not_ready_rate,active_measurements_per_source,co_measurements_per_source,switches_per_source,insertions_per_source,decision_wall_s,decomposition_error_s,hard_fail
S6_compound,130363,1,I,16,1.0,0,,1,0,0,0,0,0,0,221.1730625,159.67306692860907,56.5,5.0,146.0391703125,146.03917029915127,101.47667029915127,1.0,2.25,1.875,9.3125,0.0625,1.0146557999833021,7.085774541337742e-05,0
S6_compound,130363,1,J,16,1.0,0,,1,0,0,0,0,0,0,224.8976875,156.8351858896078,63.0625,5.0,130.0875421875,131.2125421944937,84.02504219449371,1.0,3.375,2.25,10.25,0.5,1.4043260000180453,2.5766275030036923e-05,0
S6_compound,130363,1,J+,16,1.0,0,,1,0,0,0,0,0,0,202.459875,136.70987372902295,60.75,5.0,123.3240716875,124.8240717163014,80.2615717163014,1.0,3.0,2.5,9.8125,0.0,0.3361918999871705,2.0335633053036872e-05,0
S6_compound,130363,2,I,16,1.0,0,,1,0,0,0,0,0,0,136.342875,94.78036079293145,36.5625,5.0,47.0352565625,47.78525655139711,28.78525655139711,1.0,3.0,2.3125,5.9375,0.0625,0.8358272000041325,0.00022731309672963107,0
S6_compound,130363,2,J,16,1.0,0,,1,0,0,0,0,0,0,232.945375,162.94539254631576,65.0,5.0,121.39896775,122.52396772881644,77.96146772881642,1.0,4.1875,2.5625,10.625,0.1875,3.048170800000662,0.00028074105193809373,0
S6_compound,130363,2,J+,16,1.0,0,,1,0,0,0,0,0,0,209.90025,143.90023285699507,61.0,5.0,119.895060875,121.02006086763373,77.5825608676337,1.0,3.5,2.25,10.0625,0.0,0.8104499000182841,0.0002742880787991453,0
S6_compound,130363,3,I,16,1.0,0,,1,0,0,0,0,0,0,215.58875,154.401238857196,56.1875,5.0,140.585730375,140.5857303588026,96.7732303588026,1.0,2.0625,1.6875,9.3125,0.0,0.9430708000145387,0.00017828486397775123,0
S6_compound,130363,3,J,16,1.0,0,,1,0,0,0,0,0,0,227.877625,162.69014201302392,60.1875,5.0,137.6484666875,139.52346671088466,86.33596671088465,1.0,2.1875,1.75,9.875,0.0625,1.3950291000073776,0.00027220838273933623,0
S6_compound,130363,3,J+,16,1.0,0,,1,0,0,0,0,0,0,203.969625,141.34464064311857,57.625,5.0,135.3437544375,137.2187544513955,86.2812544513955,1.0,1.75,1.5,9.5,0.0,0.2516452000127174,0.0002502898969396483,0
S6_compound,130363,4,I,16,1.0,0,,1,0,0,0,0,0,0,193.3965,135.27147388645216,53.125,5.0,125.5625,125.5625,86.25,1.0,2.3125,1.75,8.75,0.0,0.8521382999897469,0.0004178167655481957,0
S6_compound,130363,4,J,16,1.0,0,,1,0,0,0,0,0,0,210.5285,140.4660027795885,65.0625,5.0,124.80814825,127.05814823904483,77.62064823904483,1.0,3.5625,2.9375,10.6875,0.125,1.6605906000186224,4.4473415982793085e-05,0
S6_compound,130363,4,J+,16,1.0,0,,1,0,0,0,0,0,0,188.24975,121.8122518731011,61.4375,5.0,121.020060875,123.27006086763372,77.5825608676337,1.0,2.9375,2.375,10.1875,0.0,0.48403229998075403,2.996961757162353e-05,0
S6_compound,130363,5,I,16,1.0,0,,1,0,0,0,0,0,0,145.0464375,103.04640867571538,37.0,5.0,29.3125,29.3125,14.375,1.0,3.6875,2.5625,6.0625,0.0,0.8484835000126623,0.00046118855379972956,0
S6_compound,130363,5,J,16,1.0,0,,1,0,0,0,0,0,0,177.383,122.63299765798405,49.75,5.0,107.151058625,110.15105864438257,77.58855864438254,1.0,3.875,3.1875,8.1875,0.0625,3.215433299978031,3.7472255371540086e-05,0
S6_compound,130363,5,J+,16,1.0,0,,1,0,0,0,0,0,0,176.922875,124.42289996968594,47.5,5.0,104.895060875,107.89506086763373,77.5825608676337,1.0,3.5,2.875,7.8125,0.0,0.5746249000076205,0.00039951497501533595,0
S6_compound,130363,6,I,16,1.0,0,,1,0,0,0,0,0,0,238.135625,171.44813864995453,61.6875,5.0,149.9054133125,149.90541328664233,99.71791328664231,1.0,2.4375,1.5,10.125,0.5,1.0996158000198193,0.0002183992723985284,0
S6_compound,130363,6,J,16,1.0,0,,1,0,0,0,0,0,0,203.429,135.99152990202796,62.4375,5.0,127.8240716875,128.94907171630138,80.26157171630139,1.0,2.5,2.125,10.25,0.0,0.4526680999842938,0.0004784324473803281,0
