scenario,pair,n,mean,median,ci_low,ci_high,right_wins,left_wins,ties,seed_range,seed_means
S0_baseline,I->J,600,5.663225633057569,6.696543749999989,4.238088941466865,7.05980330451198,389,211,0,0.555451068514822,"{""104729"": 5.925655812458377, ""130363"": 5.711339191849816, ""155921"": 5.370204743943555}"
S0_baseline,J->J+,600,5.615071738973745,6.144993749999998,4.522273906074828,6.676441441284064,433,167,0,1.6495258807026243,"{""104729"": 5.325288220820844, ""130363"": 6.57492554857642, ""155921"": 4.925399667873796}"
S0_baseline,I->J+,600,11.278297372031313,10.67295673076923,9.941383186638014,12.61437231387935,471,129,0,1.990660328608886,"{""104729"": 11.25094403327922, ""130363"": 12.286264740426237, ""155921"": 10.29560441181735}"
S1_boundary,I->J,600,25.52822992636686,25.64433846153844,23.932937116412408,27.08382878794001,544,56,0,4.592550859827671,"{""104729"": 23.280598295454546, ""130363"": 25.431511631805698, ""155921"": 27.873149155282217}"
S1_boundary,J->J+,600,7.588701504146363,6.530275568181821,6.984571848296497,8.200104503676013,566,34,0,0.675032788898597,"{""104729"": 7.91556607952464, ""130363"": 7.606538467407592, ""155921"": 7.240533290626043}"
S1_boundary,I->J+,600,33.116931430513226,33.19987272727275,31.57574563556912,34.629438829171,578,22,0,3.91751807092907,"{""104729"": 31.19616437497919, ""130363"": 33.03805009921329, ""155921"": 35.11368244590826}"
S2_min_radius,I->J,600,5.500597607868332,6.087899999999934,3.7178075398091517,7.2831968645486445,361,239,0,1.5825790665792514,"{""104729"": 4.687438890942394, ""130363"": 5.54705125553613, ""155921"": 6.270017957521645}"
S2_min_radius,J->J+,600,5.09910618600882,5.154961538461521,3.9773243780795573,6.243140371736592,421,179,0,1.4123826356976386,"{""104729"": 4.3583666756368595, ""130363"": 5.185484223297534, ""155921"": 5.770749311334498}"
S2_min_radius,I->J+,600,10.59970379387715,10.985934523809505,8.891474191211044,12.325122819290778,414,186,0,2.994961702276889,"{""104729"": 9.045805566579254, ""130363"": 10.732535478833665, ""155921"": 12.040767268856143}"
S3_systematic_bias,I->J,600,8.742384715470113,8.014637499999992,7.24438357784108,10.248826671320344,438,162,0,2.3399830542374263,"{""104729"": 8.953824585955708, ""130363"": 7.492335720175659, ""155921"": 9.832318774413086}"
S3_systematic_bias,J->J+,600,6.538420591382822,7.209259740259739,5.4922219722158045,7.592173739905581,451,149,0,2.507585205398766,"{""104729"": 6.902194277243591, ""130363"": 7.599687888195137, ""155921"": 5.092102682796371}"
S3_systematic_bias,I->J+,600,15.280805306852935,14.684583333333308,13.847544127180804,16.7497714854987,492,108,0,0.9315974059898444,"{""104729"": 15.8560188631993, ""130363"": 15.092023608370797, ""155921"": 14.924421457209455}"
S4_clustered,I->J,600,7.360311051132014,7.683566666666678,5.663355782221771,9.046284789140545,404,185,11,1.2579055261821521,"{""104729"": 7.164877016067265, ""130363"": 8.07088328211372, ""155921"": 6.812977755931567}"
S4_clustered,J->J+,600,6.81586073080012,6.635549999999995,5.453626602527682,8.162655841940527,451,149,0,1.4362771132201146,"{""104729"": 6.3895971293498155, ""130363"": 6.3003825236013995, ""155921"": 7.736659636821514}"
S4_clustered,I->J+,600,14.176171781932132,14.3974621212121,12.507047665214124,15.869005249413954,480,120,0,0.9951632473360021,"{""104729"": 13.55447414541708, ""130363"": 14.371265805715119, ""155921"": 14.549637392753082}"
S5_max_load,I->J,600,5.498884064510417,5.229906249999971,3.9486783411458335,7.0305854765625,369,231,0,2.272551875000002,"{""104729"": 4.602364374999999, ""130363"": 5.045515, ""155921"": 6.874916250000001}"
S5_max_load,J->J+,600,5.242716212197916,4.925500000000014,4.144856333333332,6.36638371875,416,184,0,1.8664737500000008,"{""104729"": 6.3676096875, ""130363"": 4.501135937499999, ""155921"": 4.8596396875000005}"
S5_max_load,I->J+,600,10.741600276708333,11.57178125,9.180746372395832,12.302352109375,428,172,0,2.1879050000000024,"{""104729"": 10.969974062499999, ""130363"": 9.546650937499999, ""155921"": 11.734555937500001}"
S6_compound,I->J,600,-27.49088679609375,-23.25562500000001,-29.734551263020833,-25.25520021614583,88,512,0,6.141435937499999,"{""104729"": -30.46093625, ""130363"": -24.3195003125, ""155921"": -27.7378271875}"
S6_compound,J->J+,600,7.589435069479167,3.9045624999999973,6.291680263020833,8.915933447916668,432,159,9,4.424339374999999,"{""104729"": 9.2465103125, ""130363"": 4.822170937500001, ""155921"": 8.698670312500001}"
S6_compound,I->J+,600,-19.901451726614585,-17.054500000000004,-22.037348726562495,-17.790936356770835,125,475,0,2.1752690625,"{""104729"": -21.2144259375, ""130363"": -19.497329374999996, ""155921"": -19.039156875}"
