scenario,model,seed,cases,all_cleared_rate,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,anomalies,hard_fail_cases,mean_per_source,median_per_source,p90_per_source,p95_per_source,max_per_source,mean_total_per_source,mean_movement_per_source,mean_detect_switch_per_source,mean_clear_time_per_source,mean_last_discovery_per_source,mean_search_end_per_source,mean_search_movement_per_source,mean_not_ready_rate,mean_active_measurements_per_source,mean_co_measurements_per_source,mean_switches_per_source,mean_insertions_per_source,mean_decision_wall_s,mean_decomposition_error_s,mean_ci_low,mean_ci_high,bootstrap_mean
S0_baseline,I,pooled,600,1,0,0,0,0,0,0,0,0,306.8485753589189,302.91019230769234,370.59736363636364,385.3229,432.7724,306.8485753589189,247.8904368773232,53.95813835470086,5.0,140.83239535035054,165.58113280740693,115.17167451569864,0.47270646714396714,2.506908986846487,1.530755883005883,8.681239628427129,0.5805359362859362,0.9080413409996739,0.000253329720834851,303.1353939830623,310.55730640692184,306.83755142029787
S0_baseline,I,104729,200,1,0,0,0,0,0,0,0,0,306.38996632305196,303.96907692307695,365.2688181818182,376.99879999999996,430.4384545454546,306.38996632305196,247.61593770187028,53.774027867965366,5.0,140.1013208657686,165.77646104404994,115.3258989186753,0.45459600815850815,2.4722980144855145,1.5027543914418915,8.657947073759575,0.5825034965034965,0.8716407659987453,0.00025267349110663417,,,
S0_baseline,I,130363,200,1,0,0,0,0,0,0,0,0,310.68123892594906,299.63420604395606,379.56129999999996,389.3882,432.7724,310.68123892594906,250.6232444051093,55.0579955044955,5.0,142.49956215815925,168.450598390471,117.07678589047099,0.4849872211122211,2.535522102897103,1.5540739052614052,8.855801760739261,0.5838323135198136,0.9265260195004521,0.0002561004276049061,,,
S0_baseline,I,155921,200,1,0,0,0,0,0,0,0,0,303.47452082775555,300.6890824175824,368.1799,381.5433636363636,409.3154,303.47452082775555,245.43212852499002,53.04239169164169,5.0,139.89630302712376,162.51633898769987,113.11233873794963,0.47853617216117217,2.512906843156843,1.5354393523143524,8.52997005078255,0.5752719988344989,0.9259572374998243,0.00025121524379301263,,,
S0_baseline,J,pooled,600,1,0,0,0,0,0,0,0,0,301.1795087761683,298.0996785714285,365.48845454545454,379.63009999999997,414.5271818181818,301.1795087761683,237.18334728618152,58.996161796536796,5.0,132.12469268513692,161.1478167383585,105.25391575045751,0.4325290404040404,2.6461226551226553,1.6608732656232656,9.52911152042402,0.5824043525918526,1.087757216499449,0.00023775068340455618,297.5543219722585,304.86833669255225,301.17432578724026
S0_baseline,J,104729,200,1,0,0,0,0,0,0,0,0,300.4643105105936,300.9415,355.7344166666667,363.9774545454545,403.3532,300.4643105105936,236.44916753535185,59.01514316933067,5.0,130.22174837229502,161.07709932271732,105.03673980723279,0.4259542540792541,2.6291016275391277,1.6524635364635365,9.532744422244422,0.5853476107226108,1.0835251904999312,0.00025345677661562147,,,
S0_baseline,J,130363,200,1,0,0,0,0,0,0,0,0,304.9698997340992,297.3811236263736,374.61379999999997,388.0698,414.5271818181818,304.9698997340992,239.74508831361956,60.224812604062606,5.0,134.94271583244407,164.11705398814294,106.97058166879563,0.4335290959040959,2.6525780053280053,1.6654411005661005,9.743083916083917,0.5858867798867798,1.0767917259993556,0.00023014946694729587,,,
S0_baseline,J,155921,200,1,0,0,0,0,0,0,0,0,298.104316083812,294.242875,363.2555454545455,379.63009999999997,407.592,298.104316083812,235.3557860095731,57.74852961621712,5.0,131.20961385067164,158.24929690421524,103.7544257753441,0.43810377122877125,2.6566883325008326,1.66471515984016,9.311506222943724,0.5759786671661672,1.10295473299906,0.0002296458066507512,,,
S0_baseline,J+,pooled,600,1,0,0,0,0,0,0,0,0,295.57097096374457,291.7785416666667,359.1698,372.4558,405.6037,295.57097096374457,235.34571992989467,55.2252500971251,5.0,120.72804336086888,149.8923328674914,98.60272584950937,0.4660380591630592,2.0079501956376955,1.639956703019203,8.942169184981685,0.0,0.15858508633323556,0.0002477929543586773,292.041652321765,299.1127689695234,295.55925404826655
S0_baseline,J+,104729,200,1,0,0,0,0,0,0,0,0,295.13902228977275,294.7291282051282,353.2327,365.4559090909091,393.5872,295.13902228977275,234.9099951734071,55.22902676490177,5.0,118.49957902501599,149.78385432702413,98.41681834217563,0.4623503371628372,2.001814914252414,1.643530178155178,8.949639901764902,0.0,0.15798387850052678,0.0002568187916358511,,,
S0_baseline,J+,130363,200,1,0,0,0,0,0,0,0,0,298.3949741855228,292.3981888111888,368.0234,379.20770000000005,402.7142,298.3949741855228,236.9270709379869,56.46790107808858,5.0,124.13557247455724,152.87196908565778,100.31829259548127,0.46947989510489513,2.011309627872128,1.6446232725607726,9.151093406593407,0.0,0.1568204329998116,0.00024388923735386926,,,
S0_baseline,J+,155921,200,1,0,0,0,0,0,0,0,0,293.1789164159382,288.6715773809524,354.648,372.4853,405.6037,293.1789164159382,234.20009367829002,53.978822448384946,5.0,119.5489785830334,147.0211751897923,97.07306661087121,0.46628394522144523,2.010726044788545,1.6317166583416585,8.725774246586747,0.0,0.16095094749936834,0.00024267083408631153,,,
S1_boundary,I,pooled,600,1,0,0,0,0,0,0,0,0,352.46822867200854,344.341,427.76772727272726,444.2613,494.6516,352.46822867200854,287.0043362536619,60.46389285714286,5.0,152.32851536413148,162.06842292946718,110.91279355883782,0.9336433566433566,1.985824938949939,0.9127542596292596,9.800036921411921,0.19811167304917304,0.614352243499646,0.0002564022487566338,348.31646198474203,356.6762575246632,352.4701473058612
S1_boundary,I,104729,200,1,0,0,0,0,0,0,0,0,350.5399257287504,345.2972275641026,425.2369,437.11139999999995,481.8932,350.5399257287504,285.3217527716186,60.218172993672994,5.0,152.42320043344884,161.96070585285037,110.9853373671694,0.9346648976023976,1.9627650474525475,0.9105690559440559,9.759996898934398,0.18579120879120878,0.5929479194991291,0.00027756245219961784,,,
S1_boundary,I,130363,200,1,0,0,0,0,0,0,0,0,351.9042555144855,339.72043333333335,429.1946,445.36260000000004,494.6516,351.9042555144855,286.21776334773244,60.68649211205461,5.0,152.86510394647158,162.58264570535061,111.16570023415515,0.9347348276723276,1.9778479853479853,0.9051281426906427,9.840792603230103,0.200607017982018,0.6349304629997641,0.0002349177190399132,,,
S1_boundary,I,155921,200,1,0,0,0,0,0,0,0,0,354.9605047727897,346.19705357142857,432.89009999999996,456.64930000000004,483.5457,354.9605047727897,289.4734926416347,60.48701346570097,5.0,151.697241712474,161.66191723020057,110.58734307518891,0.9315303446553447,2.016861784049284,0.9225655802530802,9.799321262071262,0.20793679237429238,0.6151783480000449,0.0002567265750303704,,,
S1_boundary,J,pooled,600,1,0,0,0,0,0,0,0,0,326.93980897782774,322.46203846153844,395.7543,417.86800000000005,439.7159,326.93980897782774,255.91689320205106,66.02291608391609,5.0,139.6202561778426,162.740645784359,101.22769887709958,0.6173729048729049,2.220728681041181,1.3735022546897546,10.82286498917749,0.4429327339327339,1.4161318166663113,0.0002594933445023647,323.15352087087143,330.75796450046573,326.9419173794943
S1_boundary,J,104729,200,1,0,0,0,0,0,0,0,0,327.2593274332959,325.0419519230769,395.1353636363636,401.8401,439.7159,327.2593274332959,256.2846104152607,65.97471441058941,5.0,139.24976026557627,162.56202963011077,101.25948142831257,0.6249185606060607,2.238370442057942,1.383193494005994,10.80956684981685,0.4352638403263403,1.3955221180003718,0.00026439950124085954,,,
S1_boundary,J,130363,200,1,0,0,0,0,0,0,0,0,326.4727438826798,317.7010494505495,400.6527,424.72020000000003,434.77290000000005,326.4727438826798,255.02749509700095,66.4452513944389,5.0,140.01583232036944,163.49748391085868,101.57151866776843,0.6281531177156177,2.2388667998667997,1.3758061313686314,10.894180382117883,0.45355030386280387,1.4570004609989702,0.0002568089076089564,,,
S1_boundary,J,155921,200,1,0,0,0,0,0,0,0,0,327.0873556175075,323.1038461538461,394.85749999999996,413.61170000000004,432.2614,327.0873556175075,256.4385740938915,65.64878244671995,5.0,139.59517594758213,162.1624238121075,100.85209653521773,0.5990470362970363,2.1849488011988014,1.3615071386946387,10.764847735597735,0.4399840576090576,1.3958728709995922,0.00025727162465727816,,,
S1_boundary,J+,pooled,600,1,0,0,0,0,0,0,0,0,319.352263031975,315.2133076923077,385.9467,404.895,423.0041,319.352263031975,251.0151364623247,63.33712722693973,5.0,134.0441148644387,155.67626033390263,97.18021721729698,0.7121658827283828,1.756684835997336,1.3481803821178822,10.457295357420357,0.0,0.20380682316603876,0.0002597603148547023,315.61621812264957,323.09548837768875,319.353215875348
S1_boundary,J+,104729,200,1,0,0,0,0,0,0,0,0,319.34376135377124,318.8881858974359,382.13272727272727,390.70210000000003,417.7045,319.34376135377124,251.054358570206,63.28940507409258,5.0,133.75345954799965,155.51565671296277,97.18988681619284,0.717432504995005,1.7731000041625042,1.3515638736263735,10.450609702797204,0.0,0.20123332700110041,0.0002488775174424518,,,
S1_boundary,J+,130363,200,1,0,0,0,0,0,0,0,0,318.86620541527225,310.9438846153846,387.85540000000003,415.3666,422.24539999999996,318.86620541527225,250.2607935816536,63.60541225441226,5.0,134.4057358922272,156.31644555203883,97.46592667508243,0.7194387071262072,1.7492882534132534,1.3492633824508824,10.502233974358974,0.0,0.206320610998373,0.0002713289976213673,,,
S1_boundary,J+,155921,200,1,0,0,0,0,0,0,0,0,319.84682232688147,314.1963141025641,387.2891,403.24760000000003,423.0041,319.84682232688147,251.7302572351145,63.116564352314356,5.0,133.97314915308922,155.1966787367063,96.88483816061571,0.699626436063936,1.7476662504162503,1.3437138902763903,10.419042395104896,0.0,0.20386653149864287,0.0002590744295002878,,,
S2_min_radius,I,pooled,600,1,0,0,0,0,0,0,0,0,315.8175330374625,311.48172802197803,379.17100000000005,395.67330000000004,468.6058,315.8175330374625,254.64005803400408,56.177474886224886,5.0,153.65153982992067,166.57862244144954,115.0287393939415,0.5375812867687868,2.2844874153624155,1.2593602786102787,9.007468156843156,0.5162538572538573,0.9385207576659741,0.00024961298740663554,312.157992703134,319.5504472619304,315.82215879677113
S2_min_radius,I,104729,200,1,0,0,0,0,0,0,0,0,316.1616976543665,314.01338461538467,379.69425,395.2305,468.6058,316.1616976543665,255.06732671565362,56.09436963036963,5.0,154.56579534999474,166.1665481957175,114.67370693281373,0.532921848984349,2.268687291874792,1.2312522893772895,8.984880785880787,0.5115299908424908,0.9154129179992014,0.00024936199213243526,,,
S2_min_radius,I,130363,200,1,0,0,0,0,0,0,0,0,311.4807215443723,307.5357967032967,363.24233333333336,381.38372727272724,432.6447,311.4807215443723,251.25149157272432,55.22923018648019,5.0,151.104390323829,164.9215757609513,114.26183354483408,0.5342068972693973,2.2829920496170497,1.2725989635364636,8.861513528138529,0.5145257659007659,0.9499007889990753,0.0002486817844396683,,,
S2_min_radius,I,155921,200,1,0,0,0,0,0,0,0,0,319.8101799136488,316.0894166666667,392.34540000000004,399.6237,434.87827272727276,319.8101799136488,257.60135581363426,57.20882484182484,5.0,155.28443381593829,168.64774336767988,116.15067770417672,0.5456151140526141,2.3017829045954046,1.2742295829170829,9.176010156510156,0.522705815018315,0.9502485659996455,0.000250795185647803,,,
S2_min_radius,J,pooled,600,1,0,0,0,0,0,0,0,0,310.31603033612913,307.31877499999996,374.96619999999996,390.20145454545457,477.5403,310.31603033612913,244.72349411974486,60.59253703934954,5.0,144.31721046929127,161.3333032467069,104.57847739200602,0.4464397893772894,2.2726817071817074,1.2699231393606394,9.728291389166388,0.507841144966145,0.998542820999525,0.00025171910583670373,306.6182433526085,314.0677977711911,310.3215611889028
S2_min_radius,J,104729,200,1,0,0,0,0,0,0,0,0,311.4742587634241,309.2242380952381,379.7836,398.11019999999996,477.5403,311.4742587634241,245.81066006329812,60.66359962953713,5.0,144.48573219699006,161.87348129481492,105.08130164113527,0.44531558025308027,2.265577589077589,1.220864343989344,9.730013215950716,0.521830919080919,0.9972868195000046,0.00026322580245505376,,,
S2_min_radius,J,130363,200,1,0,0,0,0,0,0,0,0,305.93367028883614,302.82021703296704,364.464,374.54090909090905,437.6064,305.93367028883614,241.53491829890353,59.39875418331668,5.0,142.2478504335282,158.9873283324038,103.34538344395891,0.44213594738594736,2.2834442224442224,1.3036641483516482,9.540566745754246,0.5094281551781552,1.042919697999896,0.00024971141013566014,,,
