case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,10,10,10,5015.974,123,10
2,15,15,15,4849.943,99,15
3,14,14,14,5387.955,107,14
4,16,16,16,6541.895,113,16
5,10,10,10,4766.006,118,10
6,10,10,10,5214.37,115,10
7,13,13,13,5668.655,115,14
8,10,10,10,4688.854,113,10
9,14,14,14,6212.353,109,14
10,10,10,10,4606.486,114,10
11,13,13,13,5837.865,126,13
12,16,16,16,5653.135,94,16
13,16,16,16,5997.079,115,16
14,16,16,16,5255.781,74,17
15,15,15,15,5498.524,110,15
16,12,12,12,4983.495,113,12
17,10,10,10,4380.207,107,10
18,16,16,16,5299.461,68,16
19,10,10,10,4732.98,118,10
20,12,12,12,5653.15,108,12
21,13,13,13,5554.494,115,13
22,16,16,16,5418.976,104,16
23,11,11,11,4900.15,118,11
24,14,14,14,5232.521,106,14
25,10,10,10,4996.281,123,10
26,14,14,14,4546.681,103,14
27,10,10,10,4160.907,128,10
28,10,10,10,4834.103,124,10
29,13,13,13,5321.833,104,13
30,15,15,15,5513.205,96,16
