case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,10,10,10,4958.702,149,10
2,15,15,15,5109.134,150,15
3,14,14,14,5812.973,151,14
4,16,16,16,6449.621,161,16
5,10,10,10,4752.245,148,10
6,10,10,10,4991.682,147,10
7,13,13,13,5750.252,154,15
8,10,10,10,4673.047,149,11
9,14,14,14,6171.463,155,14
10,10,10,10,4917.881,149,10
11,13,13,13,5826.553,156,13
12,16,16,16,6546.29,159,16
13,16,16,16,6069.993,157,16
14,16,16,16,5730.06,151,18
15,15,15,15,5602.981,153,15
16,12,12,12,5197.554,152,13
17,10,10,10,4774.716,145,10
18,16,16,16,5607.086,151,16
19,10,10,10,5186.452,149,10
20,12,12,12,5715.483,152,12
21,13,13,13,5587.396,151,13
22,16,16,16,5704.161,153,17
23,11,11,11,5127.199,149,11
24,14,14,14,5661.05,155,15
25,10,10,10,5662.649,151,10
26,14,14,14,4966.125,150,16
27,10,10,10,4052.162,147,10
28,10,10,10,5021.591,150,10
29,13,13,13,5787.027,153,13
30,15,15,15,5817.507,151,15
