case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,10,10,10,4826.96,123,10
2,15,15,15,4400.492,99,15
3,14,14,14,4874.633,107,14
4,16,16,16,5562.317,115,18
5,10,10,10,4257.553,119,11
6,10,10,10,4946.707,116,11
7,13,13,13,4786.248,115,14
8,10,10,10,4222.872,113,10
9,14,14,14,5794.033,112,17
10,10,10,10,4112.907,114,10
11,13,13,13,5147.314,127,14
12,16,16,16,4712.45,94,16
13,16,16,16,5496.617,117,18
14,16,16,16,4646.309,76,19
15,15,15,15,5002.669,111,16
16,12,12,12,4464.081,114,13
17,10,10,10,4126.445,107,10
18,16,16,16,4254.926,71,19
19,10,10,10,4393.131,119,11
20,12,12,12,5222.048,109,13
21,13,13,13,5193.002,116,14
22,16,16,16,4664.966,104,16
23,11,11,11,4485.526,119,12
24,14,14,14,4870.811,107,15
25,10,10,10,4347.231,123,10
26,14,14,14,4344.179,103,14
27,10,10,10,3956.021,129,11
28,10,10,10,4403.685,123,10
29,13,13,13,4970.189,106,15
30,15,15,15,4956.655,97,17
