case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
1,16,16,16,5296.394,99,17
2,13,13,13,4483.785,105,14
3,11,11,11,4887.511,120,12
4,16,16,16,5994.526,96,19
5,13,13,13,4321.631,117,14
6,13,13,13,5263.413,108,13
7,13,13,13,5976.182,105,17
8,12,12,12,5190.128,111,14
9,15,15,15,5246.904,106,18
10,14,14,14,5460.216,123,16
11,15,15,15,4888.111,96,15
12,16,16,16,6288.773,115,19
13,10,10,10,5008.91,130,13
14,10,10,10,5002.016,112,13
15,15,15,15,4621.36,100,17
16,10,10,10,5108.357,117,13
17,14,14,14,5002.48,107,15
18,10,10,10,5379.747,121,12
19,14,14,14,5255.607,105,16
20,14,14,14,5533.476,101,18
21,10,10,10,4293.543,115,10
22,16,16,16,4505.782,82,17
23,15,15,15,7179.074,107,21
24,10,10,10,4995.11,112,12
25,15,15,15,5604.498,102,17
26,13,13,13,6369.478,114,18
27,12,12,12,4649.226,107,13
28,15,15,15,5349.557,99,15
29,12,12,12,5217.046,110,14
30,10,10,10,4962.165,120,11
31,12,12,12,5421.513,121,13
32,14,14,14,5975.288,104,17
33,16,16,16,5523.539,98,19
34,16,16,16,6449.145,105,19
35,13,13,13,4868.29,106,14
36,15,15,15,6202.057,118,20
37,12,12,12,5090.774,111,14
38,12,12,12,4983.514,114,14
39,14,14,14,4739.105,113,15
40,16,16,16,4871.857,93,17
41,16,16,16,6133.221,119,21
42,14,14,14,5428.479,110,18
43,13,13,13,5242.143,106,15
44,15,15,15,5360.361,105,18
45,16,16,16,5963.261,106,19
46,15,15,15,4754.052,93,17
47,13,13,13,5790.422,109,16
48,13,13,13,5193.603,119,14
49,16,16,16,6314.325,100,17
50,13,13,13,5500.305,108,15
51,10,10,10,5362.432,125,12
52,10,10,10,4589.371,115,10
53,11,11,11,4731.301,109,13
54,11,11,11,4811.007,120,12
55,10,10,10,4659.173,122,11
56,13,13,13,5424.696,110,16
57,15,15,15,6601.078,111,18
58,14,14,14,6922.252,107,19
59,12,12,12,5826.784,106,16
60,12,12,12,5649.774,109,14
61,10,10,10,5288.257,114,12
62,12,12,12,5123.605,114,13
63,15,15,15,4598.371,100,15
64,14,14,14,7181.827,117,19
65,13,13,13,5931.273,110,16
66,16,16,16,4471.92,95,16
67,16,16,16,7563.059,120,22
68,16,16,16,5892.163,112,18
69,13,13,13,5684.612,99,15
70,14,14,14,6391.216,107,17
71,10,10,10,4167.474,114,10
72,13,13,13,5767.767,114,16
73,15,15,15,6088.808,100,19
74,14,14,14,5580.506,101,16
75,15,15,15,6080.579,109,18
76,11,11,11,5421.328,114,13
77,11,11,11,5210.514,117,14
78,10,10,10,5409.101,114,12
79,15,15,15,6710.99,104,19
80,10,10,10,5357.061,122,13
81,13,13,13,5659.021,114,15
82,13,13,13,6143.021,116,17
83,13,13,13,6229.09,119,16
84,14,14,14,5727.571,109,17
85,16,16,16,5335.937,105,17
86,12,12,12,4672.896,112,12
87,15,15,15,5456.744,105,19
88,14,14,14,6291.384,121,17
89,15,15,15,6180.882,106,17
90,13,13,13,5099.956,101,15
91,15,15,15,5624.914,93,16
92,15,15,15,6411.468,107,19
93,14,14,14,5781.37,105,16
94,15,15,15,5012.688,105,15
95,14,14,14,7120.943,111,18
96,12,12,12,5749.581,120,15
97,13,13,13,5554.124,110,15
98,10,10,10,4382.113,117,11
99,15,15,15,5519.853,106,18
100,13,13,13,5120.095,107,14
101,13,13,13,5119.896,109,15
102,14,14,14,5125.142,110,15
103,16,16,16,6611.65,105,20
104,15,15,15,5245.984,112,17
105,12,12,12,5924.332,111,15
106,16,16,16,5951.108,99,20
107,16,16,16,5731.124,107,19
108,14,14,14,4990.958,115,14
109,13,13,13,5447.392,115,14
110,11,11,11,4735.197,116,11
111,14,14,14,5209.085,104,14
112,16,16,16,6826.779,117,21
113,16,16,16,5471.83,94,18
114,12,12,12,5023.043,113,13
115,10,10,10,4327.716,107,11
116,12,12,12,5678.107,131,13
117,11,11,11,4888.586,127,12
118,12,12,12,4950.277,107,14
119,11,11,11,4423.628,110,11
120,10,10,10,5532.559,112,13
121,15,15,15,6664.165,100,20
122,12,12,12,5662.746,114,15
123,14,14,14,5788.461,111,16
124,14,14,14,6347.794,111,18
125,16,16,16,5615.973,102,21
126,16,16,16,6320.465,124,19
127,14,14,14,4975.105,109,15
128,16,16,16,6077.019,98,20
129,11,11,11,4863.663,109,12
130,15,15,15,6671.564,102,19
131,12,12,12,5719.633,118,14
132,11,11,11,4664.701,116,12
133,11,11,11,4609.459,110,12
134,16,16,16,6372.682,106,20
135,16,16,16,4893.189,90,19
136,16,16,16,6000.337,103,21
137,16,16,16,5586.547,92,20
138,13,13,13,5316.188,121,15
139,13,13,13,5127.594,110,14
140,15,15,15,5451.806,118,16
141,13,13,13,4777.222,106,14
142,12,12,12,5800.377,112,16
143,12,12,12,5803.853,117,14
144,15,15,15,5539.175,99,16
145,15,15,15,5445.836,110,15
146,11,11,11,5402.127,123,12
147,13,13,13,5402.585,123,14
148,11,11,11,4514.167,111,11
149,13,13,13,5472.274,110,15
150,11,11,11,5311.457,121,11
151,14,14,14,4766.722,107,15
152,13,13,13,5731.543,112,15
153,15,15,15,5463.94,95,17
154,11,11,11,4485.502,117,11
155,15,15,15,4954.036,130,16
156,16,16,16,6765.479,102,23
157,11,11,11,4961.189,105,13
158,16,16,16,5592.852,109,17
159,14,14,14,5847.53,116,17
160,10,10,10,5092.92,117,13
161,15,15,15,6365.349,113,19
162,15,15,15,5200.532,110,16
163,11,11,11,4348.866,116,12
164,13,13,13,6108.721,113,16
165,12,12,12,4680.373,105,13
166,15,15,15,6357.198,115,19
167,15,15,15,6181.233,104,20
168,12,12,12,5201.497,110,14
169,14,14,14,6614.148,120,18
170,15,15,15,5980.508,96,19
171,10,10,10,5094.512,116,12
172,15,15,15,6099.108,105,17
173,12,12,12,5075.883,107,15
174,13,13,13,6149.744,117,15
175,12,12,12,4928.567,112,13
176,14,14,14,5512.132,113,15
177,13,13,13,4986.739,99,15
178,13,13,13,5887.337,117,15
179,12,12,12,5389.49,117,14
180,14,14,14,5514.276,100,16
181,11,11,11,5691.824,114,12
182,16,16,16,7012.619,98,21
183,15,15,15,4944.248,100,15
184,15,15,15,5539.897,103,17
185,13,13,13,5475.189,114,15
186,11,11,11,5439.12,121,12
187,14,14,14,6342.671,111,16
188,14,14,14,6037.282,109,17
189,10,10,10,5058.192,130,12
190,16,16,16,7012.935,106,19
191,13,13,13,5038.924,126,14
192,13,13,13,5309.968,119,15
193,15,15,15,7077.662,109,20
194,10,10,10,4951.05,125,12
195,11,11,11,5421.231,120,13
196,12,12,12,4870.129,110,13
197,16,16,16,5631.433,91,17
198,13,13,13,4691.744,100,13
199,15,15,15,5505.949,102,16
200,16,16,16,6988.058,106,21
201,16,16,16,6185.307,97,20
202,16,16,16,4940.373,104,18
