seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
982451653,1,A_current_ls_dopt,14,14,14,4268.705,123,18,1,3449.704544,2,0,0,nan,90,4,0.006802
982451653,1,B_region_dopt,14,14,14,4869.928,142,14,1,3952.927902,18,0,0,nan,90,0,0.191945
982451653,2,A_current_ls_dopt,14,14,14,4472.391,132,14,1,3611.39087,7,0,0,nan,101,0,0.02661
982451653,2,B_region_dopt,14,14,14,4790.694,142,14,1,3872.694472,15,0,0,nan,101,0,0.104064
982451653,3,A_current_ls_dopt,15,15,15,4756.97,142,20,1,3820.970206,10,0,0,nan,101,5,0.042887
982451653,3,B_region_dopt,15,15,15,4591.313,149,15,1,3629.313427,17,0,0,nan,101,0,0.190582
982451653,4,A_current_ls_dopt,15,15,15,4668.553,122,23,1,3839.552845,4,0,0,nan,83,8,0.014418
982451653,4,B_region_dopt,15,15,15,4889.32,136,15,1,4002.320137,16,0,0,nan,83,0,0.144945
982451653,5,A_current_ls_dopt,13,13,13,4178.534,131,13,1,3329.533712,5,0,0,nan,97,0,0.026867
982451653,5,B_region_dopt,13,13,13,4451.478,141,13,1,3544.477741,15,0,0,nan,97,0,0.223816
982451653,6,A_current_ls_dopt,16,16,16,4931.861,113,28,1,4142.861091,7,0,0,nan,73,12,0.014874
982451653,6,B_region_dopt,16,16,16,4890.064,133,16,1,4025.064315,25,0,0,nan,73,0,0.221533
982451653,7,A_current_ls_dopt,15,15,15,4310.078,133,16,1,3435.078115,5,0,0,nan,101,1,0.019768
982451653,7,B_region_dopt,15,15,15,4484.919,145,15,1,3541.918955,14,0,0,nan,101,0,0.139958
982451653,8,A_current_ls_dopt,13,13,13,3877.722,132,14,1,3019.722235,5,0,0,nan,98,1,0.024861
982451653,8,B_region_dopt,13,13,13,4321.678,142,13,1,3408.677752,14,0,0,nan,98,0,0.15109
982451653,9,A_current_ls_dopt,13,13,13,4581.841,127,18,1,3743.841486,5,0,0,nan,96,5,0.009294
982451653,9,B_region_dopt,13,13,13,4520.764,138,13,1,3630.763837,12,0,0,nan,96,0,0.112762
982451653,10,A_current_ls_dopt,12,12,12,3928.333,126,12,1,3114.332789,2,0,0,nan,97,0,0.015473
982451653,10,B_region_dopt,12,12,12,4104.185,137,12,1,3226.185308,11,0,0,nan,97,0,0.118822
982451653,11,A_current_ls_dopt,16,16,16,3931.441,99,22,1,3244.4408,10,0,0,nan,58,6,0.034938
982451653,11,B_region_dopt,16,16,16,3984.711,110,16,1,3250.711341,19,0,0,nan,58,0,0.14558
982451653,12,A_current_ls_dopt,10,10,10,3693.748,129,12,1,2865.747682,3,0,0,nan,104,2,0.009758
982451653,12,B_region_dopt,10,10,10,3896.642,137,10,1,3026.641996,9,0,0,nan,104,0,0.136405
982451653,13,A_current_ls_dopt,14,14,14,4464.912,136,14,1,3579.911897,3,0,0,nan,103,0,0.028019
982451653,13,B_region_dopt,14,14,14,4588.762,145,14,1,3649.761721,11,0,0,nan,103,0,0.107468
982451653,14,A_current_ls_dopt,10,10,10,4399.526,134,15,1,3533.526118,4,0,0,nan,107,5,0.009369
982451653,14,B_region_dopt,10,10,10,3999.311,143,10,1,3095.310687,12,0,0,nan,107,0,0.180642
982451653,15,A_current_ls_dopt,14,14,14,4457.917,127,14,1,3626.917392,3,0,0,nan,94,0,0.01374
982451653,15,B_region_dopt,14,14,14,4723.33,141,14,1,3810.329958,14,0,0,nan,94,0,0.119031
982451653,16,A_current_ls_dopt,16,16,16,4221.28,115,22,1,3435.279539,3,0,0,nan,78,6,0.029568
982451653,16,B_region_dopt,16,16,16,4447.97,135,16,1,3566.96991,22,0,0,nan,78,0,0.295394
982451653,17,A_current_ls_dopt,15,15,15,4615.371,128,20,1,3759.37149,4,0,0,nan,91,5,0.022638
982451653,17,B_region_dopt,15,15,15,4656.197,136,15,1,3767.196711,10,0,0,nan,91,0,0.09755
982451653,18,A_current_ls_dopt,11,11,11,3620.36,134,11,1,2762.359973,2,0,0,nan,108,0,0.013821
982451653,18,B_region_dopt,11,11,11,3854.383,141,11,1,2954.382691,8,0,0,nan,108,0,0.096173
982451653,19,A_current_ls_dopt,10,10,10,4024.951,135,10,1,3165.950727,3,0,0,nan,111,0,0.011759
982451653,19,B_region_dopt,10,10,10,4065.646,139,10,1,3182.646287,7,0,0,nan,111,0,0.053166
982451653,20,A_current_ls_dopt,14,14,14,4460.858,139,16,1,3553.857929,7,0,0,nan,106,2,0.024637
982451653,20,B_region_dopt,14,14,14,5005.693,151,14,1,4034.692528,17,0,0,nan,106,0,0.193786
982451653,21,A_current_ls_dopt,15,15,15,3728.451,124,16,1,2908.451371,2,0,0,nan,89,1,0.029049
982451653,21,B_region_dopt,15,15,15,4309.33,140,15,1,3398.329518,16,0,0,nan,89,0,0.179708
982451653,22,A_current_ls_dopt,10,10,10,4244.145,141,13,1,3340.144635,2,0,0,nan,120,3,0.007975
