seed,case,model,source_count,all_cleared,total_time_per_source_s,movement_time_per_source_s,detection_switch_time_per_source_s,clear_action_time_per_source_s,measure_actions_per_source,channel_switches_per_source,last_discovery_time_per_source_s,search_end_time_per_source_s,unfinished_after_search_rate,not_clear_ready_after_search_rate,active_measurements_per_source,co_measurements_per_source,coverage_insertions_per_source,decomposition_error_s
112358,1,C+,16,1,295.430125,240.61764089791492,49.8125,5.0,8.375,7.9375,118.9375,118.9375,1.0,0.8125,1.5625,0.625,0.0,0.0002543666391829902
112358,1,F_fixed_no_insert,16,1,293.6395625,249.01455602383828,39.625,5.0,6.6875,6.1875,106.1875,106.5625,1.0,0.9375,2.4375,1.4375,0.0,0.00010361858767282683
112358,1,F_dynamic_no_insert,16,1,293.6395625,249.01455602383828,39.625,5.0,6.6875,6.1875,106.1875,106.5625,1.0,0.9375,2.4375,1.4375,0.0,0.00010361858767282683
112358,1,F_fixed_insert,16,1,257.9643125,212.90178469480773,40.0625,5.0,6.75,6.3125,120.597572,120.97257200128416,0.875,0.6875,2.5,1.3125,0.5,0.000444883076397673
112358,1,F,16,1,278.8760625,232.9385934221221,40.9375,5.0,6.875,6.5625,135.5173280625,138.51732806183733,0.8125,0.5,2.625,1.5625,0.5,0.0004947539537170087
112358,2,C+,16,1,256.458,205.45801428173618,46.0,5.0,7.6875,7.5625,96.5625,98.4375,1.0,1.0,1.6875,1.0,0.0,0.00022850777850180748
112358,2,F_fixed_no_insert,16,1,247.4849375,206.73496573123734,35.75,5.0,6.0,5.75,88.3125,89.0625,1.0,1.0,2.0625,1.3125,0.0,0.000451699797395122
112358,2,F_dynamic_no_insert,16,1,283.6153125,236.61530640112147,42.0,5.0,7.0625,6.6875,108.4375,109.18750000000001,1.0,1.0,2.375,1.5625,0.0,9.758205669641029e-05
112358,2,F_fixed_insert,16,1,257.182,214.55699844082355,37.625,5.0,6.3125,6.0625,94.6416345625,95.39163457952569,0.875,0.625,2.375,1.4375,0.375,2.494682348697097e-05
112358,2,F,16,1,257.182,214.55699844082355,37.625,5.0,6.3125,6.0625,94.6416345625,95.39163457952569,0.875,0.625,2.375,1.4375,0.375,2.494682348697097e-05
