seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
24119,1,C_region_q2,10,10,10,3719.325,133,10,1,2872.324523,7,0,0,nan,102,0,0.568136
24119,1,Cplus_completion_coobserve,10,10,10,3583.966,137,10,1,2714.965546,11,4,0,nan,102,0,0.605402
24119,1,F_coverage_integrated,10,10,10,3659.105,128,10,1,2845.105079,27,15,8,2355.666924360169,91,0,1.188767
24119,2,C_region_q2,11,11,11,4616.432,144,11,1,3698.432425,9,0,0,nan,112,0,0.681854
24119,2,Cplus_completion_coobserve,11,11,11,4236.189,146,11,1,3307.189361,11,3,0,nan,112,0,0.589337
24119,2,F_coverage_integrated,11,11,11,4365.842,117,11,1,3613.842433,23,9,8,2352.2809342320115,83,0,1.070926
24119,3,C_region_q2,13,13,13,4315.514,134,13,1,3448.514023,14,0,0,nan,91,0,1.127054
24119,3,Cplus_completion_coobserve,13,13,13,4003.841,135,13,1,3131.840726,15,8,0,nan,91,0,0.694082
24119,3,F_coverage_integrated,13,13,13,3922.437,118,13,1,3154.437033,33,16,8,2211.1535583159525,72,0,3.443501
24119,4,C_region_q2,16,16,16,5167.531,141,16,1,4244.530658,15,0,0,nan,88,0,1.255928
24119,4,Cplus_completion_coobserve,16,16,16,4802.267,143,16,1,3867.266756,17,8,0,nan,88,0,0.628471
24119,4,F_coverage_integrated,16,16,16,3772.306,98,16,1,3111.306112,38,22,8,1834.4905530185006,44,0,6.60685
24119,5,C_region_q2,11,11,11,4227.903,144,11,1,3310.903396,11,0,0,nan,108,0,1.145979
24119,5,Cplus_completion_coobserve,11,11,11,4109.515,149,11,1,3163.514889,16,6,0,nan,108,0,0.977672
24119,5,F_coverage_integrated,11,11,11,4201.81,111,11,1,3486.810136,25,10,7,2204.0137828661645,76,0,2.383206
24119,6,C_region_q2,14,14,14,4850.09,137,14,1,3961.089561,14,0,0,nan,89,0,1.179238
24119,6,Cplus_completion_coobserve,14,14,14,4430.313,139,14,1,3530.313041,16,5,0,nan,89,0,1.06056
24119,6,F_coverage_integrated,14,14,14,4422.564,106,14,1,3722.564079,40,24,8,2200.787813631323,52,0,3.483277
24119,7,C_region_q2,16,16,16,5264.286,147,16,1,4305.286052,18,0,0,nan,95,0,1.706591
24119,7,Cplus_completion_coobserve,16,16,16,4870.663,150,16,1,3893.662757,21,11,0,nan,95,0,0.835471
24119,7,F_coverage_integrated,16,16,16,4466.517,107,16,1,3752.516879,38,16,8,1878.9514119099983,53,0,1.957395
24119,8,C_region_q2,14,14,14,4725.412,140,14,1,3816.412418,11,0,0,nan,95,0,1.01717
24119,8,Cplus_completion_coobserve,14,14,14,4552.76,149,14,1,3592.759504,20,10,0,nan,95,0,0.821917
24119,8,F_coverage_integrated,14,14,14,4707.925,116,14,1,3948.924524,39,22,8,2183.021119314934,63,0,2.339329
24119,9,C_region_q2,14,14,14,4941.287,144,14,1,4011.287497,14,0,0,nan,99,0,0.922017
24119,9,Cplus_completion_coobserve,14,14,14,4776.012,148,14,1,3822.01197,18,7,0,nan,99,0,0.927482
24119,9,F_coverage_integrated,14,14,14,4708.73,111,14,1,3979.729571,34,14,8,2199.564828642568,63,0,1.126821
24119,10,C_region_q2,11,11,11,4392.803,137,11,1,3517.802812,8,0,0,nan,104,0,0.624728
