seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
81407,1,F_coverage_integrated,12,12,12,3421.692,103,12,1,2748.69166,29,19,8,2247.7673567761435,62,0,2.886595
81407,2,F_coverage_integrated,16,16,16,4642.922,111,16,1,3904.922426,34,16,5,1874.5830082385226,62,0,1.608599
81407,3,F_coverage_integrated,13,13,13,3818.612,104,13,1,3134.612306,31,17,8,2225.5371693419793,60,0,1.609569
81407,4,F_coverage_integrated,10,10,10,4100.18,128,10,1,3285.179631,25,12,8,2347.5789790020995,93,0,1.848966
81407,5,F_coverage_integrated,11,11,11,4205.569,111,11,1,3491.569062,25,8,7,2182.0233477260535,75,0,2.805606
81407,6,F_coverage_integrated,13,13,13,3771.245,105,13,1,3080.245463,28,14,8,2157.835093233894,64,0,1.173357
81407,7,F_coverage_integrated,13,13,13,3955.805,107,13,1,3253.805458,30,16,8,2231.816599934501,64,0,2.692472
81407,8,F_coverage_integrated,12,12,12,3783.475,112,12,1,3057.474545,24,11,7,2228.5812559050873,76,0,2.130795
81407,9,F_coverage_integrated,12,12,12,4438.842,119,12,1,3672.84219,28,13,6,2172.0440214592104,79,0,2.35806
81407,10,F_coverage_integrated,12,12,12,4565.294,116,12,1,3814.293603,26,12,8,2240.720234365391,78,0,1.405513
81407,11,F_coverage_integrated,16,16,16,4768.248,108,16,1,4046.24847,38,20,8,2032.6188723290775,54,0,2.367967
81407,12,F_coverage_integrated,12,12,12,3460.32,107,12,1,2762.320472,28,17,8,2379.076202606918,67,0,1.032931
81407,13,F_coverage_integrated,16,16,16,4269.38,100,16,1,3595.379695,53,28,8,1560.2888874474797,31,0,2.380236
81407,14,F_coverage_integrated,11,11,11,3694.752,112,11,1,2971.751723,25,13,6,2243.3097531580565,76,0,1.250071
81407,15,F_coverage_integrated,15,15,15,4264.653,104,15,1,3570.652808,32,15,8,2126.321553707138,57,0,2.815831
81407,16,F_coverage_integrated,15,15,15,4338.924,105,15,1,3636.924065,33,18,7,2168.4419304763105,57,0,2.263374
