seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,C_region_q2,16,16,16,5824.915,124,16,1,5006.914654,19,0,0,nan,72,0,0.570293
55021,1,Cplus_completion_coobserve,16,16,16,4170.268,128,16,1,3327.26845,23,9,0,nan,73,0,0.306076
55021,1,F_coverage_integrated,16,16,16,4221.917,106,16,1,3509.917402,37,20,8,2162.0327218016423,53,0,0.685006
55021,1,G_rolling_coverage,16,16,16,4211.118,108,16,1,3491.118317,39,25,8,2162.0327218016423,53,0,0.655492
55021,1,I_ring_optimized,16,16,16,4003.761,105,16,1,3298.760894,36,21,8,2054.6182368011123,53,0,0.651291
55021,2,C_region_q2,14,14,14,4624.474,137,14,1,3733.474282,11,0,0,nan,92,0,0.3579
55021,2,Cplus_completion_coobserve,14,14,14,4280.774,138,14,1,3384.773879,12,4,0,nan,92,0,0.211643
55021,2,F_coverage_integrated,14,14,14,4114.275,107,14,1,3406.275415,33,20,7,2209.4254583733787,61,0,1.352167
55021,2,G_rolling_coverage,14,14,14,4114.426,107,14,1,3406.426445,33,21,7,2209.4254583733787,61,0,1.290733
55021,2,I_ring_optimized,14,14,14,3988.018,111,14,1,3259.018343,37,25,8,2131.5167872021484,61,0,0.885859
55021,3,C_region_q2,10,10,10,5055.483,146,10,1,4130.483252,9,0,0,nan,120,0,0.209844
55021,3,Cplus_completion_coobserve,10,10,10,4468.503,147,10,1,3538.502709,10,3,0,nan,120,0,0.164458
55021,3,F_coverage_integrated,10,10,10,4257.674,134,10,1,3406.673614,25,11,8,2401.255704731089,100,0,0.621632
55021,3,G_rolling_coverage,10,10,10,4258.001,134,10,1,3407.000963,25,12,8,2401.255704731089,100,0,0.605929
55021,3,I_ring_optimized,10,10,10,4023.303,128,10,1,3211.302806,19,7,4,2154.2492796028996,100,0,0.891047
55021,4,C_region_q2,11,11,11,4519.75,140,11,1,3625.750467,8,0,0,nan,108,0,0.188054
55021,4,Cplus_completion_coobserve,11,11,11,4016.031,140,11,1,3122.031446,8,2,0,nan,108,0,0.125489
55021,4,F_coverage_integrated,11,11,11,4411.352,118,11,1,3654.352224,23,11,5,2209.5897562265986,84,0,0.840872
55021,4,G_rolling_coverage,11,11,11,4192.484,119,11,1,3430.483732,24,14,5,2209.5897562265986,84,0,0.853718
