seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,A_current_ls_dopt,16,16,16,5314.736,114,29,1,4518.736107,12,0,0,nan,72,13,0.055646
55021,1,B_region_dopt,16,16,16,5409.412,131,16,1,4556.412223,26,0,0,nan,73,0,0.289011
55021,1,D_hybrid_belief_rolling,16,16,16,4184.094,134,16,1,3307.093661,29,18,0,nan,72,0,0.409923
55021,2,A_current_ls_dopt,14,14,14,4142.635,125,20,1,3305.635422,2,0,0,nan,92,6,0.022514
55021,2,B_region_dopt,14,14,14,4356.145,139,14,1,3455.145096,13,0,0,nan,92,0,0.219858
55021,2,D_hybrid_belief_rolling,14,14,14,4321.2,149,14,1,3361.199929,23,17,0,nan,93,0,0.243554
55021,3,A_current_ls_dopt,10,10,10,4636.072,140,10,1,3747.07197,4,0,0,nan,120,0,0.012459
55021,3,B_region_dopt,10,10,10,4827.487,146,10,1,3902.486597,9,0,0,nan,120,0,0.099109
55021,3,D_hybrid_belief_rolling,10,10,10,4477.203,149,10,1,3536.202558,12,6,0,nan,123,0,0.172387
55021,4,A_current_ls_dopt,11,11,11,3995.948,135,11,1,3132.947709,3,0,0,nan,108,0,0.026732
55021,4,B_region_dopt,11,11,11,4051.157,141,11,1,3152.157477,9,0,0,nan,108,0,0.127472
55021,4,D_hybrid_belief_rolling,11,11,11,4037.82,145,11,1,3118.819926,13,7,0,nan,108,0,0.190625
55021,5,A_current_ls_dopt,14,14,14,4626.338,132,19,1,3751.3383,5,0,0,nan,96,5,0.032992
55021,5,B_region_dopt,14,14,14,4790.022,142,14,1,3871.022333,14,0,0,nan,96,0,0.198918
55021,5,D_hybrid_belief_rolling,14,14,14,4622.057,145,14,1,3685.057209,17,12,0,nan,97,0,0.167459
55021,6,A_current_ls_dopt,11,11,11,3698.623,120,14,1,2915.623008,1,0,0,nan,91,3,0.015757
55021,6,B_region_dopt,11,11,11,3987.557,132,11,1,3144.556511,11,0,0,nan,91,0,0.18739
55021,6,D_hybrid_belief_rolling,11,11,11,3887.315,131,11,1,3048.314925,10,9,0,nan,91,0,0.055909
55021,7,A_current_ls_dopt,12,12,12,3735.904,130,12,1,2896.903581,1,0,0,nan,99,0,0.011576
55021,7,B_region_dopt,12,12,12,4107.102,140,12,1,3208.101688,8,0,0,nan,99,0,0.168827
55021,7,D_hybrid_belief_rolling,12,12,12,4085.588,148,12,1,3142.587772,16,12,0,nan,99,0,0.205086
55021,8,A_current_ls_dopt,15,15,15,4926.982,143,20,1,3981.982324,8,0,0,nan,107,5,0.065276
55021,8,B_region_dopt,15,15,15,4827.027,151,15,1,3851.026865,16,0,0,nan,107,0,0.20297
55021,8,D_hybrid_belief_rolling,15,15,15,4757.861,152,15,1,3774.860966,17,9,0,nan,107,0,0.195881
55021,9,A_current_ls_dopt,16,16,16,4487.157,129,17,1,3632.156816,4,0,0,nan,92,1,0.047448
55021,9,B_region_dopt,16,16,16,4727.342,144,16,1,3787.341919,17,0,0,nan,92,0,0.294089
55021,9,D_hybrid_belief_rolling,16,16,16,4675.843,148,16,1,3712.843101,21,17,0,nan,93,0,0.229975
55021,10,A_current_ls_dopt,11,11,11,4134.931,130,11,1,3300.931246,1,0,0,nan,106,0,0.006072
55021,10,B_region_dopt,11,11,11,4210.816,139,11,1,3322.816311,8,0,0,nan,106,0,0.129617
55021,10,D_hybrid_belief_rolling,11,11,11,4061.935,148,11,1,3125.934665,17,14,0,nan,106,0,0.174546
55021,11,A_current_ls_dopt,10,10,10,3898.729,136,12,1,3027.729069,2,0,0,nan,113,2,0.013118
55021,11,B_region_dopt,10,10,10,4095.949,146,10,1,3172.948736,10,0,0,nan,113,0,0.175731
55021,11,D_hybrid_belief_rolling,10,10,10,4071.226,150,10,1,3126.226402,14,10,0,nan,114,0,0.185269
55021,12,A_current_ls_dopt,15,15,15,4497.182,130,15,1,3643.181721,4,0,0,nan,95,0,0.033817
55021,12,B_region_dopt,15,15,15,4667.696,142,15,1,3744.696424,14,0,0,nan,95,0,0.216181
55021,12,D_hybrid_belief_rolling,15,15,15,4606.307,144,15,1,3669.306734,16,14,0,nan,97,0,0.128941
55021,13,A_current_ls_dopt,14,14,14,4642.0,124,14,1,3829.000183,4,0,0,nan,91,0,0.039651
55021,13,B_region_dopt,14,14,14,4801.499,136,14,1,3919.498822,15,0,0,nan,91,0,0.231774
55021,13,D_hybrid_belief_rolling,14,14,14,4727.421,137,14,1,3839.421167,16,9,0,nan,91,0,0.242535
55021,14,A_current_ls_dopt,11,11,11,4041.21,129,11,1,3213.209551,2,0,0,nan,104,0,0.012929
55021,14,B_region_dopt,11,11,11,4405.427,142,11,1,3501.427013,12,0,0,nan,104,0,0.173591
55021,14,D_hybrid_belief_rolling,11,11,11,4182.928,151,11,1,3228.928004,21,13,0,nan,105,0,0.266557
55021,15,A_current_ls_dopt,13,13,13,4348.281,136,13,1,3468.28065,3,0,0,nan,107,0,0.030302
55021,15,B_region_dopt,13,13,13,4519.764,146,13,1,3579.764081,12,0,0,nan,107,0,0.198526
55021,15,D_hybrid_belief_rolling,13,13,13,4442.772,157,13,1,3442.772345,23,16,0,nan,108,0,0.27274
55021,16,A_current_ls_dopt,16,16,16,4687.805,117,23,1,3887.805091,6,0,0,nan,80,7,0.030263
55021,16,B_region_dopt,16,16,16,4767.076,135,16,1,3884.075743,20,0,0,nan,80,0,0.326205
55021,16,D_hybrid_belief_rolling,16,16,16,4554.856,149,16,1,3594.856386,34,23,0,nan,80,0,0.471761
55021,17,A_current_ls_dopt,14,14,14,4095.971,130,19,1,3233.971099,6,0,0,nan,99,5,0.029804
55021,17,B_region_dopt,14,14,14,4327.944,144,14,1,3397.944269,15,0,0,nan,99,0,0.203049
55021,17,D_hybrid_belief_rolling,14,14,14,4524.907,157,14,1,3519.907165,28,19,0,nan,100,0,0.236528
55021,18,A_current_ls_dopt,13,13,13,4621.396,129,18,1,3771.395764,8,0,0,nan,97,5,0.019786
55021,18,B_region_dopt,13,13,13,5033.625,140,13,1,4134.624773,15,0,0,nan,97,0,0.138411
55021,18,D_hybrid_belief_rolling,13,13,13,4334.472,143,13,1,3417.472112,18,11,0,nan,98,0,0.218702
55021,19,A_current_ls_dopt,16,16,16,4231.222,88,26,1,3600.222452,11,0,0,nan,47,10,0.052697
55021,19,B_region_dopt,16,16,16,3826.505,102,16,1,3144.504803,24,0,0,nan,46,0,0.358303
55021,19,D_hybrid_belief_rolling,16,16,16,3354.635,122,16,1,2549.635234,44,35,0,nan,47,0,0.403587
55021,20,A_current_ls_dopt,14,14,14,3895.147,127,14,1,3064.14711,4,0,0,nan,96,0,0.024577
55021,20,B_region_dopt,14,14,14,4428.488,142,14,1,3509.488287,15,0,0,nan,96,0,0.229724
