seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
43817,1,F_coverage_integrated,13,13,13,4986.614,112,13,1,4257.614107,36,15,8,2143.0150514035668,63,0,0.324133
43817,1,G1_marginal_insertion,13,13,13,4108.115,110,13,1,3391.115183,34,18,10,2224.1373193286504,63,0,1.087163
43817,1,G2_rolling_clear,13,13,13,4530.784,111,13,1,3804.783991,35,18,8,2143.0150514035668,63,0,0.257538
43817,1,G3_marginal_rolling,13,13,13,4108.115,110,13,1,3391.115183,34,18,10,2224.1373193286504,63,0,1.129184
43817,2,F_coverage_integrated,15,15,15,4313.436,116,15,1,3545.436415,39,22,8,2235.7639119680834,63,0,0.916554
43817,2,G1_marginal_insertion,15,15,15,4137.699,115,15,1,3373.699348,38,24,11,2395.0329711622717,62,0,3.837165
43817,2,G2_rolling_clear,15,15,15,4301.292,115,15,1,3540.291614,38,24,8,2235.7639119680834,63,0,0.619501
43817,2,G3_marginal_rolling,15,15,15,4137.699,115,15,1,3373.699348,38,24,11,2395.0329711622717,62,0,3.585101
43817,3,F_coverage_integrated,11,11,11,4134.223,116,11,1,3387.223437,26,12,5,2236.7206700885126,79,0,2.282715
43817,3,G1_marginal_insertion,11,11,11,4440.951,118,11,1,3682.951082,28,12,8,2364.7284423514243,80,0,1.637617
43817,3,G2_rolling_clear,11,11,11,4024.672,120,11,1,3257.672442,30,15,5,2236.7206700885126,79,0,2.072112
43817,3,G3_marginal_rolling,11,11,11,4440.951,118,11,1,3682.951082,28,12,8,2364.7284423514243,80,0,2.263282
43817,4,F_coverage_integrated,13,13,13,4598.29,123,13,1,3799.289893,33,17,8,2236.714204812618,77,0,0.66925
43817,4,G1_marginal_insertion,13,13,13,4853.119,120,13,1,4072.11948,30,13,8,2281.2462330783505,77,0,0.872804
43817,4,G2_rolling_clear,13,13,13,4315.809,123,13,1,3514.808553,33,21,8,2236.714204812618,77,0,0.527352
43817,4,G3_marginal_rolling,13,13,13,4327.867,118,13,1,3558.867315,28,16,8,2281.2462330783505,77,0,0.773429
43817,5,F_coverage_integrated,14,14,14,4812.619,120,14,1,4029.61922,36,17,8,2208.757868224007,70,0,2.482591
43817,5,G1_marginal_insertion,14,14,14,5019.725,125,14,1,4205.725293,41,21,9,2337.1881713143657,70,0,3.54762
43817,5,G2_rolling_clear,14,14,14,4455.804,118,14,1,3683.803679,34,20,8,2208.757868224007,70,0,2.405676
43817,5,G3_marginal_rolling,14,14,14,4695.664,123,14,1,3893.664088,39,24,9,2337.1881713143657,70,0,3.468709
43817,6,F_coverage_integrated,11,11,11,4186.381,107,11,1,3495.381076,28,15,6,2155.7734884650245,68,0,1.785576
43817,6,G1_marginal_insertion,11,11,11,4413.762,116,11,1,3666.761626,29,12,9,2311.0608672227,76,0,1.807178
43817,6,G2_rolling_clear,11,11,11,3897.179,107,11,1,3207.17934,28,18,6,2155.7734884650245,68,0,1.828774
43817,6,G3_marginal_rolling,11,11,11,4318.032,117,11,1,3566.031615,30,14,9,2311.0608672227,76,0,1.701968
43817,7,F_coverage_integrated,15,15,15,4357.707,116,15,1,3592.707031,43,24,8,2185.4453449795747,58,0,3.241899
43817,7,G1_marginal_insertion,15,15,15,4302.326,118,15,1,3523.325569,45,26,14,2449.33642759465,58,0,6.420027
43817,7,G2_rolling_clear,15,15,15,4359.182,116,15,1,3595.181563,43,26,8,2185.4453449795747,58,0,3.166513
43817,7,G3_marginal_rolling,15,15,15,4302.19,118,15,1,3523.189661,45,29,14,2449.33642759465,58,0,6.346451
43817,8,F_coverage_integrated,14,14,14,4553.17,108,14,1,3839.170341,31,14,8,2178.650778198943,63,0,1.217459
43817,8,G1_marginal_insertion,14,14,14,4704.236,113,14,1,3960.236043,36,17,12,2371.0106791276203,63,0,1.765793
43817,8,G2_rolling_clear,14,14,14,4540.527,108,14,1,3826.52689,31,15,8,2178.650778198943,63,0,1.112953
43817,8,G3_marginal_rolling,14,14,14,4691.593,113,14,1,3947.592592,36,18,12,2371.0106791276203,63,0,1.957517
43817,9,F_coverage_integrated,13,13,13,4129.747,121,13,1,3343.74744,30,14,8,2259.730872146289,78,0,2.046355
43817,9,G1_marginal_insertion,13,13,13,4178.74,123,13,1,3380.739706,33,14,6,2239.844259212992,77,0,1.588001
43817,9,G2_rolling_clear,13,13,13,4116.494,121,13,1,3330.49365,30,17,8,2259.730872146289,78,0,2.189148
43817,9,G3_marginal_rolling,13,13,13,4157.39,122,13,1,3367.390015,32,17,6,2239.844259212992,77,0,1.299929
43817,10,F_coverage_integrated,10,10,10,3770.961,113,10,1,3044.961132,26,16,8,2378.1653131892663,77,0,2.004223
43817,10,G1_marginal_insertion,10,10,10,3990.347,112,10,1,3269.347479,25,17,8,2411.393789207071,77,0,2.157195
43817,10,G2_rolling_clear,10,10,10,3770.961,113,10,1,3044.961132,26,16,8,2378.1653131892663,77,0,2.136573
43817,10,G3_marginal_rolling,10,10,10,3990.347,112,10,1,3269.347479,25,17,8,2411.393789207071,77,0,2.219785
43817,11,F_coverage_integrated,15,15,15,4648.051,106,15,1,3942.050756,34,17,8,2161.3586884520637,57,0,1.233212
43817,11,G1_marginal_insertion,15,15,15,4689.015,108,15,1,3970.014922,36,16,11,2394.4671242204095,59,0,2.791188
43817,11,G2_rolling_clear,15,15,15,4591.254,106,15,1,3885.253997,34,21,8,2161.3586884520637,57,0,0.939578
43817,11,G3_marginal_rolling,15,15,15,4527.832,112,15,1,3783.832046,40,23,11,2394.4671242204095,59,0,2.258138
43817,12,F_coverage_integrated,15,15,15,3648.686,97,15,1,2998.686497,28,15,8,2298.1627999350894,54,0,1.333203
43817,12,G1_marginal_insertion,15,15,15,4160.542,104,15,1,3466.542337,35,16,11,2388.566420484409,54,0,3.116644
43817,12,G2_rolling_clear,15,15,15,3651.004,98,15,1,2996.004031,29,17,8,2298.1627999350894,54,0,1.087946
43817,12,G3_marginal_rolling,15,15,15,3595.577,102,15,1,2911.577211,33,18,11,2388.566420484409,54,0,3.061217
43817,13,F_coverage_integrated,13,13,13,3900.826,122,13,1,3107.825689,31,17,8,2256.1487630418624,78,0,1.951142
43817,13,G1_marginal_insertion,13,13,13,3974.561,120,13,1,3191.561005,29,16,12,2400.9880965645575,78,0,2.442161
43817,13,G2_rolling_clear,13,13,13,3892.917,122,13,1,3099.917,31,19,8,2256.1487630418624,78,0,2.061395
43817,13,G3_marginal_rolling,13,13,13,3973.813,120,13,1,3190.81259,29,17,12,2400.9880965645575,78,0,2.548084
43817,14,F_coverage_integrated,15,15,15,3726.694,98,15,1,3066.693934,29,17,7,2200.1431457596846,54,0,1.811371
43817,14,G1_marginal_insertion,15,15,15,3738.658,100,15,1,3065.658243,31,18,9,2277.549191537221,54,0,1.589299
43817,14,G2_rolling_clear,15,15,15,3726.744,98,15,1,3066.744404,29,18,7,2200.1431457596846,54,0,1.645481
43817,14,G3_marginal_rolling,15,15,15,3738.658,100,15,1,3065.658243,31,18,9,2277.549191537221,54,0,1.772045
43817,15,F_coverage_integrated,11,11,11,4591.866,126,11,1,3784.865654,26,11,3,2150.553349881322,89,0,0.91965
43817,15,G1_marginal_insertion,11,11,11,4663.573,125,11,1,3862.572653,25,10,6,2300.800104377956,89,0,0.806013
43817,15,G2_rolling_clear,11,11,11,4583.369,125,11,1,3783.369156,25,12,3,2150.553349881322,89,0,1.276616
43817,15,G3_marginal_rolling,11,11,11,4661.311,125,11,1,3860.310669,25,11,6,2300.800104377956,89,0,0.970365
43817,16,F_coverage_integrated,12,12,12,4326.794,134,12,1,3465.793534,36,21,8,2324.426243682573,86,0,1.053597
43817,16,G1_marginal_insertion,12,12,12,4744.998,124,12,1,3944.997783,27,10,6,2310.0916151617685,85,0,1.411078
43817,16,G2_rolling_clear,12,12,12,4319.86,134,12,1,3458.85987,36,22,8,2324.426243682573,86,0,1.074607
43817,16,G3_marginal_rolling,12,12,12,4544.877,125,12,1,3739.876609,28,12,6,2310.0916151617685,85,0,1.981441
43817,17,F_coverage_integrated,10,10,10,5085.869,128,10,1,4274.86852,24,7,6,2321.5007060128414,94,0,1.098621
43817,17,G1_marginal_insertion,10,10,10,4575.981,126,10,1,3774.980545,25,9,8,2315.321214280741,91,0,1.088178
43817,17,G2_rolling_clear,10,10,10,4893.745,127,10,1,4087.744663,23,7,6,2321.5007060128414,94,0,0.868181
43817,17,G3_marginal_rolling,10,10,10,4575.981,126,10,1,3774.980545,25,9,8,2315.321214280741,91,0,1.279641
43817,18,F_coverage_integrated,15,15,15,4696.598,114,15,1,3942.598032,41,23,8,2228.1736360757877,58,0,1.126907
43817,18,G1_marginal_insertion,15,15,15,5088.972,116,15,1,4324.972429,43,23,9,2306.2355719618895,58,0,1.642332
43817,18,G2_rolling_clear,15,15,15,4202.311,112,15,1,3460.310742,39,26,8,2228.1736360757877,58,0,1.13683
43817,18,G3_marginal_rolling,15,15,15,4532.501,115,15,1,3773.501295,42,28,9,2306.2355719618895,58,0,1.283851
43817,19,F_coverage_integrated,14,14,14,4288.184,114,14,1,3544.183621,31,12,8,2160.179406360407,69,0,0.91189
43817,19,G1_marginal_insertion,14,14,14,4277.211,115,14,1,3520.210587,34,19,7,2310.0227184172904,67,0,2.479965
43817,19,G2_rolling_clear,14,14,14,4260.63,116,14,1,3506.629936,33,16,8,2160.179406360407,70,0,1.162684
43817,19,G3_marginal_rolling,14,14,14,4276.869,115,14,1,3519.868998,34,20,7,2310.0227184172904,67,0,2.829609
43817,20,F_coverage_integrated,16,16,16,4353.803,111,16,1,3611.803092,40,23,8,2240.937026582773,55,0,1.573338
43817,20,G1_marginal_insertion,16,16,16,4785.703,120,16,1,3989.702896,49,28,14,2410.075098743062,57,0,2.859398
43817,20,G2_rolling_clear,16,16,16,4361.77,115,16,1,3597.770302,44,29,8,2240.937026582773,55,0,1.203664
43817,20,G3_marginal_rolling,16,16,16,4780.717,121,16,1,3977.717241,50,30,14,2410.075098743062,57,0,3.020628
