seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
43817,1,G_rolling_coverage,13,13,13,4530.784,111,13,1,3804.783991,35,18,8,2143.0150514035668,63,0,0.267297
43817,1,I_ring_optimized,13,13,13,4085.523,110,13,1,3367.523109,36,21,8,2037.8858334261968,61,0,0.490558
43817,1,Ablation_ring_radius_only,13,13,13,4367.237,114,13,1,3623.236958,38,20,8,2070.3272310315824,63,0,0.30767
43817,1,Ablation_ring_rotate_only,13,13,13,4910.444,119,13,1,4139.443917,43,23,8,2135.571454074491,63,0,0.320743
43817,2,G_rolling_coverage,15,15,15,4301.292,115,15,1,3540.291614,38,24,8,2235.7639119680834,63,0,0.29906
43817,2,I_ring_optimized,15,15,15,4328.28,115,15,1,3566.280257,38,24,8,2118.7061192760525,62,0,0.649265
43817,2,Ablation_ring_radius_only,15,15,15,4164.25,116,15,1,3398.249945,39,27,8,2170.959487563224,62,0,0.467455
43817,2,Ablation_ring_rotate_only,15,15,15,4298.187,115,15,1,3538.187392,38,25,8,2242.297067295187,62,0,1.174602
43817,3,G_rolling_coverage,11,11,11,4024.672,120,11,1,3257.672442,30,15,5,2236.7206700885126,79,0,2.290792
43817,3,I_ring_optimized,11,11,11,4188.502,115,11,1,3448.501945,26,11,8,2101.9996092281335,78,0,2.033282
43817,3,Ablation_ring_radius_only,11,11,11,3752.659,121,11,1,2978.658507,31,19,8,2178.9099005035164,80,0,3.831844
43817,3,Ablation_ring_rotate_only,11,11,11,4381.856,121,11,1,3606.855727,32,16,8,2246.5663538387303,78,0,2.329921
43817,4,G_rolling_coverage,13,13,13,4315.809,123,13,1,3514.808553,33,21,8,2236.714204812618,77,0,0.786365
43817,4,I_ring_optimized,13,13,13,4467.544,125,13,1,3661.544162,36,18,8,2141.0668650705634,76,0,0.846332
43817,4,Ablation_ring_radius_only,13,13,13,4467.544,125,13,1,3661.544162,36,18,8,2141.0668650705634,76,0,0.859417
43817,4,Ablation_ring_rotate_only,13,13,13,4315.809,123,13,1,3514.808553,33,21,8,2236.714204812618,77,0,0.454311
43817,5,G_rolling_coverage,14,14,14,4455.804,118,14,1,3683.803679,34,20,8,2208.757868224007,70,0,2.911575
43817,5,I_ring_optimized,14,14,14,4198.328,109,14,1,3479.328176,29,16,7,2083.0505874137925,66,0,2.266118
43817,5,Ablation_ring_radius_only,14,14,14,4412.895,120,14,1,3628.895498,36,23,8,2138.0444625783757,70,0,3.106024
43817,5,Ablation_ring_rotate_only,14,14,14,4878.41,110,14,1,4154.409916,30,15,3,2082.2690089123425,66,0,2.867792
43817,6,G_rolling_coverage,11,11,11,3897.179,107,11,1,3207.17934,28,18,6,2155.7734884650245,68,0,1.810987
43817,6,I_ring_optimized,11,11,11,3637.393,118,11,1,2877.392767,31,19,8,2165.363267727844,77,0,1.35591
43817,6,Ablation_ring_radius_only,11,11,11,4128.768,110,11,1,3417.76791,28,15,8,2133.204096024918,71,0,2.375509
43817,6,Ablation_ring_rotate_only,11,11,11,3790.699,122,11,1,3008.699411,35,22,8,2285.4313941813916,77,0,1.777154
43817,7,G_rolling_coverage,15,15,15,4359.182,116,15,1,3595.181563,43,26,8,2185.4453449795747,58,0,3.05006
43817,7,I_ring_optimized,15,15,15,4100.453,111,15,1,3367.453095,39,24,8,2017.6191609812824,57,0,2.241244
