seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,F_coverage_integrated,16,16,16,4820.446,109,16,1,4092.446136,40,21,8,2241.1710424190333,54,0,0.814072
55021,1,G_rolling_coverage,16,16,16,4613.971,110,16,1,3879.970731,41,23,8,2241.1710424190333,54,0,0.842934
55021,1,I_ring_optimized,16,16,16,4414.215,113,16,1,3665.214749,44,27,8,2147.801484593452,53,0,0.911533
55021,2,F_coverage_integrated,14,14,14,4424.048,108,14,1,3707.047608,33,18,8,2143.552401808093,61,0,0.886185
55021,2,G_rolling_coverage,14,14,14,4172.216,109,14,1,3452.215529,34,19,8,2143.552401808093,61,0,0.951934
55021,2,I_ring_optimized,14,14,14,3936.098,111,14,1,3205.098079,36,22,7,2054.0580667608074,61,0,2.170752
55021,3,F_coverage_integrated,10,10,10,4157.208,129,10,1,3337.208499,20,7,8,2346.630040975028,100,0,0.717639
55021,3,G_rolling_coverage,10,10,10,4153.822,129,10,1,3333.822455,20,8,8,2346.630040975028,100,0,0.701002
55021,3,I_ring_optimized,10,10,10,4005.211,129,10,1,3187.211098,20,10,4,2158.6868305400158,99,0,0.606743
55021,4,F_coverage_integrated,11,11,11,4481.67,118,11,1,3722.669702,23,10,8,2275.097545144573,84,0,0.577792
55021,4,G_rolling_coverage,11,11,11,4255.021,119,11,1,3492.020627,24,12,8,2275.097545144573,84,0,0.648407
55021,4,I_ring_optimized,11,11,11,4174.142,118,11,1,3416.142013,23,9,7,2172.75689638036,84,0,0.829142
55021,5,F_coverage_integrated,14,14,14,4271.053,119,14,1,3493.05344,40,22,8,2184.2100684927336,65,0,1.112481
55021,5,G_rolling_coverage,14,14,14,4269.793,121,14,1,3481.793044,42,28,8,2184.2100684927336,65,0,1.005933
55021,5,I_ring_optimized,14,14,14,4129.699,118,14,1,3355.699051,40,27,8,2087.691668017211,64,0,0.886077
55021,6,F_coverage_integrated,11,11,11,3590.729,101,11,1,2932.728524,22,13,8,2233.710616366495,68,0,0.881972
55021,6,G_rolling_coverage,11,11,11,3590.729,101,11,1,2932.728524,22,13,8,2233.710616366495,68,0,0.937316
55021,6,I_ring_optimized,11,11,11,3780.008,104,11,1,3107.008196,23,12,6,2091.035906408296,70,0,0.476227
55021,7,F_coverage_integrated,12,12,12,4174.718,108,12,1,3469.718338,34,18,8,2106.335125182277,62,0,0.499577
55021,7,G_rolling_coverage,12,12,12,4049.657,114,12,1,3309.656622,40,23,8,2106.335125182277,62,0,0.535843
55021,7,I_ring_optimized,12,12,12,3664.51,108,12,1,2961.510059,34,19,8,2015.8803385631197,62,0,0.499395
55021,8,F_coverage_integrated,15,15,15,4742.734,122,15,1,3938.734185,31,14,7,2302.421774442897,76,0,1.743914
55021,8,G_rolling_coverage,15,15,15,4564.374,122,15,1,3760.374295,31,16,7,2302.421774442897,76,0,1.752658
55021,8,I_ring_optimized,15,15,15,4497.822,129,15,1,3654.821901,38,21,8,2153.316869603614,76,0,2.104255
55021,9,F_coverage_integrated,16,16,16,4737.18,112,16,1,3987.179937,36,20,8,2260.203973807912,60,0,0.788255
55021,9,G_rolling_coverage,16,16,16,4755.314,115,16,1,3990.314332,39,24,8,2260.203973807912,60,0,0.872184
55021,9,I_ring_optimized,16,16,16,4477.217,107,16,1,3759.217391,31,18,8,2089.2553705872765,60,0,0.553603
55021,10,F_coverage_integrated,11,11,11,4387.012,116,11,1,3644.012499,27,8,8,2249.4582183151633,78,0,0.708077
55021,10,G_rolling_coverage,11,11,11,4138.233,117,11,1,3390.232615,28,11,8,2249.4582183151633,78,0,0.703097
55021,10,I_ring_optimized,11,11,11,3682.759,117,11,1,2930.758506,28,16,6,2101.05315622292,78,0,0.752967
55021,11,F_coverage_integrated,10,10,10,4229.757,127,10,1,3421.757464,27,13,8,2290.2287909084616,90,0,0.749622
55021,11,G_rolling_coverage,10,10,10,3923.151,128,10,1,3110.150509,28,17,8,2290.2287909084616,90,0,0.741055
55021,11,I_ring_optimized,10,10,10,3818.044,129,10,1,3001.044424,29,16,8,2179.06518547084,90,0,0.727425
55021,12,F_coverage_integrated,15,15,15,4371.38,106,15,1,3666.379966,35,23,7,2183.172112335464,56,0,1.099194
