seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
90317,1,C_region_q2,11,11,11,4573.685,138,11,1,3691.684589,10,0,0,nan,102,0,0.244243
90317,1,Cplus_completion_coobserve,11,11,11,4166.436,139,11,1,3279.43608,11,6,0,nan,102,0,0.096122
90317,1,F_coverage_integrated,11,11,11,3929.131,119,11,1,3163.130996,29,15,8,2314.6860913207674,80,0,0.974445
90317,1,G_rolling_coverage,11,11,11,3926.434,119,11,1,3160.434364,29,18,8,2314.6860913207674,80,0,0.896306
90317,1,I_ring_optimized,11,11,11,3743.771,113,11,1,3012.771496,23,12,6,2161.693342656651,79,0,1.563483
90317,2,C_region_q2,16,16,16,4882.028,125,16,1,4053.028438,11,0,0,nan,73,0,0.350748
90317,2,Cplus_completion_coobserve,16,16,16,4619.297,131,16,1,3755.297111,17,7,0,nan,73,0,0.39206
90317,2,F_coverage_integrated,16,16,16,4357.137,95,16,1,3711.137411,38,20,8,1941.4624577052602,41,0,1.142857
90317,2,G_rolling_coverage,16,16,16,4342.541,96,16,1,3691.540559,39,21,8,1941.4624577052602,41,0,1.175578
90317,2,I_ring_optimized,16,16,16,4015.074,95,16,1,3372.074015,38,23,8,1796.041589758079,41,0,1.091911
90317,3,C_region_q2,15,15,15,4702.687,133,15,1,3831.687084,11,0,0,nan,84,0,0.365191
90317,3,Cplus_completion_coobserve,15,15,15,4219.18,137,15,1,3326.17995,15,8,0,nan,84,0,0.32431
90317,3,F_coverage_integrated,15,15,15,3807.265,95,15,1,3166.265052,34,20,8,2207.065455588605,46,0,1.471183
90317,3,G_rolling_coverage,15,15,15,3752.566,96,15,1,3106.565527,35,24,8,2207.065455588605,46,0,1.376102
90317,3,I_ring_optimized,15,15,15,4073.022,105,15,1,3371.0219,43,30,8,2093.495042197895,48,0,1.453212
90317,4,C_region_q2,14,14,14,4886.492,144,14,1,3953.491724,13,0,0,nan,100,0,0.378936
90317,4,Cplus_completion_coobserve,14,14,14,4141.293,147,14,1,3191.293143,16,9,0,nan,100,0,0.28767
90317,4,F_coverage_integrated,14,14,14,3849.134,116,14,1,3087.13391,27,14,8,2334.508416899401,75,0,0.785066
90317,4,G_rolling_coverage,14,14,14,3988.311,119,14,1,3212.310538,30,15,8,2334.508416899401,75,0,0.797935
90317,4,I_ring_optimized,14,14,14,3660.162,103,14,1,2974.162253,34,23,8,2116.341879536599,56,0,1.401725
