seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
55021,1,I_ring_optimized,16,16,16,4414.215,113,16,1,3665.214749,44,27,8,2147.801484593452,53,0,0.894852
55021,1,J_q2_fidelity,16,16,16,4189.209,109,16,1,3461.208802,40,22,8,2054.6182368011123,53,0,0.708497
55021,1,Exp_q2_candidate_r90,16,16,16,4210.439,110,16,1,3476.439463,41,23,8,2085.25533275573,53,0,0.879767
55021,1,Exp_online_candidate_mean,16,16,16,4414.215,113,16,1,3665.214749,44,27,8,2147.801484593452,53,0,0.847749
55021,2,I_ring_optimized,14,14,14,3936.098,111,14,1,3205.098079,36,22,7,2054.0580667608074,61,0,2.208222
55021,2,J_q2_fidelity,14,14,14,3988.018,111,14,1,3259.018343,37,25,8,2131.5167872021484,61,0,0.843757
55021,2,Exp_q2_candidate_r90,14,14,14,4118.368,117,14,1,3356.368116,43,25,8,2091.5302378913125,62,0,0.989727
55021,2,Exp_online_candidate_mean,14,14,14,4335.9,110,14,1,3611.899658,36,19,8,1981.2741742837172,60,0,0.493036
55021,3,I_ring_optimized,10,10,10,4005.211,129,10,1,3187.211098,20,10,4,2158.6868305400158,99,0,0.644987
55021,3,J_q2_fidelity,10,10,10,4023.303,128,10,1,3211.302806,19,7,4,2154.2492796028996,100,0,0.861579
55021,3,Exp_q2_candidate_r90,10,10,10,4035.478,128,10,1,3223.478379,19,7,4,2154.2492796028996,100,0,0.847603
55021,3,Exp_online_candidate_mean,10,10,10,4005.211,129,10,1,3187.211098,20,10,4,2158.6868305400158,99,0,0.655173
55021,4,I_ring_optimized,11,11,11,4174.142,118,11,1,3416.142013,23,9,7,2172.75689638036,84,0,0.749933
55021,4,J_q2_fidelity,11,11,11,4150.276,118,11,1,3391.275768,23,11,6,2129.4218547273294,84,0,1.006091
55021,4,Exp_q2_candidate_r90,11,11,11,4150.276,118,11,1,3391.275768,23,11,6,2129.4218547273294,84,0,1.034255
55021,4,Exp_online_candidate_mean,11,11,11,4174.142,118,11,1,3416.142013,23,9,7,2172.75689638036,84,0,0.781328
55021,5,I_ring_optimized,14,14,14,4129.699,118,14,1,3355.699051,40,27,8,2087.691668017211,64,0,0.894124
55021,5,J_q2_fidelity,14,14,14,3857.201,105,14,1,3161.200975,33,24,7,2103.2662639680516,58,0,1.85137
55021,5,Exp_q2_candidate_r90,14,14,14,3924.802,103,14,1,3238.801533,31,20,6,2037.6073331755053,58,0,1.637556
55021,5,Exp_online_candidate_mean,14,14,14,4129.699,118,14,1,3355.699051,40,27,8,2087.691668017211,64,0,0.945414
55021,6,I_ring_optimized,11,11,11,3780.008,104,11,1,3107.008196,23,12,6,2091.035906408296,70,0,0.458182
55021,6,J_q2_fidelity,11,11,11,3707.379,109,11,1,3003.378586,30,17,7,2013.1408095762536,68,0,0.932394
55021,6,Exp_q2_candidate_r90,11,11,11,3707.379,109,11,1,3003.378586,30,17,7,2013.1408095762536,68,0,0.911406
55021,6,Exp_online_candidate_mean,11,11,11,3608.819,104,11,1,2930.818712,25,14,8,2046.3709893410723,68,0,0.386855
55021,7,I_ring_optimized,12,12,12,3664.51,108,12,1,2961.510059,34,19,8,2015.8803385631197,62,0,0.54056
55021,7,J_q2_fidelity,12,12,12,3418.442,105,12,1,2734.442253,31,17,8,2016.6206841979958,62,0,1.054331
55021,7,Exp_q2_candidate_r90,12,12,12,3581.102,106,12,1,2891.102428,32,18,8,2007.5832390331618,62,0,0.667677
55021,7,Exp_online_candidate_mean,12,12,12,3652.726,108,12,1,2948.72644,34,19,8,2008.1541887944377,62,0,0.485378
55021,8,I_ring_optimized,15,15,15,4497.822,129,15,1,3654.821901,38,21,8,2153.316869603614,76,0,2.136058
55021,8,J_q2_fidelity,15,15,15,4461.22,122,15,1,3657.220492,31,16,7,2139.6711641221177,76,0,1.546048
55021,8,Exp_q2_candidate_r90,15,15,15,4446.313,122,15,1,3642.312967,31,16,7,2139.6711641221177,76,0,1.529808
55021,8,Exp_online_candidate_mean,15,15,15,4497.822,129,15,1,3654.821901,38,21,8,2153.316869603614,76,0,2.222003
55021,9,I_ring_optimized,16,16,16,4477.217,107,16,1,3759.217391,31,18,8,2089.2553705872765,60,0,0.5657
55021,9,J_q2_fidelity,16,16,16,4277.466,112,16,1,3530.466377,38,24,8,2054.4988660337767,58,0,1.191099
55021,9,Exp_q2_candidate_r90,16,16,16,4378.493,114,16,1,3617.493145,40,25,8,2117.2898183692905,59,0,1.191704
55021,9,Exp_online_candidate_mean,16,16,16,4460.112,108,16,1,3736.112196,32,19,8,2065.0376559496653,60,0,0.548919
55021,10,I_ring_optimized,11,11,11,3682.759,117,11,1,2930.758506,28,16,6,2101.05315622292,78,0,0.733522
55021,10,J_q2_fidelity,11,11,11,3752.453,116,11,1,3004.452669,27,18,7,2126.004840497978,79,0,0.597748
55021,10,Exp_q2_candidate_r90,11,11,11,3737.865,116,11,1,2989.864626,27,18,7,2114.4908267993687,79,0,0.571055
55021,10,Exp_online_candidate_mean,11,11,11,3689.67,118,11,1,2932.670432,29,16,6,2101.05315622292,78,0,0.736752
55021,11,I_ring_optimized,10,10,10,3818.044,129,10,1,3001.044424,29,16,8,2179.06518547084,90,0,0.707667
55021,11,J_q2_fidelity,10,10,10,3593.32,130,10,1,2768.320293,30,19,8,2234.9531490469203,92,0,0.941757
55021,11,Exp_q2_candidate_r90,10,10,10,3593.32,130,10,1,2768.320293,30,19,8,2234.9531490469203,92,0,0.898543
55021,11,Exp_online_candidate_mean,10,10,10,3979.254,127,10,1,3171.253813,27,15,8,2149.626535344824,90,0,0.289308
55021,12,I_ring_optimized,15,15,15,4028.714,104,15,1,3332.71417,33,25,4,2027.4640419493417,56,0,1.406018
55021,12,J_q2_fidelity,15,15,15,4576.516,109,15,1,3854.515611,38,22,8,2090.5522243049454,58,0,1.287216
55021,12,Exp_q2_candidate_r90,15,15,15,4378.951,109,15,1,3656.951031,38,24,8,2092.809510451111,58,0,1.420512
55021,12,Exp_online_candidate_mean,15,15,15,4143.585,104,15,1,3448.584837,33,24,5,2023.0131201207473,56,0,1.440691
55021,13,I_ring_optimized,14,14,14,4391.792,114,14,1,3648.792138,37,20,7,2094.889927505652,63,0,1.205231
55021,13,J_q2_fidelity,14,14,14,4489.967,119,14,1,3710.967425,35,23,6,2097.738681376506,71,0,1.640034
55021,13,Exp_q2_candidate_r90,14,14,14,4488.933,120,14,1,3703.933299,36,24,6,2096.5994800239177,71,0,1.478787
55021,13,Exp_online_candidate_mean,14,14,14,4391.792,114,14,1,3648.792138,37,20,7,2094.889927505652,63,0,1.190812
55021,14,I_ring_optimized,11,11,11,3884.685,114,11,1,3149.685038,27,14,8,2098.320557783018,76,0,0.54743
55021,14,J_q2_fidelity,11,11,11,3828.449,114,11,1,3093.448932,26,14,8,2132.537011607685,79,0,0.530283
55021,14,Exp_q2_candidate_r90,11,11,11,3815.989,114,11,1,3080.989002,26,14,8,2130.237518704611,79,0,0.485012
55021,14,Exp_online_candidate_mean,11,11,11,3884.685,114,11,1,3149.685038,27,14,8,2098.320557783018,76,0,0.530761
55021,15,I_ring_optimized,13,13,13,4133.612,134,13,1,3272.611515,37,20,8,2155.6340391593235,84,0,0.808437
55021,15,J_q2_fidelity,13,13,13,4181.246,134,13,1,3321.245679,38,21,8,2174.795558897413,84,0,1.145584
55021,15,Exp_q2_candidate_r90,13,13,13,4181.246,134,13,1,3321.245679,38,21,8,2174.795558897413,84,0,1.169353
55021,15,Exp_online_candidate_mean,13,13,13,4133.612,134,13,1,3272.611515,37,20,8,2155.6340391593235,84,0,0.798995
55021,16,I_ring_optimized,16,16,16,3925.664,97,16,1,3271.664027,47,29,8,1420.0532718708255,34,0,0.989376
55021,16,J_q2_fidelity,16,16,16,3750.363,91,16,1,3132.362837,41,26,8,1662.4765482775988,35,0,0.809304
55021,16,Exp_q2_candidate_r90,16,16,16,3936.457,91,16,1,3315.45668,41,24,8,1609.6015018131852,34,0,0.854688
55021,16,Exp_online_candidate_mean,16,16,16,3916.132,97,16,1,3262.132494,47,29,8,1420.0532718708255,34,0,0.928694
