seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,no_signal_actions,failed_clear_actions,decision_wall_time_s
73191,1,A_current_ls_dopt,13,13,13,4264.427,128,15,1,3426.42717,2,95,2,0.008017
73191,1,B_region_dopt,13,13,13,4524.734,141,13,1,3616.73398,13,95,0,0.238134
73191,1,C_region_q2,13,13,13,4589.374,140,13,1,3686.373929,12,95,0,1.028279
73191,2,A_current_ls_dopt,10,10,10,4436.781,146,19,1,3485.781469,6,123,9,0.009955
73191,2,B_region_dopt,10,10,10,4395.187,151,10,1,3441.187239,11,123,0,0.129102
73191,2,C_region_q2,10,10,10,4579.828,151,10,1,3625.827629,11,123,0,0.613741
73191,3,A_current_ls_dopt,12,12,12,3599.885,127,12,1,2778.885422,1,98,0,0.004071
73191,3,B_region_dopt,12,12,12,4131.067,142,12,1,3221.067359,12,98,0,0.236749
73191,3,C_region_q2,12,12,12,4216.807,141,12,1,3311.807461,11,98,0,1.52085
73191,4,A_current_ls_dopt,15,15,15,4368.167,134,22,1,3471.166577,6,97,7,0.029107
73191,4,B_region_dopt,15,15,15,4561.45,144,15,1,3626.450489,14,97,0,0.405684
73191,4,C_region_q2,15,15,15,4792.522,143,15,1,3862.521613,13,97,0,1.85218
73191,5,A_current_ls_dopt,10,10,10,3982.28,135,11,1,3120.280255,2,115,1,0.006339
73191,5,B_region_dopt,10,10,10,4156.038,145,10,1,3237.037659,9,115,0,0.292878
73191,5,C_region_q2,10,10,10,4484.613,145,10,1,3565.612605,9,115,0,1.576012
73191,6,A_current_ls_dopt,16,16,16,4615.569,134,19,1,3723.569153,2,95,3,0.024737
73191,6,B_region_dopt,16,16,16,4944.626,149,16,1,3974.625727,16,95,0,0.548496
73191,6,C_region_q2,16,16,16,5082.664,147,16,1,4122.664203,14,95,0,2.389966
73191,7,A_current_ls_dopt,11,11,11,4014.737,123,11,1,3223.736513,1,95,0,0.005737
73191,7,B_region_dopt,11,11,11,4182.852,134,11,1,3325.852261,11,95,0,0.230698
73191,7,C_region_q2,11,11,11,4333.954,133,11,1,3481.954254,10,95,0,1.071191
73191,8,A_current_ls_dopt,13,13,13,4212.833,139,18,1,3301.832521,6,107,5,0.012447
73191,8,B_region_dopt,13,13,13,4536.592,151,13,1,3569.592165,15,107,0,0.249196
73191,8,C_region_q2,13,13,13,4622.548,148,13,1,3670.54764,12,107,0,1.153434
73191,9,A_current_ls_dopt,16,16,16,4994.617,121,30,1,4151.616613,11,82,14,0.022685
73191,9,B_region_dopt,16,16,16,4896.448,134,16,1,4019.448438,21,82,0,0.269563
73191,9,C_region_q2,16,16,16,4948.97,132,16,1,4081.969915,19,82,0,1.339026
73191,10,A_current_ls_dopt,12,12,12,3449.372,110,18,1,2712.372291,1,79,6,0.004826
73191,10,B_region_dopt,12,12,12,3967.832,119,12,1,3194.832133,7,79,0,0.154491
73191,10,C_region_q2,12,12,12,4105.255,119,12,1,3332.254838,7,79,0,0.692467
73191,11,A_current_ls_dopt,16,16,16,5828.294,124,35,1,4955.293756,12,81,19,0.029863
73191,11,B_region_dopt,16,16,16,5395.545,138,16,1,4499.544922,26,81,0,0.337637
73191,11,C_region_q2,16,16,16,4914.783,131,16,1,4053.782945,19,81,0,1.565784
73191,12,A_current_ls_dopt,12,12,12,4053.742,123,12,1,3256.742488,1,93,0,0.005115
73191,12,B_region_dopt,12,12,12,4274.302,134,12,1,3412.301604,10,93,0,0.245856
73191,12,C_region_q2,12,12,12,4372.671,134,12,1,3510.67107,10,93,0,1.819504
73191,13,A_current_ls_dopt,13,13,13,4866.071,144,16,1,3932.070675,11,111,3,0.044921
73191,13,B_region_dopt,13,13,13,5308.941,152,13,1,4338.940737,18,111,0,0.400519
73191,13,C_region_q2,13,13,13,5296.236,149,13,1,4341.235673,15,111,0,1.799532
73191,14,A_current_ls_dopt,16,16,16,4193.949,125,18,1,3359.948564,5,86,2,0.076867
73191,14,B_region_dopt,16,16,16,4718.864,140,16,1,3804.863568,19,86,0,0.667131
73191,14,C_region_q2,16,16,16,4902.328,138,16,1,3998.327777,17,86,0,1.602479
73191,15,A_current_ls_dopt,13,13,13,3987.035,124,14,1,3176.035189,1,93,1,0.005575
73191,15,B_region_dopt,13,13,13,4202.093,136,13,1,3324.092722,10,93,0,0.216769
73191,15,C_region_q2,13,13,13,4329.748,135,13,1,3456.748157,9,93,0,0.869116
73191,16,A_current_ls_dopt,13,13,13,4388.029,128,19,1,3541.029399,4,97,6,0.006103
73191,16,B_region_dopt,13,13,13,4419.363,140,13,1,3519.363301,13,97,0,0.233812
73191,16,C_region_q2,13,13,13,4624.87,138,13,1,3734.869965,11,97,0,0.967195
73191,17,A_current_ls_dopt,11,11,11,4182.405,125,21,1,3350.405246,5,94,10,0.006622
73191,17,B_region_dopt,11,11,11,3995.315,131,11,1,3157.315037,10,94,0,0.14215
73191,17,C_region_q2,11,11,11,4077.222,130,11,1,3244.221507,9,94,0,0.532124
73191,18,A_current_ls_dopt,11,11,11,3854.581,125,12,1,3047.580633,1,101,1,0.00331
73191,18,B_region_dopt,11,11,11,4083.572,137,11,1,3208.571511,10,101,0,0.179228
73191,18,C_region_q2,11,11,11,4241.738,138,11,1,3361.737952,11,101,0,0.982407
73191,19,A_current_ls_dopt,16,16,16,5808.008,116,48,1,4948.008123,20,70,32,0.030326
73191,19,B_region_dopt,16,16,16,5845.723,128,16,1,5014.722954,31,70,0,0.276847
73191,19,C_region_q2,16,16,16,4888.759,118,16,1,4107.759398,21,70,0,1.483613
73191,20,A_current_ls_dopt,12,12,12,4023.279,124,12,1,3220.279354,0,95,0,0.003812
73191,20,B_region_dopt,12,12,12,4234.16,137,12,1,3355.159804,11,95,0,0.22725
73191,20,C_region_q2,12,12,12,4390.785,135,12,1,3521.784715,9,95,0,0.951655
73191,21,A_current_ls_dopt,14,14,14,4319.9,123,22,1,3489.899714,3,89,8,0.007193
73191,21,B_region_dopt,14,14,14,4581.324,136,14,1,3697.324246,13,89,0,0.214658
73191,21,C_region_q2,14,14,14,4809.549,136,14,1,3925.549298,13,89,0,1.029519
73191,22,A_current_ls_dopt,12,12,12,3909.992,122,14,1,3113.991586,4,91,2,0.011246
73191,22,B_region_dopt,12,12,12,4249.683,136,12,1,3379.682833,16,91,0,0.267925
73191,22,C_region_q2,12,12,12,4372.46,133,12,1,3517.460103,13,91,0,1.03939
73191,23,A_current_ls_dopt,12,12,12,4152.898,125,13,1,3340.897588,2,96,1,0.004748
73191,23,B_region_dopt,12,12,12,4726.763,136,12,1,3853.763258,10,96,0,0.153497
73191,23,C_region_q2,12,12,12,4625.147,134,12,1,3762.147042,8,96,0,0.67925
73191,24,A_current_ls_dopt,13,13,13,4143.468,123,13,1,3342.468173,2,89,0,0.006786
73191,24,B_region_dopt,13,13,13,4267.892,131,13,1,3418.891955,9,89,0,0.181833
73191,24,C_region_q2,13,13,13,4424.359,131,13,1,3575.358575,9,89,0,0.926709
73191,25,A_current_ls_dopt,14,14,14,4135.963,136,15,1,3249.962506,8,101,1,0.016501
73191,25,B_region_dopt,14,14,14,4388.896,146,14,1,3449.896417,15,101,0,0.199664
73191,25,C_region_q2,14,14,14,4494.477,142,14,1,3575.476904,11,101,0,0.672854
73191,26,A_current_ls_dopt,15,15,15,3570.87,108,18,1,2839.87017,0,70,3,0.004377
73191,26,B_region_dopt,15,15,15,4109.238,123,15,1,3297.237712,10,70,0,0.239826
73191,26,C_region_q2,15,15,15,4214.999,123,15,1,3402.999262,10,70,0,1.056345
73191,27,A_current_ls_dopt,16,16,16,4058.208,119,16,1,3267.208336,8,82,0,0.027092
73191,27,B_region_dopt,16,16,16,4616.813,132,16,1,3750.813356,20,82,0,0.254791
73191,27,C_region_q2,16,16,16,4811.297,130,16,1,3955.297289,18,82,0,1.424978
73191,28,A_current_ls_dopt,15,15,15,4101.773,117,15,1,3325.773289,2,81,0,0.009418
73191,28,B_region_dopt,15,15,15,4377.355,131,15,1,3520.355096,13,81,0,0.266393
73191,28,C_region_q2,15,15,15,4654.652,129,15,1,3807.652386,11,81,0,1.022013
73191,29,A_current_ls_dopt,14,14,14,4523.074,142,20,1,3586.073968,6,106,6,0.016313
73191,29,B_region_dopt,14,14,14,4703.575,153,14,1,3722.575135,17,106,0,0.211792
73191,29,C_region_q2,14,14,14,4602.542,150,14,1,3636.54171,14,106,0,0.967107
73191,30,A_current_ls_dopt,16,16,16,5548.034,132,26,1,4650.034176,7,91,10,0.016411
73191,30,B_region_dopt,16,16,16,5313.646,148,16,1,4353.64618,21,91,0,0.302515
73191,30,C_region_q2,16,16,16,5477.001,144,16,1,4537.000868,17,91,0,1.168219
