case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,wall_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions
1,rand1800,12,12,12,7466.152,301,12,1,25,5499.036209146719,0.19019580000895076,5608.151909316239,3779.0362091467186,1829.1157001695212,1505.0,293.0,60.0,0
2,rand1800,12,12,12,7705.44,315,12,1,25,5558.644274496778,0.22190639999462292,5761.43992969052,3765.644274496778,1995.7956551937418,1575.0,309.0,60.0,0
3,rand1800,12,12,12,7786.624,319,12,1,25,5504.644274496778,0.3897471000091173,5830.624343067072,3765.644274496778,2064.980068570296,1595.0,301.0,60.0,0
4,rand1800,12,12,12,8400.893,305,12,1,25,5486.644274496778,0.32734369998797774,6518.893460219849,3765.644274496778,2753.249185723071,1525.0,297.0,60.0,0
5,rand1800,12,12,12,7393.983,340,12,1,25,5767.077855756025,0.26364369998918846,5300.982565759204,3796.077855756026,1504.9047100031771,1700.0,333.0,60.0,0
6,rand1800,12,12,12,7857.843,310,12,1,25,5528.377727084353,0.2637405999994371,5951.843469325462,3791.3777270843534,2160.4657422411083,1550.0,296.0,60.0,0
7,rand1800,12,12,12,8108.043,342,12,1,25,5660.644274496778,0.22114790001069196,6008.04292102097,3765.644274496778,2242.3986465241933,1710.0,330.0,60.0,0
8,rand1800,12,12,12,9282.504,353,12,1,25,5648.644274496778,0.4439171999983955,7132.504323005414,3765.644274496778,3366.8600485086376,1765.0,325.0,60.0,0
9,rand1800,12,12,12,8387.28,323,12,1,25,5474.644274496778,0.6243109999923036,6419.279609024071,3765.644274496778,2653.6353345272937,1615.0,293.0,60.0,0
10,rand1800,12,12,12,8568.057,366,12,1,25,5708.644274496778,0.47561220001080073,6342.056841176802,3765.644274496778,2576.412566680026,1830.0,336.0,60.0,0
11,rand1800,12,12,12,8575.472,375,12,1,25,5828.644274496777,0.598417100001825,6286.4717330129815,3765.644274496778,2520.8274585162058,1875.0,354.0,60.0,0
12,rand1800,12,12,12,7862.487,341,12,1,25,5702.644274496778,0.3368095000041649,5764.487290205008,3765.644274496778,1998.84301570823,1705.0,333.0,60.0,0
13,rand1800,12,12,12,7535.027,309,12,1,25,5498.317385748034,0.3993151999893598,5633.026776703311,3766.3173857480347,1866.7093909552786,1545.0,297.0,60.0,0
14,rand1800,12,12,12,9187.712,385,12,1,25,5720.644274496778,0.39874910001526587,6837.711925268304,3765.644274496778,3072.067650771529,1925.0,365.0,60.0,0
15,rand1800,12,12,12,8488.115,385,12,1,25,5762.995559102964,0.4858206000062637,6138.11537640325,3772.9955591029634,2365.119817300287,1925.0,365.0,60.0,0
16,rand1800,12,12,12,9213.875,359,12,1,25,5810.644274496777,0.2425947999872733,7003.8753877601885,3765.644274496778,3238.2311132634113,1795.0,355.0,60.0,0
17,rand1800,12,12,12,8460.176,397,12,1,25,5990.644274496777,0.37727940001059324,6034.176123489592,3765.644274496778,2268.5318489928145,1985.0,381.0,60.0,0
18,rand1800,12,12,12,8099.412,341,12,1,25,5648.644274496778,0.26254290001816116,6010.412158051936,3765.644274496778,2244.767883555159,1705.0,324.0,60.0,0
19,rand1800,12,12,12,7670.675,338,12,1,25,5714.644274496778,0.21041560001322068,5585.674687356078,3765.644274496778,1820.0304128592993,1690.0,335.0,60.0,0
20,rand1800,12,12,12,8042.457,348,12,1,25,5732.644274496777,0.24621209999895655,5904.4573799214195,3765.644274496778,2138.8131054246414,1740.0,338.0,60.0,0
21,rand1800,12,12,12,8593.794,371,12,1,25,5893.954185823267,0.41891489998670295,6325.793650775414,3832.9541858232683,2492.8394649521447,1855.0,353.0,60.0,0
22,rand1800,12,12,12,8203.813,349,12,1,25,5744.644274496777,0.24201700001140125,6058.813054695134,3765.644274496778,2293.168780198357,1745.0,340.0,60.0,0
23,rand1800,12,12,12,8145.909,330,12,1,25,5669.9131449785245,0.2210690999927465,6118.908879468841,3806.9131449785255,2311.995734490317,1650.0,317.0,60.0,0
24,rand1800,12,12,12,8354.845,342,12,1,25,5624.644274496778,0.40087990000029095,6265.844619179405,3765.644274496778,2500.2003446826307,1710.0,319.0,60.0,0
25,rand1800,12,12,12,8785.059,395,12,1,25,5752.582868600137,0.46526799999992363,6371.058836147083,3775.582868600137,2595.4759675469513,1975.0,379.0,60.0,0
26,rand1800,12,12,12,7097.738,302,12,1,25,5510.56402671724,0.19247780001023784,5229.738165436618,3766.5640267172403,1463.1741387193779,1510.0,298.0,60.0,0
27,rand1800,12,12,12,7779.459,298,12,1,25,5527.693437023918,0.22692800001823343,5936.4586290306115,3813.693437023918,2122.765192006694,1490.0,293.0,60.0,0
28,rand1800,12,12,12,7467.891,308,12,1,25,5564.644274496778,0.1938605000032112,5561.890792567057,3765.644274496778,1796.2465180702798,1540.0,306.0,60.0,0
29,rand1800,12,12,12,7513.199,346,12,1,25,5813.317606533568,0.19057450001128018,5386.199292822274,3812.317606533569,1573.8816862887047,1730.0,337.0,60.0,0
30,rand1800,12,12,12,7560.859,320,12,1,25,5646.388443246783,0.25239959999453276,5586.858662728946,3806.388443246784,1780.4702194821634,1600.0,314.0,60.0,0
31,rand1800,12,12,12,8418.884,359,12,1,25,5768.644274496777,0.42247479999787174,6220.8839476318935,3765.644274496778,2455.239673135119,1795.0,343.0,60.0,0
32,rand1800,12,12,12,7971.096,343,12,1,25,5729.05689515772,0.38843679998535663,5866.096156991384,3787.0568951577197,2079.0392618336623,1715.0,330.0,60.0,0
33,rand1800,12,12,12,8828.23,386,12,1,25,5912.644274496777,0.2530553999822587,6468.229517797246,3765.644274496778,2702.585243300467,1930.0,370.0,60.0,0
34,rand1800,12,12,12,8438.135,329,12,1,25,5600.644274496778,0.36936909999349155,6415.134840558479,3765.644274496778,2649.4905660616996,1645.0,318.0,60.0,0
