case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,10507.411,525,16,1,27,6493.420263644547,7299.4110729408985,3994.420263644549,3304.9908092963483,2625.0,503.0,80.0,0,0,B,0,0,,,,,0.4227948999905493
1,C3FDirect,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,,,,,0.6820191000006162
1,DG2_k1_t0_R,16,16,16,11222.848,556,16,1,27,6793.509529813596,7824.8480807207725,4385.509529813595,3439.3385509071813,2780.0,538.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,0.6093179999734275
1,DG2_k2_t0_R,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,1,,,0.6863633000175469
1,DG2_k2_t1_R,16,16,16,9797.58,502,16,1,27,7247.764877914211,6709.580325675967,4466.76487791421,2242.8154477617554,2510.0,498.0,80.0,0,0,B,0,0,B,1,288.47307916059424,20422.27694531244,0.3133407999994233
1,DG2_k3_t0_R,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,2,,,0.7216481000068597
1,DG2_k3_t1_R,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,2,,,0.677985099988291
1,DG2_k5_t0_R,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,3,,,0.6867157000233419
1,DG2_k2_t0_F,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,1,,,0.7240600000077393
1,DG2_k3_t0_F,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,2,,,0.7025601000059396
