case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,10007.772,527,16,1,27,6494.475712914696,6767.7718374911365,4141.4757129146965,2626.296124576439,2635.0,525.0,80.0,0,0,B,0,0,,,,,0.3210018999816384
1,C3FDirect,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,,,,,0.10934890000498854
1,DG2_k1_t0_R,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,1,,,0.10871170001337305
1,DG2_k2_t0_R,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,3,,,0.11642609999398701
1,DG2_k2_t1_R,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,3,,,0.1150158999953419
1,DG2_k3_t0_R,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,5,,,0.12695929998881184
1,DG2_k3_t1_R,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,5,,,0.09451819999958389
1,DG2_k5_t0_R,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,9,,,0.13137950000236742
1,DG2_k2_t0_F,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,3,,,0.1647880999953486
1,DG2_k3_t0_F,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,5,,,0.12138160000904463
2,Cplus3F,16,16,16,7910.066,332,16,1,27,5706.342060723042,5843.066388202204,3765.3420607230432,2077.7243274791576,1660.0,327.0,80.0,0,0,B,0,0,,,,,0.27511749998666346
2,C3FDirect,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,,,,,0.21147740000742488
2,DG2_k1_t0_R,16,16,16,9025.094,368,16,1,27,6147.409459817859,6746.094258183406,4115.409459817859,2630.6847983655443,1840.0,359.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,0.35394080000696704
2,DG2_k2_t0_R,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,2,,,0.19519209998543374
2,DG2_k2_t1_R,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,2,,,0.2327270999958273
2,DG2_k3_t0_R,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,5,,,0.2087941000063438
2,DG2_k3_t1_R,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,5,,,0.19087809999473393
2,DG2_k5_t0_R,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,6,,,0.14860899999621324
2,DG2_k2_t0_F,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,2,,,0.21592430002056062
2,DG2_k3_t0_F,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,5,,,0.23821340000722557
3,Cplus3F,16,16,16,8592.228,411,16,1,27,5637.88867521164,6058.227769673054,3559.888675211642,2498.3390944614107,2055.0,399.0,80.0,0,0,B,0,0,,,,,0.34390279999934137
3,C3FDirect,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,,,,,0.1380928999860771
3,DG2_k1_t0_R,16,16,16,8758.649,375,16,1,27,6219.303392643467,6450.6494958401345,4197.303392643469,2253.3461031966667,1875.0,353.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,0.3021757999958936
3,DG2_k2_t0_R,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,3,,,0.1577228000096511
3,DG2_k2_t1_R,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,3,,,0.1241163999948185
3,DG2_k3_t0_R,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,4,,,0.1528448000026401
3,DG2_k3_t1_R,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,4,,,0.14050020001013763
3,DG2_k5_t0_R,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,6,,,0.14357179999933578
3,DG2_k2_t0_F,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,3,,,0.17709740001009777
3,DG2_k3_t0_F,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,4,,,0.11615519999759272
4,Cplus3F,16,16,16,10238.405,534,16,1,27,6327.722974727982,6961.405200709613,3949.722974727984,3011.6822259816317,2670.0,527.0,80.0,0,0,B,0,0,,,,,0.5029578999965452
4,C3FDirect,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,,,,,0.4623575999867171
4,DG2_k1_t0_R,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,1,,,0.5014748999965377
4,DG2_k2_t0_R,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,1,,,0.3887319999921601
4,DG2_k2_t1_R,16,16,16,12217.387,662,16,1,27,6983.282504649134,8186.386922529738,4328.282504649133,3858.1044178806096,3310.0,641.0,80.0,0,0,B,0,1,B,1,288.47307916059424,20422.27694531244,1.2223604999890085
4,DG2_k3_t0_R,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,3,,,0.40076290001161397
4,DG2_k3_t1_R,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,3,,,0.6272820000012871
