case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,8786.862,400,16,1,27,5974.381734803768,6313.862269975353,3783.381734803771,2530.4805351715813,2000.0,393.0,80.0,0,0,B,0,0,,,,,0.11933940000017174
1,DG_k1_t0,16,16,16,9048.857,420,16,1,27,6236.376918784207,6455.85745395579,3925.376918784209,2530.4805351715813,2100.0,413.0,80.0,0,0,B,0,0,B,0,,,0.11735660000704229
1,DG2_k3_t1_R,16,16,16,8789.456,402,16,1,29,5869.9548971555105,6312.45570066733,3687.9548971555096,2624.500803511822,2010.0,387.0,80.0,0,0,C,150,66,C,3,,,0.25731980000273325
1,C3FDirect,16,16,16,8789.456,402,16,1,29,5869.9548971555105,6312.45570066733,3687.9548971555096,2624.500803511822,2010.0,387.0,80.0,0,0,C,150,66,,,,,0.232558700023219
2,Cplus3F,16,16,16,10194.96,509,16,1,27,5638.493994471026,7077.960440789229,3426.493994471028,3651.466446318203,2545.0,492.0,80.0,0,0,B,0,0,,,,,0.7539339000068139
2,DG_k1_t0,16,16,16,10456.956,529,16,1,27,5900.489178451465,7219.955624769667,3568.489178451466,3651.466446318203,2645.0,512.0,80.0,0,0,B,0,0,B,0,,,0.7876090000208933
2,DG2_k3_t1_R,16,16,16,7550.748,360,16,1,29,5543.698636517214,5316.747707771932,3486.6986365172147,1830.0490712547178,1800.0,354.0,80.0,0,0,C,178,77,C,4,,,0.15633499997784384
2,C3FDirect,16,16,16,7550.748,360,16,1,29,5543.698636517214,5316.747707771932,3486.6986365172147,1830.0490712547178,1800.0,354.0,80.0,0,0,C,178,77,,,,,0.19714959998964332
3,Cplus3F,16,16,16,9183.303,457,16,1,27,5709.268025652565,6376.302835742111,3763.268025652565,2613.034810089548,2285.0,442.0,80.0,0,0,B,0,0,,,,,0.4989419999765232
3,DG_k1_t0,16,16,16,8978.227,425,16,1,29,5923.403431834622,6369.226605276066,3656.4034318346203,2712.8231734414467,2125.0,404.0,80.0,0,0,C,175,93,C,2,,,0.20733689999906346
3,DG2_k3_t1_R,16,16,16,8978.227,425,16,1,29,5923.403431834622,6369.226605276066,3656.4034318346203,2712.8231734414467,2125.0,404.0,80.0,0,0,C,175,93,C,6,,,0.2810055000009015
3,C3FDirect,16,16,16,8978.227,425,16,1,29,5923.403431834622,6369.226605276066,3656.4034318346203,2712.8231734414467,2125.0,404.0,80.0,0,0,C,175,93,,,,,0.28285170000162907
4,Cplus3F,16,16,16,9020.674,425,16,1,27,5936.999968820576,6406.673570006813,3828.9999688205785,2577.6736011862367,2125.0,409.0,80.0,0,0,B,0,0,,,,,0.5291555000003427
4,DG_k1_t0,16,16,16,6779.58,338,16,1,29,4144.819595884235,4687.580230637637,2612.8195958842352,2074.760634753402,1690.0,322.0,80.0,0,0,C,213,95,C,1,,,0.6644257000007201
