case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,11030.215,535,16,1,27,5812.302144980251,7748.214738496124,3758.302144980252,3989.9125935158704,2675.0,527.0,80.0,0,0,B,0,0,,,,,,,0.5730917999753729
1,Cplus3FB,16,16,16,10383.215,430,16,1,27,5710.302144980251,7748.214738496124,3758.302144980252,3989.9125935158704,2150.0,405.0,80.0,0,0,B,105,83,0,"[{'channel': 2, 'point': [1133.4, 1589.7], 'min_dist_m': 1668.8, 'truth_success': False}, {'channel': 2, 'point': [1119.0, 427.0], 'min_dist_m': 1944.8, 'truth_success': False}, {'channel': 2, 'point': [1724.0, 938.8], 'min_dist_m': 2383.0, 'truth_success': False}]",,,,,0.5807810999976937
1,B,16,16,16,11030.215,535,16,1,27,5812.302144980251,7748.214738496124,3758.302144980252,3989.9125935158704,2675.0,527.0,80.0,0,,,,,,,,,,,0.7116259999747854
2,Cplus3F,16,16,16,8294.729,346,16,1,27,5699.896552914753,6155.728845682321,3758.8965529147536,2396.8322927675677,1730.0,329.0,80.0,0,0,B,0,0,,,,,,,0.4025901999848429
2,Cplus3FB,16,16,16,8294.729,346,16,1,27,5699.896552914753,6155.728845682321,3758.8965529147536,2396.8322927675677,1730.0,329.0,80.0,0,0,B,0,19,0,[],,,,,0.47178779999376275
2,B,16,16,16,8294.729,346,16,1,27,5699.896552914753,6155.728845682321,3758.8965529147536,2396.8322927675677,1730.0,329.0,80.0,0,,,,,,,,,,,0.45945610001217574
3,Cplus3F,16,16,16,11140.914,468,16,1,27,6142.025815390215,8282.91415829108,3967.0258153902164,4315.888342900865,2340.0,438.0,80.0,0,0,B,0,0,,,,,,,0.6581287000153679
3,Cplus3FB,16,16,16,10631.914,383,16,1,27,5836.025815390215,8282.91415829108,3967.0258153902164,4315.888342900865,1915.0,354.0,80.0,0,0,B,85,61,0,"[{'channel': 7, 'point': [1133.4, 1589.7], 'min_dist_m': 2015.9, 'truth_success': False}, {'channel': 15, 'point': [1133.4, 1589.7], 'min_dist_m': 1886.4, 'truth_success': False}, {'channel': 7, 'point': [582.8, 1046.4], 'min_dist_m': 1555.5, 'truth_success': False}]",,,,,0.6914682000060566
3,B,16,16,16,11140.914,468,16,1,27,6142.025815390215,8282.91415829108,3967.0258153902164,4315.888342900865,2340.0,438.0,80.0,0,,,,,,,,,,,0.7266777999757323
4,Cplus3F,16,16,16,8374.803,395,16,1,27,5911.551225525071,5933.80307056101,3694.5512255250733,2239.251845035938,1975.0,386.0,80.0,0,0,B,0,0,,,,,,,0.5006103000196163
4,Cplus3FB,16,16,16,8374.803,395,16,1,27,5911.551225525071,5933.80307056101,3694.5512255250733,2239.251845035938,1975.0,386.0,80.0,0,0,B,0,20,0,[],,,,,0.4672955000132788
4,B,16,16,16,8374.803,395,16,1,27,5911.551225525071,5933.80307056101,3694.5512255250733,2239.251845035938,1975.0,386.0,80.0,0,,,,,,,,,,,0.46519730001455173
5,Cplus3F,16,16,16,8887.449,468,16,1,27,6349.206676669376,6004.449421805756,3927.206676669377,2077.2427451363774,2340.0,463.0,80.0,0,0,B,0,0,,,,,,,0.3081952999928035
5,Cplus3FB,16,16,16,8682.449,435,16,1,27,6295.206676669376,6004.449421805756,3927.206676669377,2077.2427451363774,2175.0,423.0,80.0,0,0,B,33,50,0,"[{'channel': 1, 'point': [-1724.0, -938.8], 'min_dist_m': 1531.8, 'truth_success': False}, {'channel': 16, 'point': [-1724.0, -938.8], 'min_dist_m': 1736.6, 'truth_success': False}, {'channel': 16, 'point': [-1197.6, -18.5], 'min_dist_m': 1921.5, 'truth_success': False}]",,,,,0.3988000000244938
5,B,16,16,16,8887.449,468,16,1,27,6349.206676669376,6004.449421805756,3927.206676669377,2077.2427451363774,2340.0,463.0,80.0,0,,,,,,,,,,,0.3347993000061251
