case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,8574.531,453,16,1,27,6096.476608808829,5781.530994775957,3765.476608808831,2016.0543859671288,2265.0,448.0,80.0,0,0,B,0,0,,,,,,,0.333882300008554
1,Cplus3FB,16,16,16,8296.531,408,16,1,27,6054.476608808829,5781.530994775957,3765.476608808831,2016.0543859671288,2040.0,395.0,80.0,0,0,B,45,36,0,"[{'channel': 1, 'point': [-1145.9, -1593.9], 'min_dist_m': 1849.4, 'truth_success': False}, {'channel': 1, 'point': [-1724.0, -938.8], 'min_dist_m': 2340.5, 'truth_success': False}, {'channel': 1, 'point': [-905.5, -783.9], 'min_dist_m': 1539.8, 'truth_success': False}]",,,,,0.3594472999975551
1,B,16,16,16,8574.531,453,16,1,27,6096.476608808829,5781.530994775957,3765.476608808831,2016.0543859671288,2265.0,448.0,80.0,0,,,,,,,,,,,0.3591725000005681
2,Cplus3F,16,16,16,9026.24,434,16,1,27,6156.501655483135,6369.239943803626,3939.5016554831373,2429.7382883204928,2170.0,407.0,80.0,0,0,B,0,0,,,,,,,0.8132556000200566
2,Cplus3FB,16,16,16,8782.24,393,16,1,27,6072.501655483135,6369.239943803626,3939.5016554831373,2429.7382883204928,1965.0,368.0,80.0,0,0,B,41,27,0,"[{'channel': 13, 'point': [1808.9, -762.5], 'min_dist_m': 1749.5, 'truth_success': False}, {'channel': 13, 'point': [614.8, -1027.9], 'min_dist_m': 2086.2, 'truth_success': False}, {'channel': 13, 'point': [1298.9, -1471.9], 'min_dist_m': 2445.4, 'truth_success': False}]",,,,,0.789025899983244
2,B,16,16,16,9026.24,434,16,1,27,6156.501655483135,6369.239943803626,3939.5016554831373,2429.7382883204928,2170.0,407.0,80.0,0,,,,,,,,,,,0.7911861000175122
3,Cplus3F,16,16,16,7896.887,335,16,1,27,5505.196811289267,5820.886802613618,3615.1968112892687,2205.68999132435,1675.0,321.0,80.0,0,0,B,0,0,,,,,,,0.21016889999737032
3,Cplus3FB,16,16,16,7896.887,335,16,1,27,5505.196811289267,5820.886802613618,3615.1968112892687,2205.68999132435,1675.0,321.0,80.0,0,0,B,0,29,0,[],,,,,0.20979610001086257
3,B,16,16,16,7896.887,335,16,1,27,5505.196811289267,5820.886802613618,3615.1968112892687,2205.68999132435,1675.0,321.0,80.0,0,,,,,,,,,,,0.22944370002369396
4,Cplus3F,16,16,16,10484.183,524,16,1,27,6787.21017275099,7287.183131742571,4171.210172750991,3115.9729589915787,2620.0,497.0,80.0,0,0,B,0,0,,,,,,,0.4401466000126675
4,Cplus3FB,16,16,16,10198.183,477,16,1,27,6679.21017275099,7287.183131742571,4171.210172750991,3115.9729589915787,2385.0,446.0,80.0,0,0,B,47,41,0,"[{'channel': 2, 'point': [-189.7, -1182.6], 'min_dist_m': 1573.2, 'truth_success': False}, {'channel': 2, 'point': [-340.9, -1933.2], 'min_dist_m': 1892.8, 'truth_success': False}, {'channel': 2, 'point': [-1145.9, -1593.9], 'min_dist_m': 2567.4, 'truth_success': False}]",,,,,0.4664706000185106
4,B,16,16,16,10484.183,524,16,1,27,6787.21017275099,7287.183131742571,4171.210172750991,3115.9729589915787,2620.0,497.0,80.0,0,,,,,,,,,,,0.35669500002404675
