case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
1,Cplus3F,16,16,16,5967.659,253,16,1,29,3338.164655594702,4377.658967531994,2141.164655594702,2236.4943119372915,1265.0,245.0,80.0,0,8,C,76,94,,,,,,,0.4319645000214223
1,Cplus3FB,16,16,16,5967.659,253,16,1,29,3338.164655594702,4377.658967531994,2141.164655594702,2236.4943119372915,1265.0,245.0,80.0,0,8,C,76,94,0,[],,,,,0.4384190999844577
1,B,16,16,16,8718.955,331,16,1,27,5120.787012814365,6678.955441708103,3417.7870128143663,3261.1684288937386,1655.0,305.0,80.0,0,,,,,,,,,,,0.6266689999902155
2,Cplus3F,15,15,15,7943.418,313,15,1,29,5425.475210293098,5998.417890993944,3651.475210293097,2346.9426807008454,1565.0,305.0,75.0,0,5,C,123,78,,,,,,,0.1831454999919515
2,Cplus3FB,15,15,15,7943.418,313,15,1,29,5425.475210293098,5998.417890993944,3651.475210293097,2346.9426807008454,1565.0,305.0,75.0,0,5,C,123,78,0,[],,,,,0.21540260000620037
2,B,15,15,15,9412.614,324,15,1,27,5796.871979393181,7417.613528162847,4081.871979393182,3335.7415487696667,1620.0,300.0,75.0,0,,,,,,,,,,,0.9410432999720797
3,Cplus3F,13,13,13,7595.077,345,13,1,29,5847.3812042932595,5462.076657875391,3788.3812042932586,1673.695453582132,1725.0,343.0,65.0,0,2,C,69,42,,,,,,,0.12309110001660883
3,Cplus3FB,13,13,13,7595.077,345,13,1,29,5847.3812042932595,5462.076657875391,3788.3812042932586,1673.695453582132,1725.0,343.0,65.0,0,2,C,69,42,0,[],,,,,0.10187559999758378
3,B,13,13,13,8214.268,380,13,1,27,6325.402698725967,5872.267695817416,4119.402698725969,1752.864997091447,1900.0,377.0,65.0,0,,,,,,,,,,,0.26837539998814464
4,Cplus3F,11,11,11,7635.72,360,11,1,29,5720.582228753786,5432.720223355652,3664.582228753786,1768.1379946018678,1800.0,348.0,55.0,0,5,C,41,53,,,,,,,0.2898161000048276
4,Cplus3FB,11,11,11,7635.72,360,11,1,29,5720.582228753786,5432.720223355652,3664.582228753786,1768.1379946018678,1800.0,348.0,55.0,0,5,C,41,53,0,[],,,,,0.3409168999933172
4,B,11,11,11,7785.848,335,11,1,27,6022.543161274369,5729.847701464659,4116.54316127437,1613.304540190288,1675.0,326.0,55.0,0,,,,,,,,,,,0.2457433000090532
5,Cplus3F,12,12,12,7394.838,340,12,1,29,5688.0090363822055,5295.837957589684,3669.0090363822055,1626.8289212074799,1700.0,339.0,60.0,0,6,C,57,57,,,,,,,0.08471110000391491
5,Cplus3FB,12,12,12,7394.838,340,12,1,29,5688.0090363822055,5295.837957589684,3669.0090363822055,1626.8289212074799,1700.0,339.0,60.0,0,6,C,57,57,0,[],,,,,0.11004040000261739
5,B,12,12,12,8949.537,372,12,1,27,6126.8719793931805,6678.537211573136,4081.871979393182,2596.6652321799556,1860.0,351.0,60.0,0,,,,,,,,,,,0.5252284000162035
6,Cplus3F,14,14,14,7426.598,295,14,1,29,5363.503672021275,5589.597676001222,3631.5036720212747,1958.094003979948,1475.0,292.0,70.0,0,3,C,81,58,,,,,,,0.28614519999246113
6,Cplus3FB,14,14,14,7426.598,295,14,1,29,5363.503672021275,5589.597676001222,3631.5036720212747,1958.094003979948,1475.0,292.0,70.0,0,3,C,81,58,0,[],,,,,0.1789512000104878
6,B,14,14,14,8355.571,334,14,1,27,5922.871979393181,6298.570540065806,4081.871979393182,2216.6985606726275,1670.0,317.0,70.0,0,,,,,,,,,,,0.5285250000015367
7,Cplus3F,13,13,13,6999.301,299,13,1,29,5414.548582916864,5141.301024124345,3653.548582916863,1487.7524412074824,1495.0,298.0,65.0,0,9,C,42,66,,,,,,,0.12533179999445565
7,Cplus3FB,13,13,13,6999.301,299,13,1,29,5414.548582916864,5141.301024124345,3653.548582916863,1487.7524412074824,1495.0,298.0,65.0,0,9,C,42,66,0,[],,,,,0.10953869999502786
7,B,13,13,13,8154.111,351,13,1,27,6030.8719793931805,5997.110717046319,4081.871979393182,1915.238737653142,1755.0,337.0,65.0,0,,,,,,,,,,,0.32960719999391586
8,Cplus3F,16,16,16,6294.801,238,16,1,29,3699.140873057046,4794.800911744348,2440.140873057046,2354.6600386873015,1190.0,230.0,80.0,0,5,C,89,66,,,,,,,0.41240169998491183
8,Cplus3FB,16,16,16,6294.801,238,16,1,29,3699.140873057046,4794.800911744348,2440.140873057046,2354.6600386873015,1190.0,230.0,80.0,0,5,C,89,66,0,[],,,,,0.2853237999952398
8,B,16,16,16,8615.656,319,16,1,27,5553.3804905835495,6641.655578698176,3804.3804905835505,2837.27508811463,1595.0,299.0,80.0,0,,,,,,,,,,,0.37108989999978803
9,Cplus3F,15,15,15,7618.352,294,15,1,29,5346.521235587792,5787.352451746594,3669.521235587791,2117.8312161588037,1470.0,286.0,75.0,0,7,C,65,51,,,,,,,0.35555869998643175
9,Cplus3FB,15,15,15,7618.352,294,15,1,29,5346.521235587792,5787.352451746594,3669.521235587791,2117.8312161588037,1470.0,286.0,75.0,0,7,C,65,51,0,[],,,,,0.31782990001374856
9,B,15,15,15,8958.389,348,15,1,27,6056.368807790088,6812.388512628303,4126.368807790089,2686.0197048382142,1740.0,331.0,75.0,0,,,,,,,,,,,0.6006970000162255
10,Cplus3F,14,14,14,7406.18,323,14,1,29,5494.539666649916,5406.1802294868185,3667.539666649917,1738.6405628369027,1615.0,315.0,70.0,0,4,C,68,61,,,,,,,0.2822005999914836
10,Cplus3FB,14,14,14,7406.18,323,14,1,29,5494.539666649916,5406.1802294868185,3667.539666649917,1738.6405628369027,1615.0,315.0,70.0,0,4,C,68,61,0,[],,,,,0.20998949999921024
10,B,14,14,14,8078.225,356,14,1,27,6120.8719793931805,5877.225154209865,4081.871979393182,1795.3531748166847,1780.0,351.0,70.0,0,,,,,,,,,,,0.29614769999170676
11,Cplus3F,10,10,10,7477.934,377,10,1,29,5925.169143192251,5170.934230399604,3708.16914319225,1462.7650872073534,1885.0,372.0,50.0,0,3,C,26,37,,,,,,,0.1616500999953132
11,Cplus3FB,10,10,10,7477.934,377,10,1,29,5925.169143192251,5170.934230399604,3708.16914319225,1462.7650872073534,1885.0,372.0,50.0,0,3,C,26,37,0,[],,,,,0.1577283999940846
11,B,10,10,10,8699.033,404,10,1,27,6402.8719793931805,6234.033435884219,4081.871979393182,2152.1614564910374,2020.0,395.0,50.0,0,,,,,,,,,,,0.1982207999972161
12,Cplus3F,13,13,13,7331.533,314,13,1,29,5532.297733506835,5384.533368511487,3669.2977335068344,1715.2356350046527,1570.0,312.0,65.0,0,6,C,45,58,,,,,,,0.13608530000783503
12,Cplus3FB,13,13,13,7331.533,314,13,1,29,5532.297733506835,5384.533368511487,3669.2977335068344,1715.2356350046527,1570.0,312.0,65.0,0,6,C,45,58,0,[],,,,,0.0829006000130903
12,B,13,13,13,8466.367,396,13,1,27,6282.8719793931805,6043.366687102762,4081.871979393182,1961.4947077095826,1980.0,378.0,65.0,0,,,,,,,,,,,0.7288670999987517
13,Cplus3F,12,12,12,7166.097,326,12,1,29,5527.190830972792,5166.096940024369,3688.1908309727914,1477.9061090515793,1630.0,310.0,60.0,0,6,C,18,33,,,,,,,0.36108729999978095
13,Cplus3FB,12,12,12,7166.097,326,12,1,29,5527.190830972792,5166.096940024369,3688.1908309727914,1477.9061090515793,1630.0,310.0,60.0,0,6,C,18,33,0,[],,,,,0.3143887000042014
13,B,12,12,12,7645.506,315,12,1,27,5826.871979393181,5709.506218830982,4081.871979393182,1627.6342394378012,1575.0,301.0,60.0,0,,,,,,,,,,,0.5198198999860324
14,Cplus3F,12,12,12,6828.819,326,12,1,29,5606.459578763309,4815.819256704029,3655.459578763311,1160.3596779407171,1630.0,323.0,60.0,0,4,C,70,47,,,,,,,0.09961559998919256
14,Cplus3FB,12,12,12,6828.819,326,12,1,29,5606.459578763309,4815.819256704029,3655.459578763311,1160.3596779407171,1630.0,323.0,60.0,0,4,C,70,47,0,[],,,,,0.090624399977969
14,B,12,12,12,8495.2,342,12,1,27,6024.8719793931805,6391.19994878191,4081.871979393182,2309.3279693887275,1710.0,334.0,60.0,0,,,,,,,,,,,0.23090680001769215
15,Cplus3F,15,15,15,7010.534,260,15,1,29,5195.146518430619,5385.534027061713,3700.1465184306185,1685.3875086310936,1300.0,250.0,75.0,0,7,C,54,58,,,,,,,0.2568448999954853
15,Cplus3FB,15,15,15,7010.534,260,15,1,29,5195.146518430619,5385.534027061713,3700.1465184306185,1685.3875086310936,1300.0,250.0,75.0,0,7,C,54,58,0,[],,,,,0.21590379998087883
15,B,15,15,15,8969.896,308,15,1,27,5748.841030927579,7074.895679777692,4144.841030927579,2930.054648850119,1540.0,280.0,75.0,0,,,,,,,,,,,0.4504914999997709
16,Cplus3F,15,15,15,8439.779,343,15,1,29,5470.8283379404165,6321.778992111217,3723.8283379404156,2597.9506541708015,1715.0,328.0,75.0,0,4,C,121,84,,,,,,,0.2839807999844197
16,Cplus3FB,15,15,15,8439.779,343,15,1,29,5470.8283379404165,6321.778992111217,3723.8283379404156,2597.9506541708015,1715.0,328.0,75.0,0,4,C,121,84,0,[],,,,,0.33887829998275265
16,B,15,15,15,9196.201,316,15,1,27,5820.871979393181,7238.201175567885,4081.871979393182,3156.3291961747004,1580.0,303.0,75.0,0,,,,,,,,,,,0.3655412000080105
17,Cplus3F,11,11,11,7742.674,358,11,1,29,5674.5264323263955,5552.674388980543,3629.5264323263946,1923.1479566541504,1790.0,345.0,55.0,0,4,C,46,48,,,,,,,0.37802790000569075
17,Cplus3FB,11,11,11,7742.674,358,11,1,29,5674.5264323263955,5552.674388980543,3629.5264323263946,1923.1479566541504,1790.0,345.0,55.0,0,4,C,46,48,0,[],,,,,0.3734014999936335
17,B,11,11,11,7914.015,353,11,1,27,6090.8719793931805,5749.015485420822,4081.871979393182,1667.143506027639,1765.0,345.0,55.0,0,,,,,,,,,,,0.26548339999862947
18,Cplus3F,14,14,14,7559.885,305,14,1,29,5443.043731933116,5665.88533251997,3664.0437319331154,2001.8416005868546,1525.0,299.0,70.0,0,5,C,87,67,,,,,,,0.21230270000523888
18,Cplus3FB,14,14,14,7559.885,305,14,1,29,5443.043731933116,5665.88533251997,3664.0437319331154,2001.8416005868546,1525.0,299.0,70.0,0,5,C,87,67,0,[],,,,,0.19309479999355972
18,B,14,14,14,8197.694,289,14,1,27,5676.871979393181,6405.693814157151,4081.871979393182,2323.821834763969,1445.0,277.0,70.0,0,,,,,,,,,,,0.4844593000016175
19,Cplus3F,14,14,14,7268.499,313,14,1,29,5540.745750575171,5322.499188119368,3667.7457505751718,1654.753437544197,1565.0,311.0,70.0,0,5,C,68,53,,,,,,,0.09563300001900643
19,Cplus3FB,14,14,14,7268.499,313,14,1,29,5540.745750575171,5322.499188119368,3667.7457505751718,1654.753437544197,1565.0,311.0,70.0,0,5,C,68,53,0,[],,,,,0.08562629998777993
19,B,14,14,14,8694.365,347,14,1,27,6015.101794492912,6558.364674862664,4085.101794492912,2473.262880369754,1735.0,331.0,70.0,0,,,,,,,,,,,0.40027540002483875
20,Cplus3F,11,11,11,7526.891,385,11,1,29,5943.290105172321,5167.890775181732,3696.2901051723197,1471.6006700094129,1925.0,379.0,55.0,0,3,C,68,45,,,,,,,0.12679739997838624
20,Cplus3FB,11,11,11,7526.891,385,11,1,29,5943.290105172321,5167.890775181732,3696.2901051723197,1471.6006700094129,1925.0,379.0,55.0,0,3,C,68,45,0,[],,,,,0.10935459999018349
20,B,11,11,11,9480.808,440,11,1,27,6518.853791979974,6811.808435732249,4084.8537919799746,2726.9546437522786,2200.0,414.0,55.0,0,,,,,,,,,,,0.43911850001313724
21,Cplus3F,11,11,11,8311.839,418,11,1,29,6004.5264323263955,5760.838599436711,3629.5264323263946,2131.312167110318,2090.0,406.0,55.0,0,3,C,74,63,,,,,,,0.21619000000646338
21,Cplus3FB,11,11,11,8311.839,418,11,1,29,6004.5264323263955,5760.838599436711,3629.5264323263946,2131.312167110318,2090.0,406.0,55.0,0,3,C,74,63,0,[],,,,,0.31223390001105145
21,B,11,11,11,8980.003,416,11,1,27,6462.8719793931805,6439.003060586179,4081.871979393182,2357.131081192997,2080.0,406.0,55.0,0,,,,,,,,,,,0.26490650000050664
22,Cplus3F,12,12,12,7291.215,352,12,1,29,5709.858732144415,5123.214720822478,3650.8587321444134,1472.3559886780645,1760.0,348.0,60.0,0,4,C,103,65,,,,,,,0.1697915999975521
22,Cplus3FB,12,12,12,7291.215,352,12,1,29,5709.858732144415,5123.214720822478,3650.8587321444134,1472.3559886780645,1760.0,348.0,60.0,0,4,C,103,65,0,[],,,,,0.17749249999178573
22,B,12,12,12,8979.366,371,12,1,27,6150.8719793931805,6707.36629818353,4081.871979393182,2625.494318790346,1855.0,357.0,60.0,0,,,,,,,,,,,0.446062000002712
23,Cplus3F,15,15,15,7086.532,278,15,1,29,5324.062366384046,5344.531804567454,3677.062366384045,1667.4694381834086,1390.0,277.0,75.0,0,4,C,61,53,,,,,,,0.10830809999606572
23,Cplus3FB,15,15,15,7086.532,278,15,1,29,5324.062366384046,5344.531804567454,3677.062366384045,1667.4694381834086,1390.0,277.0,75.0,0,4,C,61,53,0,[],,,,,0.11845030001131818
23,B,15,15,15,8531.037,312,15,1,27,5766.031816106372,6601.037102960766,4082.0318161063724,2519.005286854393,1560.0,295.0,75.0,0,,,,,,,,,,,0.6509762000059709
24,Cplus3F,10,10,10,7174.026,367,10,1,29,5942.5680141546,4923.026413986369,3738.5680141545995,1184.4583998317694,1835.0,366.0,50.0,0,4,C,39,30,,,,,,,0.05034190000151284
24,Cplus3FB,10,10,10,7174.026,367,10,1,29,5942.5680141546,4923.026413986369,3738.5680141545995,1184.4583998317694,1835.0,366.0,50.0,0,4,C,39,30,0,[],,,,,0.06255529998452403
24,B,10,10,10,8642.739,406,10,1,27,6426.8719793931805,6165.7392784028325,4081.871979393182,2083.867299009652,2030.0,397.0,50.0,0,,,,,,,,,,,0.17392699999618344
25,Cplus3F,13,13,13,6810.113,291,13,1,29,5460.085152510124,5003.11278209958,3737.0851525101234,1266.0276295894569,1455.0,287.0,65.0,0,6,C,30,40,,,,,,,0.13576740000280552
25,Cplus3FB,13,13,13,6810.113,291,13,1,29,5460.085152510124,5003.11278209958,3737.0851525101234,1266.0276295894569,1455.0,287.0,65.0,0,6,C,30,40,0,[],,,,,0.1457663000037428
25,B,13,13,13,9963.862,385,13,1,27,6054.871979393181,7632.862048924973,4081.871979393182,3550.9900695317956,1925.0,341.0,65.0,0,,,,,,,,,,,0.7526579000113998
26,Cplus3F,12,12,12,7535.799,347,12,1,29,5771.69657763156,5395.798790621356,3693.69657763156,1702.1022129897958,1735.0,345.0,60.0,0,4,C,36,49,,,,,,,0.08188590002828278
26,Cplus3FB,12,12,12,7535.799,347,12,1,29,5771.69657763156,5395.798790621356,3693.69657763156,1702.1022129897958,1735.0,345.0,60.0,0,4,C,36,49,0,[],,,,,0.08125639997888356
26,B,12,12,12,9231.264,397,12,1,27,6240.8719793931805,6815.264022752753,4081.871979393182,2733.3920433595754,1985.0,371.0,60.0,0,,,,,,,,,,,0.41219219999038614
27,Cplus3F,13,13,13,6967.436,304,13,1,29,5472.506791825003,5080.435505132403,3670.5067918250033,1409.9287133074001,1520.0,302.0,65.0,0,4,C,43,41,,,,,,,0.1737581999914255
27,Cplus3FB,13,13,13,6967.436,304,13,1,29,5472.506791825003,5080.435505132403,3670.5067918250033,1409.9287133074001,1520.0,302.0,65.0,0,4,C,43,41,0,[],,,,,0.15529190000961535
27,B,13,13,13,7979.754,339,13,1,27,6039.298635280409,5885.754348615675,4091.2986352804105,1794.4557133352605,1695.0,334.0,65.0,0,,,,,,,,,,,0.29013469998608343
28,Cplus3F,15,15,15,7496.798,279,15,1,29,5248.029702745265,5758.798350956244,3656.029702745263,2102.7686482109825,1395.0,268.0,75.0,0,7,C,69,64,,,,,,,0.24799479998182505
