case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,0,B,0.6167402999999467
1,B,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,,,0.6925920000066981
1,C,16,16,16,9455.937,521,16,1,29,5688.008325599565,6265.936516294267,3321.0083255995646,2944.9281906947026,2605.0,505.0,80.0,0,,,0.6220886999799404
2,CplusLog,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,0,B,0.7160359999979846
2,B,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,,,0.7320433999993838
2,C,16,16,16,9282.275,472,16,1,29,5970.06309749389,6391.275164014083,3520.0630974938886,2871.2120665201946,2360.0,451.0,80.0,0,,,0.4040454000059981
3,CplusLog,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,0,B,0.4133177000039723
3,B,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,,,0.4927007000078447
3,C,16,16,16,9596.194,523,16,1,29,6380.493568684544,6402.193978875353,3659.493568684543,2742.7004101908124,2615.0,499.0,80.0,0,,,0.4800967000192031
4,CplusLog,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,0,B,0.2156840999959968
4,B,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,,,0.2600273000134621
