case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,5,C,0.40572820001398213
1,B,15,15,15,8454.493,330,15,1,27,5940.871979393181,6408.492920225119,4081.871979393182,2326.620940831937,1650.0,321.0,75.0,0,,,0.42501000000629574
1,C,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,,,0.4072509999969043
2,CplusLog,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,1,C,0.1371614999952726
2,B,10,10,10,8465.141,456,10,1,27,6720.8719793931805,5689.141251823495,4081.871979393182,1607.2692724303124,2280.0,446.0,50.0,0,,,0.18853909999597818
2,C,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,,,0.14550889999372885
3,CplusLog,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,4,C,0.33567639999091625
3,B,15,15,15,9709.664,411,15,1,27,6208.62240386028,7190.6638716077605,4116.622403860282,3074.0414677474746,2055.0,389.0,75.0,0,,,0.4025643999921158
3,C,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,,,0.29148309997981414
4,CplusLog,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,2,C,0.35186569998040795
4,B,11,11,11,8674.731,416,11,1,27,6486.8719793931805,6130.730597701274,4081.871979393182,2048.858618308092,2080.0,409.0,55.0,0,,,0.15893619999405928
4,C,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,,,0.34417060000123456
5,CplusLog,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,1,C,0.38859190000221133
5,B,12,12,12,8481.247,341,12,1,27,6128.672369365923,6379.247103960072,4145.672369365924,2233.5747345941504,1705.0,337.0,60.0,0,,,0.2827955999819096
5,C,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,,,0.3572898999846075
6,CplusLog,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,2,C,0.32414420001441613
6,B,12,12,12,8013.956,353,12,1,27,6187.556184740563,5837.95609083395,4125.556184740565,1712.3999060933857,1765.0,351.0,60.0,0,,,0.18984620002447627
6,C,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,,,0.279137500008801
7,CplusLog,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,5,C,0.18635430000722408
7,B,10,10,10,8307.249,411,10,1,27,6474.8719793931805,5797.248767394165,4081.871979393182,1715.3767880009852,2055.0,405.0,50.0,0,,,0.21156180000980385
7,C,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,,,0.20176050000009127
8,CplusLog,11,11,11,8244.664,387,11,1,29,5752.253995729916,5884.664038104481,3630.253995729915,2254.410042374566,1935.0,370.0,55.0,0,6,C,0.32022960000904277
8,B,11,11,11,9025.55,417,11,1,27,6348.8719793931805,6494.5495583885895,4081.871979393182,2412.67757899541,2085.0,391.0,55.0,0,,,0.4756904999958351
8,C,11,11,11,8244.664,387,11,1,29,5752.253995729916,5884.664038104481,3630.253995729915,2254.410042374566,1935.0,370.0,55.0,0,,,0.3066928000189364
9,CplusLog,13,13,13,7889.652,361,13,1,29,5794.299556977192,5665.651667996693,3697.299556977192,1968.3521110195004,1805.0,354.0,65.0,0,3,C,0.3393143000139389
9,B,13,13,13,8138.492,385,13,1,27,6389.856872546745,5764.492003535223,4112.856872546747,1651.6351309884774,1925.0,384.0,65.0,0,,,0.13043339998694137
9,C,13,13,13,7889.652,361,13,1,29,5794.299556977192,5665.651667996693,3697.299556977192,1968.3521110195004,1805.0,354.0,65.0,0,,,0.35986279998905957
10,CplusLog,12,12,12,8306.804,388,12,1,29,5938.785976454414,5922.803765365152,3679.785976454413,2243.0177889107376,1940.0,384.0,60.0,0,4,C,0.2330538000096567
10,B,12,12,12,8357.109,379,12,1,27,6261.081957223289,6033.109390985829,4141.08195722329,1892.0274337625406,1895.0,369.0,60.0,0,,,0.3408573000051547
10,C,12,12,12,8306.804,388,12,1,29,5938.785976454414,5922.803765365152,3679.785976454413,2243.0177889107376,1940.0,384.0,60.0,0,,,0.22474479998345487
11,CplusLog,11,11,11,7082.787,342,11,1,29,5677.289940011784,4979.786639237139,3653.289940011783,1326.496699225357,1710.0,338.0,55.0,0,6,C,0.12656640002387576
11,B,11,11,11,7649.62,352,11,1,27,6150.074460374686,5489.619672332561,4130.074460374687,1359.545211957874,1760.0,345.0,55.0,0,,,0.2676487000135239
11,C,11,11,11,7082.787,342,11,1,29,5677.289940011784,4979.786639237139,3653.289940011783,1326.496699225357,1710.0,338.0,55.0,0,,,0.1459309000056237
