case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,14,14,14,7337.083,276,14,1,29,5164.5264323263955,5622.083234774975,3629.5264323263946,1992.556802448581,1380.0,265.0,70.0,0,6,C,0.41097789999912493
1,B,14,14,14,8094.966,283,14,1,27,5717.0625834653,6334.965639330269,4129.062583465301,2205.903055864969,1415.0,275.0,70.0,0,,,0.3195941000012681
1,C,14,14,14,7337.083,276,14,1,29,5164.5264323263955,5622.083234774975,3629.5264323263946,1992.556802448581,1380.0,265.0,70.0,0,,,0.4466254999861121
2,CplusLog,11,11,11,7472.689,375,11,1,29,5806.180581584338,5173.688898731702,3630.1805815843372,1543.508317147365,1875.0,369.0,55.0,0,3,C,0.293039799988037
2,B,11,11,11,8001.956,371,11,1,27,6264.131495585796,5723.9560799144,4082.131495585797,1641.8245843286038,1855.0,368.0,55.0,0,,,0.13808659999631345
2,C,11,11,11,7472.689,375,11,1,29,5806.180581584338,5173.688898731702,3630.1805815843372,1543.508317147365,1875.0,369.0,55.0,0,,,0.3419886000046972
3,CplusLog,16,16,16,5345.125,183,16,1,29,1420.1779453846982,4185.124911483899,839.1779453846982,3345.9469660992,915.0,165.0,80.0,0,9,C,0.7957278999965638
3,B,16,16,16,8212.864,300,16,1,27,3811.9430346117656,6363.86402661083,2498.9430346117656,3864.9209919990644,1500.0,269.0,80.0,0,,,1.3601460000209045
3,C,16,16,16,5345.125,183,16,1,29,1420.1779453846982,4185.124911483899,839.1779453846982,3345.9469660992,915.0,165.0,80.0,0,,,0.8041865999985021
4,CplusLog,11,11,11,8524.691,367,11,1,29,5698.5264323263955,6280.690668184118,3629.5264323263946,2651.1642358577265,1835.0,354.0,55.0,0,3,C,0.41689220000989735
4,B,11,11,11,9408.574,419,11,1,27,6408.8719793931805,6860.574171852467,4081.871979393182,2778.7021924592887,2095.0,398.0,55.0,0,,,0.4575157000217587
4,C,11,11,11,8524.691,367,11,1,29,5698.5264323263955,6280.690668184118,3629.5264323263946,2651.1642358577265,1835.0,354.0,55.0,0,,,0.41425700002582744
5,CplusLog,12,12,12,7945.68,407,12,1,29,5993.481813160234,5449.679956822873,3631.4818131602333,1818.1981436626397,2035.0,401.0,60.0,0,2,C,0.4039733000099659
5,B,12,12,12,8711.302,365,12,1,27,6168.8719793931805,6469.302300041581,4081.871979393182,2387.4303206483987,1825.0,357.0,60.0,0,,,0.3478555000037886
5,C,12,12,12,7945.68,407,12,1,29,5993.481813160234,5449.679956822873,3631.4818131602333,1818.1981436626397,2035.0,401.0,60.0,0,,,0.3864533999876585
6,CplusLog,11,11,11,7652.726,383,11,1,29,5830.5264323263955,5308.725605808654,3629.5264323263946,1679.1991734822618,1915.0,374.0,55.0,0,1,C,0.3635084999841638
6,B,11,11,11,8154.687,397,11,1,27,6418.444813135415,5721.686964719838,4104.444813135417,1617.242151584423,1985.0,393.0,55.0,0,,,0.33901770002557896
6,C,11,11,11,7652.726,383,11,1,29,5830.5264323263955,5308.725605808654,3629.5264323263946,1679.1991734822618,1915.0,374.0,55.0,0,,,0.36272900001495145
7,CplusLog,11,11,11,7579.945,375,11,1,29,5857.156652830892,5276.944956215668,3663.156652830892,1613.788303384776,1875.0,373.0,55.0,0,1,C,0.26965160001418553
7,B,11,11,11,7982.763,376,11,1,27,6228.8719793931805,5683.762535584964,4081.871979393182,1601.8905561917848,1880.0,364.0,55.0,0,,,0.3810393000021577
7,C,11,11,11,7579.945,375,11,1,29,5857.156652830892,5276.944956215668,3663.156652830892,1613.788303384776,1875.0,373.0,55.0,0,,,0.2598696000059135
8,CplusLog,12,12,12,7782.396,334,12,1,29,5548.5264323263955,5724.395628711958,3629.5264323263946,2094.8691963855645,1670.0,328.0,60.0,0,4,C,0.2912380000052508
8,B,12,12,12,9301.613,362,12,1,27,6060.8719793931805,7089.613340154278,4081.871979393182,3007.741360761099,1810.0,342.0,60.0,0,,,0.47943360000499524
