case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,BLog,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,,,0.4394908999965992
1,CLog,16,16,16,10970.626,792,16,1,29,5830.386357050779,6152.625878906771,3115.38635705078,3037.23952185599,3960.0,778.0,80.0,0,,,0.46936509999795817
1,CplusLog,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,0.44943640002748
2,BLog,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,,,0.18784270001924597
2,CLog,16,16,16,10572.752,661,16,1,29,6683.198720577453,6527.751816947706,3649.198720577451,2878.5530963702577,3305.0,660.0,80.0,0,,,0.4505722999747377
2,CplusLog,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,0.2080831999774091
3,BLog,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,,,0.2765887000132352
3,CLog,16,16,16,12819.933,817,16,1,29,6580.236739197959,7843.93324881018,3649.236739197958,4194.6965096122285,4085.0,811.0,80.0,0,,,0.4683122000133153
3,CplusLog,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,0.20806839998112991
4,BLog,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,,,0.3550593000254594
4,CLog,16,16,16,10609.137,601,16,1,29,6557.253332784398,6941.1369993826265,3661.2533327843953,3279.883666598233,3005.0,583.0,80.0,0,,,0.5687885999795981
4,CplusLog,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,0.3934020999877248
5,BLog,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,,,0.3605890999897383
5,CLog,16,16,16,14644.839,1008,16,1,29,6658.592311877564,8522.839120623481,3630.5923118775618,4892.246808745925,5040.0,1002.0,80.0,0,,,0.9118323000147939
5,CplusLog,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,0.27404739998746663
6,BLog,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,,,0.5744807999872137
6,CLog,16,16,16,12266.238,715,16,1,29,6762.7957304284455,7912.23760051723,3711.795730428444,4200.441870088788,3575.0,699.0,80.0,0,,,0.7788986999948975
6,CplusLog,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,0.636809199990239
7,BLog,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,,,0.26325969997560605
7,CLog,16,16,16,11616.644,642,16,1,29,6225.976304021386,7693.644024631292,3468.976304021385,4224.667720609907,3210.0,633.0,80.0,0,,,0.21408470001188107
7,CplusLog,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,0.2690014000108931
8,BLog,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,,,0.6579758999869227
8,CLog,16,16,16,8639.434,474,16,1,29,5981.384852368643,5728.434335342029,3463.384852368642,2265.0494829733902,2370.0,461.0,80.0,0,,,0.6207597999891732
8,CplusLog,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,0.5777533999935258
9,BLog,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,,,0.5958476999949198
9,CLog,16,16,16,14776.044,1021,16,1,29,6679.74305386191,8590.044168044542,3611.7430538619083,4978.30111418264,5105.0,1001.0,80.0,0,,,0.6907481999951415
9,CplusLog,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,0.5172476999869104
10,BLog,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,,,0.5216999000112992
10,CLog,16,16,16,10869.512,702,16,1,29,6583.949418257003,6591.5119178086,3537.9494182570015,3053.5624995516005,3510.0,688.0,80.0,0,,,0.7041276000090875
10,CplusLog,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,0.5180921999854036
11,BLog,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,,,0.32033049999154173
11,CLog,16,16,16,15333.734,1120,16,1,29,6780.988907574396,8549.734382741517,3657.988907574395,4891.745475167127,5600.0,1104.0,80.0,0,,,0.7324478999944404
11,CplusLog,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,0.4281180999823846
12,BLog,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,,,0.4140396000002511
12,CLog,16,16,16,9254.965,535,16,1,29,6206.72609417245,5966.9649821660505,3467.7260941724485,2499.238887993603,2675.0,533.0,80.0,0,,,0.4431907999969553
12,CplusLog,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,0.453010400000494
13,BLog,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,,,0.5134645999933127
13,CLog,16,16,16,13164.909,947,16,1,29,5635.488691792594,7417.909406193237,2967.488691792594,4450.420714400647,4735.0,932.0,80.0,0,,,0.6872180000063963
13,CplusLog,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,0.4070777999877464
14,BLog,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,,,0.3781092000135686
14,CLog,16,16,16,11691.554,744,16,1,29,6282.776142895715,7166.554100295939,3464.7761428957133,3701.777957400228,3720.0,725.0,80.0,0,,,0.6667208999861032
14,CplusLog,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,0,B,0.36069440000574104
15,BLog,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,,,0.38258789997780696
15,CLog,16,16,16,12564.987,866,16,1,29,6754.246801836085,7305.9873767520085,3630.246801836084,3675.740574915926,4330.0,849.0,80.0,0,,,0.5505163999914657
15,CplusLog,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,0,B,0.35945789999095723
16,BLog,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,,,0.5111000000033528
16,CLog,16,16,16,10882.471,594,16,1,29,5945.563714925607,7253.471386572186,3301.563714925607,3951.9076716465815,2970.0,579.0,80.0,0,,,0.6219479999854229
16,CplusLog,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,0,B,0.5312248999834992
17,BLog,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,,,0.37703370000235736
17,CLog,16,16,16,12813.904,893,16,1,29,6098.312881615962,7377.903991465361,3293.312881615962,4084.5911098493984,4465.0,891.0,80.0,0,,,0.6382639000075869
17,CplusLog,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,0,B,0.3688800999952946
