case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,BLog,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,,,0.6572161999938544
1,CLog,16,16,16,9455.937,521,16,1,29,5688.008325599565,6265.936516294267,3321.0083255995646,2944.9281906947026,2605.0,505.0,80.0,0,,,0.7110141000011936
1,CplusLog,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,0,B,0.733317399979569
2,BLog,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,,,0.6107793999835849
2,CLog,16,16,16,9282.275,472,16,1,29,5970.06309749389,6391.275164014083,3520.0630974938886,2871.2120665201946,2360.0,451.0,80.0,0,,,0.4689043000107631
2,CplusLog,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,0,B,0.6228626999945845
3,BLog,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,,,0.40446089999750257
3,CLog,16,16,16,9596.194,523,16,1,29,6380.493568684544,6402.193978875353,3659.493568684543,2742.7004101908124,2615.0,499.0,80.0,0,,,0.5240272000082768
3,CplusLog,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,0,B,0.4032174000167288
4,BLog,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,,,0.21570289999363013
4,CLog,16,16,16,10889.977,650,16,1,29,6245.392053572722,6923.976919200563,3404.3920535727216,3519.5848656278386,3250.0,636.0,80.0,0,,,0.4510084000066854
4,CplusLog,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,0,B,0.2458531000011135
5,BLog,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,,,0.5498575000092387
5,CLog,16,16,16,9550.506,536,16,1,29,6477.103251255934,6268.505508165085,3679.103251255935,2589.4022569091526,2680.0,522.0,80.0,0,,,0.27491329997428693
5,CplusLog,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,0,B,0.6035687000257894
6,BLog,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,,,0.36255140000139363
6,CLog,16,16,16,8141.259,484,16,1,29,5902.707633544463,5162.25926869765,3284.707633544463,1877.5516351531874,2420.0,479.0,80.0,0,,,0.18851429998176172
6,CplusLog,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,0,B,0.38274589998763986
7,BLog,16,16,16,8934.361,424,16,1,27,6149.431449072523,6312.361393870611,3760.431449072523,2551.9299447980898,2120.0,422.0,80.0,0,,,0.12367669999366626
7,CLog,16,16,16,8776.863,451,16,1,29,6266.243638907836,6005.862909997417,3686.243638907833,2319.6192710895843,2255.0,436.0,80.0,0,,,0.35436210001353174
7,CplusLog,16,16,16,8934.361,424,16,1,27,6149.431449072523,6312.361393870611,3760.431449072523,2551.9299447980898,2120.0,422.0,80.0,0,0,B,0.16477129998384044
8,BLog,16,16,16,9167.629,405,16,1,27,6150.8102357861635,6680.629049005048,3933.8102357861653,2746.8188132188857,2025.0,382.0,80.0,0,,,0.45224969999981113
8,CLog,16,16,16,8828.35,450,16,1,29,6074.753280417986,6065.3502799037315,3635.7532804179846,2429.596999485745,2250.0,433.0,80.0,0,,,0.4824402999947779
8,CplusLog,16,16,16,9167.629,405,16,1,27,6150.8102357861635,6680.629049005048,3933.8102357861653,2746.8188132188857,2025.0,382.0,80.0,0,0,B,0.42341219997615553
9,BLog,16,16,16,8201.65,376,16,1,27,5745.357104174218,5869.649658206916,3775.35710417422,2094.292554032696,1880.0,372.0,80.0,0,,,0.3641988000017591
9,CLog,16,16,16,7641.126,375,16,1,29,4640.864818578396,5331.125725587229,2639.8648185783954,2691.2609070088365,1875.0,355.0,80.0,0,,,0.6098767000075895
9,CplusLog,16,16,16,8201.65,376,16,1,27,5745.357104174218,5869.649658206916,3775.35710417422,2094.292554032696,1880.0,372.0,80.0,0,0,B,0.3648916999809444
10,BLog,16,16,16,8330.275,373,16,1,27,5980.201684343815,6019.274757091541,3825.2016843438164,2194.0730727477244,1865.0,366.0,80.0,0,,,0.33862650001537986
10,CLog,16,16,16,8704.465,467,16,1,29,5197.269514064544,5840.465363925468,2993.2695140645433,2847.19584986093,2335.0,449.0,80.0,0,,,0.5353809999942314
10,CplusLog,16,16,16,8330.275,373,16,1,27,5980.201684343815,6019.274757091541,3825.2016843438164,2194.0730727477244,1865.0,366.0,80.0,0,0,B,0.26889020000817254
11,BLog,16,16,16,8593.769,409,16,1,27,6262.853406675795,6067.7687713058185,4077.8534066757966,1989.9153646300247,2045.0,401.0,80.0,0,,,0.5311946000147145
11,CLog,16,16,16,7345.755,396,16,1,29,4894.538656028919,4906.7546191366055,2790.538656028919,2116.215963107687,1980.0,379.0,80.0,0,,,0.4572426000086125
11,CplusLog,16,16,16,8593.769,409,16,1,27,6262.853406675795,6067.7687713058185,4077.8534066757966,1989.9153646300247,2045.0,401.0,80.0,0,0,B,0.5642555000085849
12,BLog,16,16,16,10779.432,554,16,1,27,5936.28668293604,7386.432436901831,3754.286682936042,3632.1457539657904,2770.0,543.0,80.0,0,,,0.7875109000015073
12,CLog,16,16,16,8946.393,443,16,1,29,6179.878502422664,6217.393134247507,3644.878502422662,2572.514631824843,2215.0,434.0,80.0,0,,,0.38240080000832677
12,CplusLog,16,16,16,10779.432,554,16,1,27,5936.28668293604,7386.432436901831,3754.286682936042,3632.1457539657904,2770.0,543.0,80.0,0,0,B,0.7554563000157941
13,BLog,16,16,16,9698.616,441,16,1,27,6019.004605594643,6984.61560238246,3816.0046055946436,3168.6109967878187,2205.0,429.0,80.0,0,,,0.38381279999157414
13,CLog,16,16,16,10656.4,592,16,1,29,5536.709853955124,7049.399624007687,3163.709853955124,3885.6897700525683,2960.0,567.0,80.0,0,,,1.012185599975055
13,CplusLog,16,16,16,9698.616,441,16,1,27,6019.004605594643,6984.61560238246,3816.0046055946436,3168.6109967878187,2205.0,429.0,80.0,0,0,B,0.32388019998325035
14,BLog,16,16,16,8934.954,445,16,1,27,5853.639391156394,6197.953909556296,3609.639391156394,2588.3145183999013,2225.0,432.0,80.0,0,,,0.5975215000216849
14,CLog,16,16,16,9504.543,695,16,1,29,5146.06964573707,5257.543342405879,2778.069645737069,2479.4736966688106,3475.0,692.0,80.0,0,,,0.6946455999859609
14,CplusLog,16,16,16,8934.954,445,16,1,27,5853.639391156394,6197.953909556296,3609.639391156394,2588.3145183999013,2225.0,432.0,80.0,0,0,B,0.5984094000014011
15,BLog,16,16,16,10019.136,529,16,1,27,6119.802612292771,6787.136201181041,3776.802612292773,3010.3335888882693,2645.0,507.0,80.0,0,,,0.6997622000053525
15,CLog,16,16,16,8645.665,429,16,1,29,6032.346582871065,6007.664629014695,3635.346582871065,2372.3180461436295,2145.0,413.0,80.0,0,,,0.40338599999086
15,CplusLog,16,16,16,10019.136,529,16,1,27,6119.802612292771,6787.136201181041,3776.802612292773,3010.3335888882693,2645.0,507.0,80.0,0,0,B,0.7447062999999616
16,BLog,16,16,16,9926.58,512,16,1,27,6400.611854740981,6792.579790386346,3943.6118547409824,2848.9679356453635,2560.0,494.0,80.0,0,,,0.6070665000006557
16,CLog,16,16,16,9084.611,604,16,1,29,3819.6629878619347,5387.610601702536,2075.6629878619356,3311.947613840602,3020.0,597.0,80.0,0,,,0.8369989000202622
16,CplusLog,16,16,16,9926.58,512,16,1,27,6400.611854740981,6792.579790386346,3943.6118547409824,2848.9679356453635,2560.0,494.0,80.0,0,0,B,0.7350242999964394
17,BLog,16,16,16,9162.291,434,16,1,27,5895.183784250208,6494.29051100528,3769.183784250209,2725.106726755072,2170.0,418.0,80.0,0,,,0.3940704000124242
17,CLog,16,16,16,8484.078,523,16,1,29,3433.952132206194,5273.077639585492,1881.9521322061942,3391.1255073792972,2615.0,516.0,80.0,0,,,0.434060400002636
17,CplusLog,16,16,16,9162.291,434,16,1,27,5895.183784250208,6494.29051100528,3769.183784250209,2725.106726755072,2170.0,418.0,80.0,0,0,B,0.29834090001531877
18,BLog,16,16,16,7936.313,365,16,1,27,5728.772466527231,5680.312580553336,3616.7724665272312,2063.5401140261047,1825.0,351.0,80.0,0,,,0.1870057000196539
18,CLog,16,16,16,10285.727,694,16,1,29,4515.1408730570465,6070.727391970085,2440.140873057046,3630.586518913049,3470.0,665.0,80.0,0,,,1.0493643999798223
18,CplusLog,16,16,16,7936.313,365,16,1,27,5728.772466527231,5680.312580553336,3616.7724665272312,2063.5401140261047,1825.0,351.0,80.0,0,0,B,0.18718290000106208
19,BLog,16,16,16,9914.268,582,16,1,27,5060.87653447887,6355.268025663523,3090.876534478871,3264.3914911846523,2910.0,569.0,80.0,0,,,0.5657245999900624
19,CLog,16,16,16,9411.677,522,16,1,29,6526.5264323263955,6213.677444819647,3629.5264323263946,2584.1510124932524,2610.0,508.0,80.0,0,,,0.36843049997696653
