case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,BLog,13,13,13,8815.608,371,13,1,27,6225.3089423972,6530.608119103075,4085.308942397201,2445.2991767058747,1855.0,365.0,65.0,0,,,0.23251189998700283
1,CLog,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,,,0.37409009999828413
1,CplusLog,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,3,C,0.45461230000364594
2,BLog,10,10,10,8355.64,391,10,1,27,6313.181554192147,5977.640386005823,4107.181554192149,1870.4588318136762,1955.0,373.0,50.0,0,,,0.39928390001296066
2,CLog,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,,,0.43659899997874163
2,CplusLog,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,2,C,0.39352780001354404
3,BLog,14,14,14,9469.437,359,14,1,27,5988.871979393181,7275.436891463016,4081.871979393182,3193.5649120698376,1795.0,329.0,70.0,0,,,0.6285548000014387
3,CLog,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,,,0.37988360002054833
3,CplusLog,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,3,C,0.4227201000030618
4,BLog,12,12,12,8243.276,404,12,1,27,6452.325128897371,5768.276134684346,4110.3251288973715,1657.9510057869713,2020.0,395.0,60.0,0,,,0.29838439999730326
4,CLog,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,,,0.38812300001154654
4,CplusLog,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,2,C,0.26787009998224676
5,BLog,13,13,13,7829.194,323,13,1,27,6110.876956208587,5831.194233125799,4208.876956208588,1622.317276917211,1615.0,318.0,65.0,0,,,0.17765630001667887
5,CLog,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,,,0.3459185999818146
5,CplusLog,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,1,C,0.47242269999696873
6,BLog,13,13,13,8466.638,379,13,1,27,6254.98108235801,6147.637591258659,4128.98108235801,2018.656508900649,1895.0,359.0,65.0,0,,,0.25264120000065304
6,CLog,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,,,0.5745091999997385
6,CplusLog,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,5,C,0.4922299000027124
7,BLog,16,16,16,8077.055,358,16,1,27,5681.046719010199,5863.054747244903,3645.046719010201,2218.0080282347044,1790.0,344.0,80.0,0,,,0.356150899984641
7,CLog,16,16,16,7437.563,340,16,1,29,5417.558058479395,5325.562571383711,3464.558058479396,1861.0045129043133,1700.0,332.0,80.0,0,,,0.19855760000064038
7,CplusLog,16,16,16,7437.563,340,16,1,29,5417.558058479395,5325.562571383711,3464.558058479396,1861.0045129043133,1700.0,332.0,80.0,0,2,C,0.20548120001330972
8,BLog,12,12,12,8464.128,412,12,1,27,6482.928147178419,5944.128360163021,4115.92814717842,1828.2002129846016,2060.0,400.0,60.0,0,,,0.43804790001013316
8,CLog,12,12,12,8092.581,456,12,1,29,6232.526432326396,5302.581285812125,3629.5264323263946,1673.0548534857326,2280.0,450.0,60.0,0,,,0.22783439999329858
8,CplusLog,12,12,12,8092.581,456,12,1,29,6232.526432326396,5302.581285812125,3629.5264323263946,1673.0548534857326,2280.0,450.0,60.0,0,2,C,0.19759549997979775
9,BLog,14,14,14,8627.974,342,14,1,27,6098.631613182439,6510.973931933475,4108.63161318244,2402.342318751034,1710.0,337.0,70.0,0,,,0.26519570001983084
