case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,0.4499567000020761
2,CplusLog,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,0.1520005000056699
3,CplusLog,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,0.2593701000150759
4,CplusLog,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,0.45277340000029653
5,CplusLog,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,0.34662729999399744
6,CplusLog,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,0.5676384999824222
7,CplusLog,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,0.23686459998134524
8,CplusLog,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,0.6294078000064474
9,CplusLog,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,0.6859018999966793
10,CplusLog,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,0.47184899999410845
11,CplusLog,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,0.3862152000074275
