case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,0,B,0.6993951000040397
2,CplusLog,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,0,B,0.7447320999926887
3,CplusLog,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,0,B,0.3955714000039734
4,CplusLog,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,0,B,0.20983390000765212
5,CplusLog,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,0,B,0.7185965999960899
6,CplusLog,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,0,B,0.40818050000234507
7,CplusLog,16,16,16,8934.361,424,16,1,27,6149.431449072523,6312.361393870611,3760.431449072523,2551.9299447980898,2120.0,422.0,80.0,0,0,B,0.20256309999967925
8,CplusLog,16,16,16,9167.629,405,16,1,27,6150.8102357861635,6680.629049005048,3933.8102357861653,2746.8188132188857,2025.0,382.0,80.0,0,0,B,0.5623120999953244
9,CplusLog,16,16,16,8201.65,376,16,1,27,5745.357104174218,5869.649658206916,3775.35710417422,2094.292554032696,1880.0,372.0,80.0,0,0,B,0.4565903999900911
10,CplusLog,16,16,16,8330.275,373,16,1,27,5980.201684343815,6019.274757091541,3825.2016843438164,2194.0730727477244,1865.0,366.0,80.0,0,0,B,0.3710097000002861
11,CplusLog,16,16,16,8593.769,409,16,1,27,6262.853406675795,6067.7687713058185,4077.8534066757966,1989.9153646300247,2045.0,401.0,80.0,0,0,B,0.671123499982059
12,CplusLog,16,16,16,10779.432,554,16,1,27,5936.28668293604,7386.432436901831,3754.286682936042,3632.1457539657904,2770.0,543.0,80.0,0,0,B,0.8770932999905199
13,CplusLog,16,16,16,9698.616,441,16,1,27,6019.004605594643,6984.61560238246,3816.0046055946436,3168.6109967878187,2205.0,429.0,80.0,0,0,B,0.40198789999703877
14,CplusLog,16,16,16,8934.954,445,16,1,27,5853.639391156394,6197.953909556296,3609.639391156394,2588.3145183999013,2225.0,432.0,80.0,0,0,B,0.7472191999841016
15,CplusLog,16,16,16,10019.136,529,16,1,27,6119.802612292771,6787.136201181041,3776.802612292773,3010.3335888882693,2645.0,507.0,80.0,0,0,B,0.7305261000001337
16,CplusLog,16,16,16,9926.58,512,16,1,27,6400.611854740981,6792.579790386346,3943.6118547409824,2848.9679356453635,2560.0,494.0,80.0,0,0,B,0.6278653999906965
17,CplusLog,16,16,16,9162.291,434,16,1,27,5895.183784250208,6494.29051100528,3769.183784250209,2725.106726755072,2170.0,418.0,80.0,0,0,B,0.38412269999389537
18,CplusLog,16,16,16,7936.313,365,16,1,27,5728.772466527231,5680.312580553336,3616.7724665272312,2063.5401140261047,1825.0,351.0,80.0,0,0,B,0.23142969998298213
19,CplusLog,16,16,16,9914.268,582,16,1,27,5060.87653447887,6355.268025663523,3090.876534478871,3264.3914911846523,2910.0,569.0,80.0,0,0,B,0.847256400011247
20,CplusLog,16,16,16,9114.626,451,16,1,27,6187.881995583458,6335.626213429471,3990.881995583459,2344.7442178460137,2255.0,444.0,80.0,0,0,B,0.4930624999979045
21,CplusLog,16,16,16,8996.516,395,16,1,27,5828.054896520786,6580.5159327366555,3762.054896520788,2818.461036215872,1975.0,361.0,80.0,0,0,B,0.5820491000195034
22,CplusLog,16,16,16,6718.393,259,16,1,27,4517.212233000946,5093.393184580563,3045.212233000947,2048.1809515796135,1295.0,250.0,80.0,0,0,B,0.36230159999104217
23,CplusLog,16,16,16,8072.156,370,16,1,27,5138.3733904815845,5783.156461909406,3259.3733904815854,2523.783071427821,1850.0,359.0,80.0,0,0,B,0.44936989998677745
24,CplusLog,16,16,16,8983.425,450,16,1,27,5678.965940878942,6220.425371955473,3566.9659408789435,2653.4594310765283,2250.0,433.0,80.0,0,0,B,0.368932000012137
25,CplusLog,16,16,16,8505.408,375,16,1,27,6149.258639826139,6188.408136269883,3995.258639826141,2193.149496443741,1875.0,362.0,80.0,0,0,B,0.3877665000036359
26,CplusLog,16,16,16,8188.092,426,16,1,27,5492.868136068418,5560.09162846526,3418.86813606842,2141.223492396839,2130.0,418.0,80.0,0,0,B,0.3767404000100214
27,CplusLog,16,16,16,8618.374,381,16,1,27,5829.370204490505,6274.374469919823,3749.3702044905067,2525.004265429317,1905.0,359.0,80.0,0,0,B,0.5759712000144646
28,CplusLog,16,16,16,7889.189,396,16,1,27,4897.247369480307,5454.188858280809,3034.2473694803084,2419.941488800502,1980.0,375.0,80.0,0,0,B,0.48676570001407526
29,CplusLog,16,16,16,7829.779,342,16,1,27,5671.887065037557,5713.778618021131,3810.887065037557,1902.8915529835724,1710.0,326.0,80.0,0,0,B,0.36254339999868535
30,CplusLog,16,16,16,8200.48,390,16,1,27,5471.859324622139,5800.480176450596,3529.8593246221417,2270.6208518284548,1950.0,370.0,80.0,0,0,B,0.48728589998790994
31,CplusLog,16,16,16,8541.285,419,16,1,27,6182.942980863812,5961.284797003594,3866.942980863813,2094.3418161397817,2095.0,405.0,80.0,0,0,B,0.28368930000578985
32,CplusLog,16,16,16,8275.681,353,16,1,27,5794.5404087766065,6089.680831281325,3838.5404087766087,2251.140422504715,1765.0,341.0,80.0,0,0,B,0.33765679999487475
33,CplusLog,16,16,16,9093.148,488,16,1,27,6848.519463876245,6104.148435610888,4144.519463876246,1959.6289717346451,2440.0,469.0,80.0,0,0,B,0.368935300008161
34,CplusLog,16,16,16,8238.299,417,16,1,27,4263.8506731316065,5664.298515135506,2657.850673131607,3006.4478420039013,2085.0,409.0,80.0,0,0,B,0.8807065000000875
35,CplusLog,16,16,16,8905.23,399,16,1,27,5861.809093158493,6459.229719287398,3790.809093158495,2668.420626128908,1995.0,371.0,80.0,0,0,B,0.9177487000124529
