case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,5,C,0.37829610001062974
2,CplusLog,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,1,C,0.12644779999391176
3,CplusLog,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,4,C,0.3232787000015378
4,CplusLog,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,2,C,0.2822167999984231
5,CplusLog,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,1,C,0.3957558000111021
6,CplusLog,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,2,C,0.3154391999996733
7,CplusLog,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,5,C,0.19647450000047684
8,CplusLog,11,11,11,8244.664,387,11,1,29,5752.253995729916,5884.664038104481,3630.253995729915,2254.410042374566,1935.0,370.0,55.0,0,6,C,0.3086274999950547
9,CplusLog,13,13,13,7889.652,361,13,1,29,5794.299556977192,5665.651667996693,3697.299556977192,1968.3521110195004,1805.0,354.0,65.0,0,3,C,0.41616359999170527
10,CplusLog,12,12,12,8306.804,388,12,1,29,5938.785976454414,5922.803765365152,3679.785976454413,2243.0177889107376,1940.0,384.0,60.0,0,4,C,0.23472680000122637
11,CplusLog,11,11,11,7082.787,342,11,1,29,5677.289940011784,4979.786639237139,3653.289940011783,1326.496699225357,1710.0,338.0,55.0,0,6,C,0.10961220000172034
12,CplusLog,16,16,16,6943.648,301,16,1,29,4913.231980284359,5068.6476385911255,3196.2319802843595,1872.4156583067675,1505.0,290.0,80.0,0,8,C,0.3656266999896616
13,CplusLog,16,16,16,6445.669,267,16,1,29,4484.591581147868,4764.669064847489,2944.5915811478676,1820.077483699621,1335.0,266.0,80.0,0,4,C,0.29013529999065213
14,CplusLog,12,12,12,7841.904,389,12,1,29,5884.5264323263955,5451.903854680952,3629.5264323263946,1822.3774223545572,1945.0,385.0,60.0,0,2,C,0.3455766999977641
15,CplusLog,11,11,11,7997.836,449,11,1,29,6294.870760077045,5254.8359368744495,3674.870760077043,1579.965176797406,2245.0,443.0,55.0,0,2,C,0.17793999999412335
16,CplusLog,15,15,15,7910.396,329,15,1,29,5512.5264323263955,5868.396436212978,3629.5264323263946,2238.870003886584,1645.0,322.0,75.0,0,2,C,0.46451359998900443
17,CplusLog,15,15,15,7993.999,332,15,1,29,5441.576929576963,5943.99943734343,3717.576929576963,2226.4225077664673,1660.0,315.0,75.0,0,2,C,0.23959300000569783
18,CplusLog,14,14,14,8217.217,414,14,1,29,5760.165893741247,5673.216556279533,3632.165893741246,2041.050662538289,2070.0,404.0,70.0,0,3,C,0.4348446000076365
19,CplusLog,16,16,16,7716.275,361,16,1,29,4431.657804533346,5472.274857202502,2952.657804533346,2519.6170526691562,1805.0,359.0,80.0,0,5,C,0.7250389000109863
20,CplusLog,15,15,15,7859.567,371,15,1,29,5874.2465533591285,5560.566717051746,3688.2465533591276,1872.320163692617,1855.0,369.0,75.0,0,4,C,0.17604039999423549
21,CplusLog,12,12,12,7728.648,333,12,1,29,5589.597740872509,5673.647984882982,3648.5977408725084,2025.0502440104729,1665.0,330.0,60.0,0,5,C,0.21424969998770393
22,CplusLog,14,14,14,8223.057,393,14,1,29,5846.987392933862,5815.057267467431,3640.987392933861,2174.0698745335717,1965.0,373.0,70.0,0,1,C,0.38225459997192957
23,CplusLog,13,13,13,7562.632,307,13,1,29,5416.5264323263955,5659.6315083883455,3629.5264323263946,2030.1050760619496,1535.0,303.0,65.0,0,3,C,0.13623219999135472
24,CplusLog,16,16,16,7302.763,307,16,1,29,4033.4926307306223,5406.762913303029,2606.4926307306223,2800.2702825724105,1535.0,281.0,80.0,0,4,C,0.6215878999792039
25,CplusLog,12,12,12,7081.519,336,12,1,29,5629.286715659127,5006.5189373021385,3634.2867156591265,1372.2322216430127,1680.0,335.0,60.0,0,6,C,0.12081760002183728
26,CplusLog,16,16,16,6725.07,258,16,1,29,4061.9562588212175,5109.069947756925,2761.9562588212184,2347.113688935707,1290.0,246.0,80.0,0,2,C,0.5216476999921724
27,CplusLog,10,10,10,7873.523,396,10,1,29,5914.5264323263955,5458.523273609702,3629.5264323263946,1828.996841283311,1980.0,385.0,50.0,0,2,C,0.362276900006691
