case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,CplusLog,14,14,14,7337.083,276,14,1,29,5164.5264323263955,5622.083234774975,3629.5264323263946,1992.556802448581,1380.0,265.0,70.0,0,6,C,0.42070119999698363
2,CplusLog,11,11,11,7472.689,375,11,1,29,5806.180581584338,5173.688898731702,3630.1805815843372,1543.508317147365,1875.0,369.0,55.0,0,3,C,0.25039609998930246
3,CplusLog,16,16,16,5345.125,183,16,1,29,1420.1779453846982,4185.124911483899,839.1779453846982,3345.9469660992,915.0,165.0,80.0,0,9,C,0.6181713000114542
4,CplusLog,11,11,11,8524.691,367,11,1,29,5698.5264323263955,6280.690668184118,3629.5264323263946,2651.1642358577265,1835.0,354.0,55.0,0,3,C,0.3380958999914583
5,CplusLog,12,12,12,7945.68,407,12,1,29,5993.481813160234,5449.679956822873,3631.4818131602333,1818.1981436626397,2035.0,401.0,60.0,0,2,C,0.27210760000161827
6,CplusLog,11,11,11,7652.726,383,11,1,29,5830.5264323263955,5308.725605808654,3629.5264323263946,1679.1991734822618,1915.0,374.0,55.0,0,1,C,0.3121555999969132
7,CplusLog,11,11,11,7579.945,375,11,1,29,5857.156652830892,5276.944956215668,3663.156652830892,1613.788303384776,1875.0,373.0,55.0,0,1,C,0.20403839999926277
8,CplusLog,12,12,12,7782.396,334,12,1,29,5548.5264323263955,5724.395628711958,3629.5264323263946,2094.8691963855645,1670.0,328.0,60.0,0,4,C,0.25402990001020953
9,CplusLog,15,15,15,7729.666,292,15,1,29,5266.5264323263955,5909.666285185348,3629.5264323263946,2280.139852858953,1460.0,285.0,75.0,0,8,C,0.47101529999054037
10,CplusLog,11,11,11,7544.983,345,11,1,29,5644.047984016964,5428.982523316471,3655.047984016963,1773.934539299508,1725.0,336.0,55.0,0,5,C,0.3366094999946654
11,CplusLog,16,16,16,7177.543,225,16,1,29,3163.589175510358,5764.543314923863,2072.589175510358,3691.954139413505,1125.0,208.0,80.0,0,6,C,0.5986258999910206
12,CplusLog,12,12,12,7372.615,322,12,1,29,5540.7593643008795,5388.615116852155,3677.7593643008786,1710.8557525512767,1610.0,314.0,60.0,0,5,C,0.19661929999710992
13,CplusLog,16,16,16,4702.019,172,16,1,29,1828.8865399969663,3599.018966639032,1157.8865399969663,2441.132426642065,860.0,163.0,80.0,0,8,C,0.6004303999943659
14,CplusLog,10,10,10,7403.664,373,10,1,29,5836.162277188716,5120.664193283984,3661.162277188715,1459.5019160952695,1865.0,368.0,50.0,0,2,C,0.23097319999942556
15,CplusLog,11,11,11,7559.6,377,11,1,29,5776.5264323263955,5253.599741697344,3629.5264323263946,1624.07330937095,1885.0,366.0,55.0,0,3,C,0.4308880000025965
16,CplusLog,14,14,14,7550.677,310,14,1,29,5342.384811053255,5637.677207069704,3646.3848110532545,1991.292396016453,1550.0,293.0,70.0,0,5,C,0.6089464999968186
17,CplusLog,13,13,13,8244.75,311,13,1,29,5392.5264323263955,6320.750454070438,3629.5264323263946,2691.224021744043,1555.0,304.0,65.0,0,4,C,0.2409419000032358
18,CplusLog,11,11,11,8652.19,394,11,1,29,5860.5264323263955,6247.1899570115675,3629.5264323263946,2617.663524685172,1970.0,380.0,55.0,0,2,C,0.4979184000112582
19,CplusLog,12,12,12,8101.338,354,12,1,29,5524.5264323263955,5943.337808649242,3629.5264323263946,2313.8113763228475,1770.0,328.0,60.0,0,5,C,0.4249558000010438
20,CplusLog,13,13,13,9072.783,419,13,1,29,5865.27850056495,6532.783496882809,3641.2785005649484,2891.504996317865,2095.0,380.0,65.0,0,3,C,0.836676399980206
21,CplusLog,16,16,16,8345.636,339,16,1,29,3283.5891755103576,6266.635781717237,2072.589175510358,4194.046606206886,1695.0,304.0,80.0,0,3,C,0.7652775000024121
22,CplusLog,13,13,13,8113.443,292,13,1,29,5284.5264323263955,6302.442647289692,3629.5264323263946,2672.916214963298,1460.0,286.0,65.0,0,5,C,0.3175289999926463
23,CplusLog,10,10,10,8539.784,431,10,1,29,6136.526432326396,5909.7836849343885,3629.5264323263946,2280.2572526079925,2155.0,425.0,50.0,0,4,C,0.34008470000117086
24,CplusLog,12,12,12,8397.52,361,12,1,29,5681.683668427105,6187.520190716131,3655.683668427104,2531.8365222890266,1805.0,345.0,60.0,0,5,C,0.4598315999901388
25,CplusLog,11,11,11,8364.912,358,11,1,29,5608.5264323263955,6181.911667210461,3629.5264323263946,2552.385234884065,1790.0,338.0,55.0,0,2,C,0.6187440000066999
26,CplusLog,16,16,16,7426.225,310,16,1,29,3422.4521802219606,5503.2246124727635,2217.4521802219606,3285.7724322508043,1550.0,293.0,80.0,0,7,C,0.47689819999504834
27,CplusLog,10,10,10,7618.551,348,10,1,29,5626.5264323263955,5487.551249290447,3629.5264323263946,1858.0248169640531,1740.0,341.0,50.0,0,4,C,0.2112296000123024
28,CplusLog,10,10,10,7527.818,386,10,1,29,5907.093844150076,5166.81774461641,3659.0938441500757,1507.7239004663352,1930.0,381.0,50.0,0,5,C,0.2349409000016749
29,CplusLog,12,12,12,8241.176,336,12,1,29,5476.5264323263955,6182.176379835658,3629.5264323263946,2552.649947509262,1680.0,319.0,60.0,0,6,C,0.3569767000153661
30,CplusLog,11,11,11,7689.224,368,11,1,29,5754.3330650271355,5438.223629790723,3650.3330650271355,1787.8905647635877,1840.0,356.0,55.0,0,5,C,0.257751900004223
31,CplusLog,13,13,13,7861.238,316,13,1,29,5494.613599048801,5911.237685897418,3709.6135990487996,2201.624086848617,1580.0,305.0,65.0,0,6,C,0.2693857999984175
32,CplusLog,13,13,13,7222.321,311,13,1,29,5440.253787109715,5300.32100657971,3673.253787109714,1627.067219469994,1555.0,302.0,65.0,0,4,C,0.4050367999880109
33,CplusLog,14,14,14,7618.027,297,14,1,29,5302.5264323263955,5773.027424133307,3629.5264323263946,2143.5009918069127,1485.0,290.0,70.0,0,6,C,0.3906420999846887
34,CplusLog,11,11,11,8150.058,416,11,1,29,6022.526432326396,5607.058169074078,3629.5264323263946,1977.5317367476841,2080.0,408.0,55.0,0,3,C,0.4117371999891475
35,CplusLog,16,16,16,6527.751,224,16,1,29,3604.8505053334934,5128.7513635568985,2484.8505053334925,2643.9008582234105,1120.0,199.0,80.0,0,9,C,0.6339986000093631
36,CplusLog,14,14,14,7811.122,356,14,1,29,5602.5264323263955,5617.12189990202,3629.5264323263946,1987.5954675756277,1780.0,344.0,70.0,0,4,C,0.5037661000096705
37,CplusLog,14,14,14,8242.41,310,14,1,29,5313.670558079451,6332.409726682598,3629.6705580794505,2702.739168603145,1550.0,290.0,70.0,0,5,C,0.602257999998983
38,CplusLog,16,16,16,7487.691,273,16,1,29,3875.2016670813987,5783.690854924419,2485.2016670813987,3298.4891878430203,1365.0,259.0,80.0,0,5,C,0.32835910000721924
39,CplusLog,16,16,16,7973.303,258,16,1,29,4616.551058281916,6367.303444618565,3279.5510582819156,3087.752386336649,1290.0,236.0,80.0,0,5,C,0.6399011999892537
40,CplusLog,13,13,13,7675.022,346,13,1,29,5553.976828704113,5550.0222955917125,3629.9768287041124,1920.0454668876052,1730.0,330.0,65.0,0,5,C,0.4755392999795731
41,CplusLog,16,16,16,8044.153,339,16,1,29,4141.492630730622,5938.152804779179,2606.4926307306223,3331.660174048562,1695.0,331.0,80.0,0,3,C,0.6179813999915496
42,CplusLog,16,16,16,6522.294,243,16,1,29,3284.4521802219606,5006.293614960249,2217.4521802219606,2788.8414347382873,1215.0,221.0,80.0,0,5,C,0.7641892999818083
43,CplusLog,12,12,12,7676.131,381,12,1,29,5859.868168122111,5335.130673703036,3635.8681681221096,1699.2625055809285,1905.0,376.0,60.0,0,4,C,0.19810059998417273
44,CplusLog,15,15,15,7787.353,295,15,1,29,5248.5264323263955,5955.3533418958805,3629.5264323263946,2325.826909569486,1475.0,282.0,75.0,0,6,C,0.4760492999921553
45,CplusLog,14,14,14,8615.973,346,14,1,29,5536.5264323263955,6487.97286026781,3629.5264323263946,2858.4464279414165,1730.0,328.0,70.0,0,3,C,0.40070130000822246
46,CplusLog,13,13,13,7779.103,318,13,1,29,5551.711985128057,5810.102729394665,3706.711985128056,2103.3907442666095,1590.0,314.0,65.0,0,6,C,0.17252190000726841
47,CplusLog,13,13,13,7913.898,304,13,1,29,5380.5264323263955,6028.897765038514,3629.5264323263946,2399.37133271212,1520.0,300.0,65.0,0,5,C,0.2343414000060875
48,CplusLog,11,11,11,8670.836,380,11,1,29,5794.52536368309,6350.836302963321,3654.5253636830903,2696.3109392802303,1900.0,365.0,55.0,0,1,C,0.3965668999881018
49,CplusLog,14,14,14,8492.375,376,14,1,29,5764.58207914264,6182.375273629385,3678.5820791426395,2503.793194486747,1880.0,360.0,70.0,0,3,C,0.3553542999725323
50,CplusLog,10,10,10,8011.379,374,10,1,29,5746.5264323263955,5730.3793428612635,3629.5264323263946,2100.8529105348684,1870.0,361.0,50.0,0,3,C,0.2790515999950003
51,CplusLog,15,15,15,7983.282,306,15,1,29,5302.5264323263955,6086.282157328427,3629.5264323263946,2456.755725002033,1530.0,292.0,75.0,0,4,C,0.6532478000153787
52,CplusLog,12,12,12,8520.359,410,12,1,29,5902.5264323263955,6018.359164601113,3629.5264323263946,2388.832732274718,2050.0,392.0,60.0,0,4,C,0.28441320001729764
53,CplusLog,10,10,10,8418.23,388,10,1,29,5931.1954928602345,6044.22951532566,3654.1954928602345,2390.0340224654256,1940.0,384.0,50.0,0,2,C,0.12243580000358634
54,CplusLog,13,13,13,7742.617,308,13,1,29,5349.996157147628,5840.61650367606,3629.996157147627,2210.620346528437,1540.0,297.0,65.0,0,6,C,0.39974910000455566
55,CplusLog,10,10,10,7882.276,401,10,1,29,5920.5264323263955,5436.276072130514,3629.5264323263946,1806.7496398041212,2005.0,391.0,50.0,0,2,C,0.42248410001047887
56,CplusLog,12,12,12,8068.888,357,12,1,29,5608.5264323263955,5882.887951057019,3629.5264323263946,2253.361518730625,1785.0,341.0,60.0,0,2,C,0.504775499983225
57,CplusLog,10,10,10,7734.764,408,10,1,29,6010.5264323263955,5240.763528877591,3629.5264323263946,1611.2370965511975,2040.0,404.0,50.0,0,3,C,0.21778140001697466
58,CplusLog,14,14,14,8065.202,312,14,1,29,5428.539432222424,6127.202093143857,3636.539432222422,2490.6626609214363,1560.0,308.0,70.0,0,6,C,0.2599964999826625
59,CplusLog,13,13,13,7431.944,312,13,1,29,5398.047818595392,5501.943712973466,3630.0478185953907,1871.8958943780735,1560.0,305.0,65.0,0,7,C,0.33686799998395145
60,CplusLog,11,11,11,8460.057,380,11,1,29,5709.327455696566,6152.057338396678,3641.3274556965644,2510.7298827001177,1900.0,353.0,55.0,0,6,C,0.4370945999980904
61,CplusLog,14,14,14,8095.453,299,14,1,29,5296.5264323263955,6240.452950495745,3629.5264323263946,2610.926518169351,1495.0,290.0,70.0,0,5,C,0.46318829999654554
62,CplusLog,14,14,14,7485.006,290,14,1,29,5266.5264323263955,5683.005725109617,3629.5264323263946,2053.479292783225,1450.0,282.0,70.0,0,8,C,0.2850234000070486
63,CplusLog,15,15,15,7860.976,269,15,1,29,5140.943599699802,6184.975993738292,3673.9435996998013,2511.032394038491,1345.0,256.0,75.0,0,8,C,0.43846959999063984
64,CplusLog,12,12,12,8282.369,359,12,1,29,5710.249661200634,6076.369051882121,3648.2496612006335,2428.1193906814888,1795.0,351.0,60.0,0,3,C,0.2914878999872599
65,CplusLog,14,14,14,8334.72,361,14,1,29,5673.543237025044,6116.719773119084,3677.543237025043,2439.1765360940367,1805.0,343.0,70.0,0,3,C,0.44556849999935366
66,CplusLog,16,16,16,5044.988,166,16,1,29,2264.6192308270483,3977.988011172807,1510.6192308270483,2467.368780345758,830.0,157.0,80.0,0,8,C,0.4750310000090394
67,CplusLog,11,11,11,7670.829,387,11,1,29,5824.5264323263955,5305.828558453099,3629.5264323263946,1676.3021261267054,1935.0,375.0,55.0,0,3,C,0.32905749999918044
68,CplusLog,15,15,15,7998.031,253,15,1,29,4972.526432326395,6419.031000394312,3629.5264323263946,2789.5045680679186,1265.0,239.0,75.0,0,10,C,0.5994362999917939
69,CplusLog,10,10,10,8501.257,380,10,1,29,5794.5264323263955,6183.257222208242,3629.5264323263946,2553.7307898818485,1900.0,368.0,50.0,0,4,C,0.18943369999760762
70,CplusLog,11,11,11,7526.675,366,11,1,29,5770.5264323263955,5276.6751734532345,3629.5264323263946,1647.1487411268406,1830.0,365.0,55.0,0,3,C,0.17896879999898374
71,CplusLog,15,15,15,7953.707,306,15,1,29,5338.5264323263955,6049.7066243466425,3629.5264323263946,2420.1801920202493,1530.0,299.0,75.0,0,6,C,0.40270810000947677
72,CplusLog,16,16,16,6355.574,205,16,1,29,3507.1057540012184,5064.574315215589,2441.1057540012184,2623.4685612143694,1025.0,186.0,80.0,0,4,C,0.5943642999918666
73,CplusLog,16,16,16,6935.452,253,16,1,29,4745.931794646664,5342.4523180544975,3319.931794646663,2022.5205234078335,1265.0,248.0,80.0,0,7,C,0.3769648000015877
74,CplusLog,16,16,16,7423.48,249,16,1,29,4677.3442492701515,5866.479549824156,3342.344249270151,2524.1353005540077,1245.0,232.0,80.0,0,3,C,0.49778030000743456
75,CplusLog,11,11,11,7972.032,332,11,1,29,5536.5264323263955,5930.031741231103,3629.5264323263946,2300.5053089047074,1660.0,327.0,55.0,0,4,C,0.22392019999097101
76,CplusLog,11,11,11,7643.903,356,11,1,29,5722.461336014668,5456.9033233124965,3648.4613360146677,1808.4419872978297,1780.0,352.0,55.0,0,2,C,0.18230340001173317
77,CplusLog,15,15,15,8432.396,305,15,1,29,5284.5264323263955,6545.395863175427,3629.5264323263946,2915.869430849033,1525.0,287.0,75.0,0,3,C,0.6550913999963086
78,CplusLog,16,16,16,7499.029,311,16,1,29,4720.19930060834,5578.028705061684,3113.19930060834,2464.8294044533463,1555.0,286.0,80.0,0,6,C,0.7887254999950528
79,CplusLog,11,11,11,7779.894,359,11,1,29,5676.501320747814,5581.894407347865,3632.501320747813,1949.3930866000535,1795.0,348.0,55.0,0,5,C,0.29134919997886755
80,CplusLog,13,13,13,7386.021,317,13,1,29,5440.5264323263955,5427.020989607045,3629.5264323263946,1797.4945572806487,1585.0,309.0,65.0,0,5,C,0.2883635000034701
81,CplusLog,14,14,14,8444.069,314,14,1,29,5355.953240406391,6514.068941206825,3677.953240406391,2836.115700800434,1570.0,290.0,70.0,0,6,C,0.6707195000199135
82,CplusLog,14,14,14,7789.434,275,14,1,29,5152.5264323263955,6077.433959260395,3629.5264323263946,2447.9075269340005,1375.0,267.0,70.0,0,7,C,0.37770679997629486
83,CplusLog,13,13,13,7564.055,340,13,1,29,5578.5264323263955,5467.054880376318,3629.5264323263946,1837.5284480499236,1700.0,332.0,65.0,0,6,C,0.3243961999833118
84,CplusLog,10,10,10,7693.629,413,10,1,29,6058.526432326396,5167.629099695834,3629.5264323263946,1538.1026673694394,2065.0,411.0,50.0,0,2,C,0.17361079997499473
85,CplusLog,14,14,14,8016.531,302,14,1,29,5284.5264323263955,6149.531329574935,3629.5264323263946,2520.0048972485415,1510.0,287.0,70.0,0,3,C,0.39098440000088885
86,CplusLog,15,15,15,7939.84,333,15,1,29,5512.5264323263955,5871.84025607188,3629.5264323263946,2242.3138237454837,1665.0,328.0,75.0,0,3,C,0.35953809999045916
87,CplusLog,14,14,14,7751.153,329,14,1,29,5488.5264323263955,5716.153200478644,3629.5264323263946,2086.626768152248,1645.0,320.0,70.0,0,5,C,0.35994180000852793
88,CplusLog,12,12,12,8250.4,352,12,1,29,5512.5264323263955,6107.400106120768,3629.5264323263946,2477.8736737943736,1760.0,323.0,60.0,0,5,C,0.6961375999962911
89,CplusLog,16,16,16,6476.457,214,16,1,29,3712.821741970936,5121.457296168991,2516.821741970936,2604.6355541980565,1070.0,205.0,80.0,0,6,C,0.2992707999947015
90,CplusLog,10,10,10,8214.509,381,10,1,29,5836.5264323263955,5884.509421846695,3629.5264323263946,2254.9829895203006,1905.0,375.0,50.0,0,4,C,0.34953750000568107
91,CplusLog,11,11,11,8402.276,407,11,1,29,5746.5264323263955,5920.2760521132805,3629.5264323263946,2290.7496197868873,2035.0,392.0,55.0,0,4,C,0.3977430999802891
92,CplusLog,13,13,13,8642.597,403,13,1,29,5732.5469969997985,6172.596803735036,3670.5469969997985,2502.0498067352396,2015.0,390.0,65.0,0,4,C,0.6190653999801725
93,CplusLog,12,12,12,8226.281,358,12,1,29,5614.5264323263955,6037.280889970489,3629.5264323263946,2407.754457644097,1790.0,339.0,60.0,0,4,C,0.46144400001503527
94,CplusLog,15,15,15,7454.014,274,15,1,29,5192.37972566337,5745.014095652529,3641.379725663369,2103.634369989159,1370.0,264.0,75.0,0,6,C,0.22984690000885166
