case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,16,16,16,10970.626,792,16,1,29,5830.386357050779,6152.625878906771,3115.38635705078,3037.23952185599,3960.0,778.0,80.0,0,,,0.5016805999912322
1,Crim1500,16,16,16,8826.263,647,16,1,29,3918.198088933525,4876.262965584222,2143.1980889335246,2733.0648766506997,3235.0,635.0,80.0,0,,,0.5165221999923233
1,Crim1700,16,16,16,9514.175,623,16,1,29,3513.957980127828,5710.174901761142,2044.9579801278278,3665.2169216333186,3115.0,609.0,80.0,0,,,0.6788264000206254
1,CrimNN,16,16,16,9137.188,700,16,1,29,3718.966146837885,4870.187954691347,1979.9661468378845,2890.221807853463,3500.0,687.0,80.0,0,,,0.6650740999903064
2,C,16,16,16,10572.752,661,16,1,29,6683.198720577453,6527.751816947706,3649.198720577451,2878.5530963702577,3305.0,660.0,80.0,0,,,0.40311000001383945
2,Crim1500,16,16,16,7953.923,462,16,1,29,4831.110416574393,5102.922627103765,2717.110416574392,2385.8122105293755,2310.0,461.0,80.0,0,,,0.30515770000056364
2,Crim1700,16,16,16,7442.524,396,16,1,29,4331.660476636698,4987.524292710232,2613.6604766366977,2373.8638160735354,1980.0,395.0,80.0,0,,,0.3173921999987215
2,CrimNN,16,16,16,8867.961,539,16,1,29,4750.655274771524,5554.96063735917,2683.655274771523,2871.305362587647,2695.0,538.0,80.0,0,,,0.47477400000207126
3,C,16,16,16,12819.933,817,16,1,29,6580.236739197959,7843.93324881018,3649.236739197958,4194.6965096122285,4085.0,811.0,80.0,0,,,0.515242199995555
3,Crim1500,16,16,16,11732.488,727,16,1,29,4805.429713845936,7295.488075179141,2695.429713845936,4600.058361333209,3635.0,722.0,80.0,0,,,0.6946060000045691
3,Crim1700,16,16,16,11527.079,661,16,1,29,4282.106351812135,7487.07881274298,2574.106351812134,4912.9724609308505,3305.0,655.0,80.0,0,,,0.7318322000210173
3,CrimNN,16,16,16,11210.313,725,16,1,29,4528.197771750296,6786.313388014214,2532.197771750296,4254.11561626392,3625.0,719.0,80.0,0,,,0.9310998000146355
4,C,16,16,16,10609.137,601,16,1,29,6557.253332784398,6941.1369993826265,3661.2533327843953,3279.883666598233,3005.0,583.0,80.0,0,,,0.6044217000016943
4,Crim1500,16,16,16,8456.591,415,16,1,29,4657.252121109581,5903.591229983638,2691.25212110958,3212.339108874057,2075.0,398.0,80.0,0,,,0.47733539997716434
4,Crim1700,16,16,16,8580.212,390,16,1,29,4169.740153606557,6178.21249383728,2575.7401536065568,3602.4723402307227,1950.0,372.0,80.0,0,,,0.5349581000045873
